Ticker: TMK  Created on: 12/6/2014 5:26:17 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 53.62, 54.32, 53.62, 54.09, 715800, 54.09, 0, 1, 53.855, -999
20141204, 53.66, 53.84, 53.27, 53.46, 745600, 53.46, 0, 1, 53.56, -999
20141203, 53.44, 53.7, 52.74, 53.66, 1635400, 53.66, 0, 1, 53.55, -999
20141202, 53.2, 53.46, 52.74, 53.45, 1093100, 53.45, 0, 1, 53.325, -999
20141201, 53.54, 53.66, 53.28, 53.3, 741100, 53.3, 0, 1, 53.42, -999
20141128, 53.93, 54.14, 53.67, 53.75, 284900, 53.75, 0, 1, 53.84, -999
20141126, 53.98, 54.06, 53.69, 53.83, 493100, 53.83, 0, 1, 53.905, -999
20141125, 54.19, 54.22, 53.75, 53.93, 527700, 53.93, 0, 1, 54.06, -999
20141124, 54.02, 54.23, 53.69, 54.13, 759000, 54.13, 0, 1, 54.075, -999
20141121, 53.92, 54.15, 53.68, 53.8, 617400, 53.8, 0, 1, 53.86, -999
20141120, 52.94, 53.48, 52.82, 53.47, 377200, 53.47, 0, 1, 53.205, -999
20141119, 53.54, 53.66, 53.08, 53.24, 663500, 53.24, 0, 1, 53.39, -999
20141118, 53.39, 53.73, 53.26, 53.5, 445500, 53.5, 0, 1, 53.445, -999
20141117, 53.24, 53.33, 52.94, 53.31, 488600, 53.31, 0, 1, 53.275, -999
20141114, 53.18, 53.44, 53, 53.26, 476400, 53.26, 0, 1, 53.22, -999
20141113, 53.43, 53.43, 53.01, 53.28, 542000, 53.28, 0, 1, 53.355, -999
20141112, 52.89, 53.33, 52.58, 53.26, 678000, 53.26, 0, 1, 53.075, -999
20141111, 53, 53.26, 52.91, 53.18, 395200, 53.18, 0, 1, 53.09, -999
20141110, 53.39, 53.42, 53, 53.09, 1297400, 53.09, 0, 1, 53.24, -999
20141107, 53.23, 53.58, 53.08, 53.46, 608300, 53.46, 0, 1, 53.345, -999
20141106, 53.58, 53.76, 53.13, 53.4, 1013600, 53.4, 0, 1, 53.49, -999
20141105, 53.64, 53.76, 53.3, 53.75, 942800, 53.75, 0, 1, 53.695, -999
20141104, 52.94, 53.37, 52.77, 53.36, 615300, 53.36, 0, 1, 53.15, -999
20141103, 52.91, 53.14, 52.71, 53.03, 1041600, 53.03, 0, 1, 52.97, -999
20141031, 52.94, 53, 52.72, 52.96, 745400, 52.96, 0, 1, 52.95, -999
20141030, 51.59, 52.48, 51.55, 52.2, 652300, 52.2, 0, 1, 51.895, -999
20141029, 51.83, 52.13, 51.6, 51.76, 761700, 51.76, 0, 1, 51.795, -999
20141028, 51.64, 51.86, 51.17, 51.65, 1326400, 51.65, 0, 1, 51.645, -999
20141027, 51.15, 51.39, 50.94, 51.35, 683800, 51.35, 0, 1, 51.25, -999
20141024, 50.49, 51.47, 50.27, 51.25, 1213300, 51.25, 0, 1, 50.87, -999
20141023, 52.11, 52.11, 49.71, 50.57, 2997700, 50.57, 0, 1, 51.34, -999
20141022, 52.98, 53.14, 52.57, 52.61, 598300, 52.61, 0, 1, 52.795, -999
20141021, 51.99, 52.89, 51.92, 52.88, 596500, 52.88, 0, 1, 52.435, -999
20141020, 51.23, 51.69, 51, 51.67, 547800, 51.67, 0, 1, 51.45, -999
20141017, 50.75, 51.44, 50.68, 51.31, 574300, 51.31, 0, 1, 51.03, -999
20141016, 49.92, 50.51, 49.88, 50.32, 805500, 50.32, 0, 1, 50.12, -999
20141015, 50.71, 50.99, 49.97, 50.63, 972800, 50.63, 0, 1, 50.67, -999
20141014, 51.3, 51.87, 51.27, 51.47, 618100, 51.47, 0, 1, 51.385, -999
20141013, 51.46, 51.86, 51.11, 51.11, 650300, 51.11, 0, 1, 51.285, -999
20141010, 51.86, 52.42, 51.5, 51.5, 760800, 51.5, 0, 1, 51.68, -999
20141009, 52.47, 52.51, 51.8, 51.86, 930600, 51.86, 0, 1, 52.165, -999
20141008, 51.44, 52.59, 51.26, 52.52, 882700, 52.52, 0, 1, 51.98, -999
