Ticker: TROW  Created on: 12/6/2014 5:26:10 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 83.91, 84.88, 83.91, 84.49, 1105200, 84.49, 0, 1, 84.2, -999
20141204, 83.59, 83.85, 83.12, 83.65, 756600, 83.65, 0, 1, 83.62, -999
20141203, 83.16, 83.88, 83.06, 83.74, 943800, 83.74, 0, 1, 83.45, -999
20141202, 82.78, 83.42, 80.55, 83.25, 853800, 83.25, 0, 1, 83.015, -999
20141201, 83.03, 83.73, 82.18, 82.61, 751700, 82.61, 0, 1, 82.82, -999
20141128, 83.79, 84, 83.26, 83.47, 403800, 83.47, 0, 1, 83.63, -999
20141126, 83.3, 83.5, 82.87, 83.11, 792400, 83.11, 0, 1, 83.205, -999
20141125, 83.23, 84, 83.06, 83.25, 882100, 83.25, 0, 1, 83.24, -999
20141124, 83.25, 83.36, 82.83, 83.28, 756300, 83.28, 0, 1, 83.265, -999
20141121, 83, 83.17, 82.48, 82.85, 1157000, 82.85, 0, 1, 82.925, -999
20141120, 81.51, 82.32, 81.34, 82.03, 714300, 82.03, 0, 1, 81.77, -999
20141119, 82.08, 82.23, 81.32, 82.02, 769800, 82.02, 0, 1, 82.05, -999
20141118, 81.86, 82.45, 81.86, 82.02, 925400, 82.02, 0, 1, 81.94, -999
20141117, 82.03, 82.12, 81.55, 81.85, 925000, 81.85, 0, 1, 81.94, -999
20141114, 82.74, 82.82, 81.93, 82.12, 749900, 82.12, 0, 1, 82.43, -999
20141113, 82.82, 83.04, 82.1, 82.67, 984000, 82.67, 0, 1, 82.745, -999
20141112, 82.96, 83.11, 82.38, 82.71, 1561200, 82.71, 0, 1, 82.835, -999
20141111, 82.9, 83.25, 82.63, 83.17, 919600, 83.17, 0, 1, 83.035, -999
20141110, 83.39, 83.65, 82.5, 83, 1540100, 83, 0, 1, 83.195, -999
20141107, 82.12, 83.48, 81.85, 83.23, 1687900, 83.23, 0, 1, 82.675, -999
20141106, 81.64, 82.53, 81.6, 82.45, 4266100, 82.45, 0, 1, 82.045, -999
20141105, 82.76, 83.33, 82.44, 83.1, 1395000, 83.1, 0, 1, 82.93, -999
20141104, 81.99, 83, 81.82, 82.9, 1259300, 82.9, 0, 1, 82.445, -999
20141103, 81.7, 82.74, 81.51, 82.18, 1449800, 82.18, 0, 1, 81.94, -999
20141031, 82.13, 82.19, 81.37, 82.09, 1597300, 82.09, 0, 1, 82.11, -999
20141030, 79.94, 81.35, 79.62, 80.86, 1392500, 80.86, 0, 1, 80.4, -999
20141029, 79.96, 80.33, 79.36, 80.08, 1446000, 80.08, 0, 1, 80.02, -999
20141028, 78.39, 79.86, 78.27, 79.82, 1740900, 79.82, 0, 1, 79.105, -999
20141027, 77.82, 78.28, 77.09, 78.14, 1135300, 78.14, 0, 1, 77.98, -999
20141024, 77.59, 77.96, 77.22, 77.84, 990700, 77.84, 0, 1, 77.715, -999
20141023, 78.3, 78.3, 76.11, 77.32, 2335100, 77.32, 0, 1, 77.81, -999
20141022, 77.99, 78.16, 76.9, 76.99, 2197500, 76.99, 0, 1, 77.49, -999
20141021, 76.99, 77.85, 76.69, 77.69, 1774100, 77.69, 0, 1, 77.34, -999
20141020, 75.99, 76.27, 75.43, 76.23, 1164300, 76.23, 0, 1, 76.11, -999
20141017, 76.19, 77.3, 75.69, 76.39, 2009300, 76.39, 0, 1, 76.29, -999
20141016, 73.44, 76, 72.91, 75.43, 2102200, 75.43, 0, 1, 74.435, -999
20141015, 73.08, 75.01, 71.78, 74.49, 2558300, 74.49, 0, 1, 73.785, -999
20141014, 74.18, 74.97, 73.95, 74.23, 1755300, 74.23, 0, 1, 74.205, -999
20141013, 75.22, 75.93, 73.91, 73.94, 1855400, 73.94, 0, 1, 74.58, -999
20141010, 75.84, 76.59, 75.33, 75.35, 2643200, 75.35, 0, 1, 75.595, -999
20141009, 77.32, 77.59, 75.91, 75.97, 2577500, 75.97, 0, 1, 76.645, -999
20141008, 76.32, 77.65, 75.57, 77.55, 1668200, 77.55, 0, 1, 76.935, -999
20141007, 77.51, 78.11, 76.38, 76.39, 1354600, 76.39, 0, 1, 76.95, -999
20141006, 78.3, 78.49, 77.66, 78.14, 872900, 78.14, 0, 1, 78.22, -999
20141003, 77.99, 78.57, 77.72, 77.89, 1075600, 77.89, 0, 1, 77.94, -999
20141002, 76.81, 77.77, 76.46, 77.44, 1432700, 77.44, 0, 1, 77.125, -999
20141001, 78.5, 78.72, 76.81, 77.08, 1685200, 77.08, 0, 1, 77.79, -999
20140930, 78.77, 78.9, 78.06, 78.4, 1345400, 78.4, 0, 1, 78.585, -999
20140929, 78.57, 78.69, 77.92, 78.52, 1399500, 78.52, 0, 1, 78.545, -999
20140926, 78.67, 79.49, 78.53, 79.2, 1259200, 79.2, 0, 1, 78.935, -999
20140925, 79.59, 79.68, 78.52, 78.72, 2444900, 78.72, 0, 1, 79.155, -999
20140924, 79.35, 79.74, 79.02, 79.69, 1670300, 79.69, 0, 1, 79.52, -999
20140923, 79.09, 79.65, 78.94, 79.04, 1498500, 79.04, 0, 1, 79.065, -999
20140922, 80.07, 80.08, 79.17, 79.19, 1306900, 79.19, 0, 1, 79.63, -999
20140919, 80.5, 80.74, 79.5, 80.07, 1487700, 80.07, 0, 1, 80.285, -999
20140918, 79.63, 80.53, 79.56, 80.21, 918100, 80.21, 0, 1, 79.92, -999
20140917, 79.6, 79.77, 78.78, 79.3, 1224500, 79.3, 0, 1, 79.45, -999
20140916, 78.74, 79.24, 78.42, 79.08, 1353800, 79.08, 0, 1, 78.91, -999
20140915, 79.55, 79.72, 78.7, 78.98, 1271000, 78.98, 0, 1, 79.265, -999
20140912, 79.81, 80.07, 79.18, 79.52, 1461700, 79.52, 0, 1, 79.665, -999
20140911, 79.5, 79.88, 79.24, 79.74, 1495400, 79.74, 0.44, 1, 79.62, -999
20140910, 80.49, 80.72, 79.94, 80.17, 1493400, 79.73, 0, 1, 80.11, -999
20140909, 80.9, 80.9, 80.13, 80.4, 1221400, 79.96, 0, 1, 80.43, -999
20140908, 80.91, 81.15, 80.72, 81.01, 946000, 80.57, 0, 1, 80.74, -999
20140905, 80.79, 81.18, 80.29, 81.17, 761400, 80.72, 0, 1, 80.755, -999
20140904, 80.97, 81.31, 80.67, 80.97, 803600, 80.53, 0, 1, 80.75, -999
20140903, 81.09, 81.49, 80.51, 80.65, 831800, 80.21, 0, 1, 80.65, -999
20140902, 81.19, 81.5, 80.47, 80.71, 1469100, 80.27, 0, 1, 80.73, -999
20140829, 81, 81.17, 80.46, 81, 1108700, 80.56, 0, 1, 80.78, -999
20140828, 80.88, 80.99, 79.96, 80.8, 1082400, 80.36, 0, 1, 80.62, -999
20140827, 81.56, 81.56, 80.37, 80.66, 942300, 80.22, 0, 1, 80.89, -999
20140826, 80.93, 81.34, 80.68, 80.91, 1003000, 80.47, 0, 1, 80.7, -999
