Ticker: TSN  Created on: 12/6/2014 5:26:20 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 41.07, 42.31, 40.99, 41.65, 6900000, 41.65, 0, 1, 41.36, -999
20141204, 41.55, 41.74, 40.56, 40.7, 5138400, 40.7, 0, 1, 41.125, -999
20141203, 41.26, 41.56, 40.31, 41.5, 6303700, 41.5, 0, 1, 41.38, -999
20141202, 40.85, 41.36, 40.33, 41.2, 7635700, 41.2, 0, 1, 41.025, -999
20141201, 42.14, 42.53, 41.08, 41.31, 4525600, 41.31, 0, 1, 41.725, -999
20141128, 42.2, 42.56, 42.1, 42.34, 1644900, 42.34, 0, 1, 42.27, -999
20141126, 41.58, 42.18, 41.53, 42.07, 2812400, 42.07, 0, 1, 41.825, -999
20141125, 41.25, 41.74, 41.22, 41.41, 5874200, 41.31, 0, 1, 41.28, -999
20141124, 42.25, 42.25, 41.16, 41.25, 7467000, 41.15, 0, 1, 41.7, -999
20141121, 43.08, 43.13, 41.97, 42.26, 5417900, 42.16, 0, 1, 42.62, -999
20141120, 43, 43.37, 42.54, 42.56, 5763200, 42.46, 0, 1, 42.73, -999
20141119, 42.7, 43.24, 42.49, 43.18, 5301500, 43.08, 0, 1, 42.89, -999
20141118, 43, 43.35, 42.17, 42.65, 7350100, 42.55, 0, 1, 42.775, -999
20141117, 42.35, 43.08, 41.51, 43.03, 9030300, 42.93, 0, 1, 42.64, -999
20141114, 41.18, 41.24, 40.32, 40.66, 3990600, 40.56, 0, 1, 40.87, -999
20141113, 40.31, 41.36, 40.26, 41.18, 4567500, 41.08, 0, 1, 40.695, -999
20141112, 40.55, 40.58, 39.62, 39.87, 4223500, 39.77, 0, 1, 40.16, -999
20141111, 40.82, 41.24, 40.5, 40.65, 3075100, 40.55, 0, 1, 40.685, -999
20141110, 41.27, 41.49, 40.52, 40.74, 3282400, 40.64, 0, 1, 40.955, -999
20141107, 41.5, 41.57, 40.51, 41.11, 3452100, 41.01, 0, 1, 41.255, -999
20141106, 41.5, 41.78, 41.2, 41.53, 2512200, 41.43, 0, 1, 41.465, -999
20141105, 41.52, 42, 41.25, 41.46, 2728900, 41.36, 0, 1, 41.44, -999
20141104, 40.82, 41.34, 40.75, 41.03, 2969300, 40.93, 0, 1, 40.875, -999
20141103, 40.35, 40.97, 40.35, 40.83, 3082000, 40.73, 0, 1, 40.54, -999
20141031, 39.96, 40.37, 39.81, 40.35, 2698100, 40.25, 0, 1, 40.105, -999
20141030, 39.19, 39.95, 38.9, 39.62, 3143800, 39.52, 0, 1, 39.355, -999
20141029, 39.25, 39.52, 38.57, 38.96, 2196300, 38.87, 0, 1, 39.06, -999
20141028, 39.05, 39.57, 38.88, 39.36, 2455300, 39.26, 0, 1, 39.155, -999
20141027, 38.71, 39.03, 38.31, 38.8, 2369400, 38.71, 0, 1, 38.71, -999
20141024, 38.37, 38.8, 38.23, 38.74, 2127500, 38.65, 0, 1, 38.51, -999
20141023, 38.85, 38.97, 38.23, 38.32, 3109400, 38.23, 0, 1, 38.54, -999
20141022, 38.92, 39.14, 38.43, 38.55, 3430500, 38.46, 0, 1, 38.69, -999
20141021, 38.61, 39.18, 38.61, 39.01, 3444600, 38.92, 0, 1, 38.765, -999
20141020, 37.57, 38.4, 37.56, 38.35, 2690900, 38.26, 0, 1, 37.915, -999
20141017, 37.68, 38.31, 37.35, 37.56, 5635200, 37.47, 0, 1, 37.575, -999
20141016, 38.01, 38.46, 37.02, 37.12, 7283600, 37.03, 0, 1, 37.52, -999
20141015, 39.12, 39.42, 37.75, 38.85, 5776400, 38.76, 0, 1, 38.94, -999
20141014, 39.53, 39.85, 38.97, 39.52, 4825500, 39.42, 0, 1, 39.475, -999
20141013, 40.35, 40.59, 39.24, 39.34, 5566600, 39.24, 0, 1, 39.795, -999
20141010, 40.86, 41.31, 40.37, 40.42, 2934400, 40.32, 0, 1, 40.59, -999
20141009, 41.51, 42.1, 40.83, 40.96, 3822300, 40.86, 0, 1, 41.185, -999
20141008, 41.08, 41.55, 40.75, 41.52, 4564600, 41.42, 0, 1, 41.25, -999
20141007, 41.43, 41.59, 41.04, 41.05, 3954700, 40.95, 0, 1, 41.19, -999
20141006, 41.9, 42, 41.07, 41.52, 4371900, 41.42, 0, 1, 41.66, -999
20141003, 41.13, 41.84, 41.07, 41.7, 7494500, 41.6, 0, 1, 41.365, -999
20141002, 39.94, 41.17, 39.94, 40.83, 7754900, 40.73, 0, 1, 40.335, -999
20141001, 39.82, 40.09, 39.39, 39.99, 7032500, 39.89, 0, 1, 39.855, -999
20140930, 38.93, 39.87, 38.83, 39.37, 6447200, 39.27, 0, 1, 39.1, -999
20140929, 37.53, 38.98, 37.41, 38.85, 3940500, 38.76, 0, 1, 38.145, -999
20140926, 37.97, 38.19, 37.58, 37.74, 2267800, 37.65, 0, 1, 37.81, -999
20140925, 37.99, 38.11, 37.53, 37.78, 3065300, 37.69, 0, 1, 37.84, -999
20140924, 37.28, 38.4, 37.16, 38.24, 4175500, 38.15, 0, 1, 37.715, -999
20140923, 37.7, 38.12, 37.14, 37.23, 4705300, 37.14, 0, 1, 37.42, -999
20140922, 38.44, 38.44, 37.73, 37.87, 2927500, 37.78, 0, 1, 38.11, -999
20140919, 38.96, 39.01, 38.5, 38.51, 3845500, 38.42, 0, 1, 38.69, -999
20140918, 38.65, 38.86, 38.33, 38.78, 2952600, 38.69, 0, 1, 38.67, -999
20140917, 39.09, 39.09, 38.18, 38.43, 4157500, 38.34, 0, 1, 38.715, -999
20140916, 38.32, 39.15, 38.18, 39.08, 2680400, 38.99, 0, 1, 38.655, -999
20140915, 38.24, 38.41, 38.01, 38.3, 3653200, 38.21, 0, 1, 38.225, -999
20140912, 38.88, 38.89, 38.12, 38.26, 4142100, 38.17, 0, 1, 38.525, -999
20140911, 38.61, 38.93, 38.44, 38.81, 2995000, 38.72, 0, 1, 38.665, -999
20140910, 38.47, 38.9, 38.31, 38.82, 3904700, 38.73, 0, 1, 38.6, -999
20140909, 38.22, 38.27, 38.03, 38.23, 2903800, 38.14, 0, 1, 38.18, -999
20140908, 37.88, 38.57, 37.8, 38.32, 3473100, 38.23, 0, 1, 38.055, -999
20140905, 37.4, 37.91, 37.22, 37.89, 2336400, 37.8, 0, 1, 37.6, -999
20140904, 37.78, 38.09, 37.3, 37.39, 3330100, 37.3, 0, 1, 37.54, -999
20140903, 38.37, 38.39, 37.72, 37.79, 3816500, 37.7, 0, 1, 38.035, -999
