Ticker: TSO  Created on: 12/6/2014 5:26:13 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 77.96, 79.05, 75.96, 76.15, 2069100, 76.15, 0, 1, 77.055, -999
20141204, 76.82, 78.33, 75.8, 78.07, 2491000, 78.07, 0, 1, 77.445, -999
20141203, 77.23, 77.97, 76.5, 76.82, 3029900, 76.82, 0, 1, 77.025, -999
20141202, 74.98, 77.58, 74.79, 76.85, 3132900, 76.85, 0, 1, 75.915, -999
20141201, 76.63, 77.68, 74.38, 75.31, 4347900, 75.31, 0, 1, 75.97, -999
20141128, 76.45, 77.66, 75.46, 76.62, 1864600, 76.62, 0, 1, 76.535, -999
20141126, 78.24, 79, 77.8, 78.35, 2204400, 78.35, 0, 1, 78.295, -999
20141125, 78.03, 78.82, 77.45, 78.55, 2290300, 78.55, 0, 1, 78.29, -999
20141124, 77.48, 78.38, 77.05, 77.84, 1992300, 77.54, 0, 1, 77.51, -999
20141121, 76.79, 79.49, 76.44, 77.73, 3857900, 77.43, 0, 1, 77.11, -999
20141120, 74.27, 75.99, 74.27, 75.69, 2826400, 75.4, 0, 1, 74.835, -999
20141119, 72.92, 74.77, 72.42, 74.57, 2411100, 74.28, 0, 1, 73.6, -999
20141118, 72.69, 74.8, 72.1, 72.96, 4876100, 72.68, 0, 1, 72.685, -999
20141117, 71.99, 73.17, 71.67, 72.37, 2462200, 72.09, 0, 1, 72.04, -999
20141114, 71.76, 72.82, 71.26, 72.08, 2770100, 71.8, 0, 1, 71.78, -999
20141113, 72.64, 72.66, 70.07, 70.99, 3813400, 70.72, 0, 1, 71.68, -999
20141112, 72.58, 73.53, 72.3, 72.84, 3137100, 72.56, 0, 1, 72.57, -999
20141111, 71.57, 72.89, 70.56, 72.72, 2389900, 72.44, 0, 1, 72.005, -999
20141110, 72.39, 72.8, 71.15, 71.43, 4436200, 71.15, 0, 1, 71.77, -999
20141107, 72.62, 73.45, 71.68, 71.95, 3841100, 71.67, 0, 1, 72.145, -999
20141106, 72.91, 73.24, 71.8, 72.72, 3512300, 72.44, 0, 1, 72.675, -999
20141105, 73.54, 73.54, 71.32, 72.42, 3961500, 72.14, 0, 1, 72.84, -999
20141104, 72.66, 73.64, 71.64, 72.95, 3126100, 72.67, 0, 1, 72.665, -999
20141103, 71.96, 75, 71.63, 73.29, 7307500, 73.01, 0, 1, 72.485, -999
20141031, 71.04, 73, 69.94, 71.41, 6838400, 71.13, 0, 1, 71.085, -999
20141030, 67.01, 68.99, 66.71, 68.1, 3840500, 67.84, 0, 1, 67.425, -999
20141029, 68.05, 68.56, 66.03, 66.95, 2466600, 66.69, 0, 1, 67.37, -999
20141028, 66.04, 67.81, 65.27, 67.44, 2895900, 67.18, 0, 1, 66.61, -999
20141027, 65.19, 66.24, 64.55, 65.83, 2750000, 65.58, 0, 1, 65.385, -999
20141024, 65.31, 66.03, 64.45, 65.68, 1770100, 65.43, 0, 1, 65.37, -999
20141023, 65.89, 66.47, 64.61, 65.29, 3158000, 65.04, 0, 1, 65.465, -999
20141022, 67.09, 68.26, 64.8, 64.89, 3064200, 64.64, 0, 1, 65.865, -999
20141021, 65.94, 67.11, 65.39, 67.05, 4261600, 66.79, 0, 1, 66.365, -999
20141020, 60.85, 65.71, 60.85, 65.43, 6355800, 65.18, 0, 1, 63.015, -999
20141017, 60.39, 61.09, 59.36, 60.38, 2555200, 60.15, 0, 1, 60.27, -999
20141016, 57.56, 60.54, 57.47, 59.81, 3282800, 59.58, 0, 1, 58.57, -999
20141015, 58.47, 58.95, 55.59, 58.64, 5059900, 58.41, 0, 1, 58.44, -999
20141014, 61.82, 61.82, 57.68, 59.22, 4231300, 58.99, 0, 1, 60.405, -999
20141013, 61.78, 63.16, 60.25, 60.39, 3908100, 60.16, 0, 1, 60.97, -999
20141010, 62.19, 63, 60.22, 61.67, 5092400, 61.43, 0, 1, 61.81, -999
20141009, 64.49, 65.78, 61.91, 61.98, 4319100, 61.74, 0, 1, 63.115, -999
20141008, 62.26, 64.69, 61.37, 64.6, 3888800, 64.35, 0, 1, 63.305, -999
20141007, 61.72, 64.74, 61.72, 62.04, 5590300, 61.8, 0, 1, 61.76, -999
20141006, 60.67, 62.16, 60.07, 62.02, 2627900, 61.78, 0, 1, 61.225, -999
20141003, 60.88, 61, 59.29, 60.65, 3153900, 60.42, 0, 1, 60.65, -999
20141002, 61.04, 61.82, 59.64, 60.72, 3061200, 60.49, 0, 1, 60.765, -999
