Ticker: TXN  Created on: 12/6/2014 5:26:13 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 55.65, 55.72, 55.24, 55.58, 3907900, 55.58, 0, 1, 55.615, -999
20141204, 55.3, 55.78, 55.16, 55.41, 4114100, 55.41, 0, 1, 55.355, -999
20141203, 54.86, 55.68, 54.55, 55.62, 5493600, 55.62, 0, 1, 55.24, -999
20141202, 54.33, 54.65, 54.03, 54.56, 4019600, 54.56, 0, 1, 54.445, -999
20141201, 54.27, 54.47, 53.62, 54.25, 5849800, 54.25, 0, 1, 54.26, -999
20141128, 54.55, 54.74, 54.26, 54.42, 3628600, 54.42, 0, 1, 54.485, -999
20141126, 52.53, 54.35, 52.51, 54.33, 7216700, 54.33, 0, 1, 53.43, -999
20141125, 52.85, 53.04, 52.32, 52.44, 5329000, 52.44, 0, 1, 52.645, -999
20141124, 53, 53.12, 52.45, 52.85, 3441600, 52.85, 0, 1, 52.925, -999
20141121, 52.64, 52.98, 52.04, 52.56, 5287300, 52.56, 0, 1, 52.6, -999
20141120, 51.75, 52.26, 51.5, 52.23, 4759900, 52.23, 0, 1, 51.99, -999
20141119, 51.8, 51.96, 51.35, 51.94, 6590400, 51.94, 0, 1, 51.87, -999
20141118, 51.55, 52.08, 51.35, 51.84, 4627300, 51.84, 0, 1, 51.695, -999
20141117, 51.55, 51.62, 51.08, 51.55, 3218800, 51.55, 0, 1, 51.55, -999
20141114, 50.88, 51.65, 50.88, 51.63, 3575000, 51.63, 0, 1, 51.255, -999
20141113, 51.15, 51.69, 50.93, 51.18, 4411200, 51.18, 0, 1, 51.165, -999
20141112, 51.32, 51.45, 50.75, 51.28, 4093000, 51.28, 0, 1, 51.3, -999
20141111, 51.8, 51.8, 51.13, 51.32, 4269300, 51.32, 0, 1, 51.56, -999
20141110, 50.9, 51.63, 50.85, 51.56, 4528100, 51.56, 0, 1, 51.23, -999
20141107, 51.1, 51.17, 50.58, 50.9, 4927500, 50.9, 0, 1, 51, -999
20141106, 51.05, 51.35, 50.56, 50.91, 6300700, 50.91, 0, 1, 50.98, -999
20141105, 50.48, 51.18, 50.27, 51.13, 5302600, 51.13, 0, 1, 50.805, -999
