Ticker: TXT  Created on: 12/6/2014 5:26:14 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 42.53, 42.86, 42.24, 42.32, 1315800, 42.32, 0, 1, 42.425, -999
20141204, 43.3, 43.42, 42.36, 42.47, 1592500, 42.47, 0, 1, 42.885, -999
20141203, 42.25, 43.32, 42.06, 43.22, 4358900, 43.22, 0, 1, 42.735, -999
20141202, 42.55, 42.84, 41.94, 42.16, 3351600, 42.16, 0, 1, 42.355, -999
20141201, 42.98, 42.99, 42.32, 42.53, 1408000, 42.53, 0, 1, 42.755, -999
20141128, 43.45, 43.52, 43.19, 43.32, 858500, 43.32, 0, 1, 43.385, -999
20141126, 43.65, 43.8, 43.23, 43.29, 1333800, 43.29, 0, 1, 43.47, -999
20141125, 44.34, 44.47, 43.63, 43.69, 2782700, 43.69, 0, 1, 44.015, -999
20141124, 43.88, 44.32, 43.69, 44.23, 2033200, 44.23, 0, 1, 44.055, -999
20141121, 43.55, 43.9, 43.47, 43.58, 2245600, 43.58, 0, 1, 43.565, -999
20141120, 42.7, 43.24, 42.52, 42.99, 1703500, 42.99, 0, 1, 42.845, -999
20141119, 42.38, 42.89, 42.22, 42.83, 1752400, 42.83, 0, 1, 42.605, -999
20141118, 41.9, 42.68, 41.76, 42.45, 1446400, 42.45, 0, 1, 42.175, -999
20141117, 41.74, 41.92, 41.56, 41.8, 2059400, 41.8, 0, 1, 41.77, -999
20141114, 41.99, 42.1, 41.68, 41.74, 1784200, 41.74, 0, 1, 41.865, -999
20141113, 42.1, 42.5, 41.97, 42.15, 1728800, 42.15, 0, 1, 42.125, -999
20141112, 41.41, 42.2, 41.41, 42.09, 1476400, 42.09, 0, 1, 41.75, -999
20141111, 42, 42.22, 41.62, 41.8, 1302500, 41.8, 0, 1, 41.9, -999
20141110, 41.91, 42.15, 41.8, 42.09, 1481900, 42.09, 0, 1, 42, -999
20141107, 42.23, 42.3, 41.56, 41.89, 2450300, 41.89, 0, 1, 42.06, -999
20141106, 42.09, 42.37, 41.86, 42.23, 1311200, 42.23, 0, 1, 42.16, -999
20141105, 41.71, 42.19, 41.46, 42.05, 1895400, 42.05, 0, 1, 41.88, -999
20141104, 41.38, 41.78, 41.13, 41.37, 1228200, 41.37, 0, 1, 41.375, -999
20141103, 41.53, 41.84, 41.31, 41.41, 1380300, 41.41, 0, 1, 41.47, -999
20141031, 41.68, 41.87, 41.4, 41.53, 2454600, 41.53, 0, 1, 41.605, -999
20141030, 40.44, 41.25, 40.3, 41.07, 3301200, 41.07, 0, 1, 40.755, -999
20141029, 40.49, 40.69, 40.27, 40.66, 2836100, 40.66, 0, 1, 40.575, -999
20141028, 39, 40.49, 38.89, 40.49, 2562300, 40.49, 0, 1, 39.745, -999
20141027, 38.63, 38.93, 38.28, 38.89, 1299500, 38.89, 0, 1, 38.76, -999
20141024, 38.24, 38.8, 37.88, 38.76, 2026900, 38.76, 0, 1, 38.5, -999
20141023, 37.31, 38.54, 37.29, 38.16, 2946600, 38.16, 0, 1, 37.735, -999
20141022, 37.59, 37.63, 36.59, 36.6, 2076400, 36.6, 0, 1, 37.095, -999
20141021, 37.04, 37.62, 36.92, 37.54, 3422300, 37.54, 0, 1, 37.29, -999
20141020, 36.65, 36.85, 36.19, 36.45, 3137200, 36.45, 0, 1, 36.55, -999
20141017, 36.26, 38.54, 36.24, 36.65, 9531700, 36.65, 0, 1, 36.455, -999
20141016, 32.94, 34.05, 32.67, 33.66, 2856700, 33.66, 0, 1, 33.3, -999
20141015, 33.26, 33.97, 32.82, 33.75, 3170800, 33.75, 0, 1, 33.505, -999
20141014, 32.6, 34.13, 32.59, 33.83, 2972500, 33.83, 0, 1, 33.215, -999
20141013, 33.19, 33.69, 32.22, 32.28, 2012100, 32.28, 0, 1, 32.735, -999
20141010, 33.52, 33.95, 33.03, 33.19, 2608400, 33.19, 0, 1, 33.355, -999
20141009, 34.66, 34.67, 33.44, 33.51, 1685500, 33.51, 0, 1, 34.085, -999
20141008, 34.11, 34.73, 33.84, 34.72, 2531200, 34.72, 0, 1, 34.415, -999
20141007, 35.02, 35.07, 34.17, 34.19, 1777900, 34.19, 0, 1, 34.605, -999
20141006, 36, 36.13, 35.34, 35.4, 980000, 35.4, 0, 1, 35.7, -999
20141003, 35.7, 36.14, 35.56, 35.89, 1628700, 35.89, 0, 1, 35.795, -999
20141002, 35.35, 35.49, 34.72, 35.38, 1565300, 35.38, 0, 1, 35.365, -999
20141001, 35.92, 35.94, 35.31, 35.48, 1648800, 35.48, 0, 1, 35.7, -999
20140930, 36.45, 36.57, 35.81, 35.99, 1455800, 35.99, 0, 1, 36.22, -999
20140929, 36.37, 36.86, 36.24, 36.36, 1531600, 36.36, 0, 1, 36.365, -999
20140926, 36.02, 36.85, 35.82, 36.71, 2745900, 36.71, 0, 1, 36.365, -999
20140925, 36.02, 36.02, 35.54, 35.54, 1766300, 35.54, 0, 1, 35.78, -999
20140924, 36.1, 36.44, 35.94, 36.14, 1826100, 36.14, 0, 1, 36.12, -999
20140923, 36.26, 36.54, 36.05, 36.11, 1488400, 36.11, 0, 1, 36.185, -999
