Ticker: TYC  Created on: 12/6/2014 5:26:20 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 43.25, 43.61, 43.19, 43.36, 1634100, 43.36, 0, 1, 43.305, -999
20141204, 43.35, 43.44, 42.86, 43.25, 2718000, 43.25, 0, 1, 43.3, -999
20141203, 43.37, 43.76, 43.25, 43.45, 2855500, 43.45, 0, 1, 43.41, -999
20141202, 43.02, 43.32, 42.76, 43.16, 2705200, 43.16, 0, 1, 43.09, -999
20141201, 42.7, 43.19, 42.42, 42.87, 3576600, 42.87, 0, 1, 42.785, -999
20141128, 42.69, 42.9, 42.44, 42.9, 5205800, 42.9, 0, 1, 42.795, -999
20141126, 43.1, 43.22, 42.6, 42.85, 3164200, 42.85, 0, 1, 42.975, -999
20141125, 42.58, 43.57, 42.36, 43.38, 5736200, 43.38, 0, 1, 42.98, -999
20141124, 42.61, 42.82, 42.24, 42.52, 3175600, 42.52, 0, 1, 42.565, -999
20141121, 41.78, 43.24, 41.63, 42.89, 5849300, 42.89, 0, 1, 42.335, -999
20141120, 41.36, 41.47, 41.26, 41.31, 3109300, 41.31, 0, 1, 41.335, -999
20141119, 41.96, 41.96, 41.49, 41.62, 2395000, 41.62, 0, 1, 41.79, -999
20141118, 42.56, 42.62, 41.89, 41.95, 3151900, 41.95, 0, 1, 42.255, -999
20141117, 42.24, 42.64, 42.18, 42.6, 1953200, 42.6, 0, 1, 42.42, -999
20141114, 42.45, 42.57, 42.1, 42.4, 2994700, 42.4, 0, 1, 42.425, -999
20141113, 42.64, 42.78, 41.76, 42.44, 6340200, 42.44, 0, 1, 42.54, -999
20141112, 43.31, 43.49, 43.08, 43.36, 2576400, 43.36, 0, 1, 43.335, -999
20141111, 43.81, 44.1, 43.31, 43.39, 2418800, 43.39, 0, 1, 43.6, -999
20141110, 43.23, 43.67, 43.13, 43.66, 1832800, 43.66, 0, 1, 43.445, -999
20141107, 43.42, 43.55, 43.16, 43.31, 2088000, 43.31, 0, 1, 43.365, -999
20141106, 43.16, 43.48, 43.08, 43.44, 1568700, 43.44, 0, 1, 43.3, -999
20141105, 43.11, 43.24, 42.8, 43.13, 1345500, 43.13, 0, 1, 43.12, -999
20141104, 42.77, 42.98, 42.62, 42.96, 2400500, 42.96, 0, 1, 42.865, -999
20141103, 42.91, 43.04, 42.62, 42.75, 1868400, 42.75, 0, 1, 42.83, -999
20141031, 42.89, 42.95, 42.47, 42.93, 2667600, 42.93, 0, 1, 42.91, -999
20141030, 42.03, 42.47, 41.69, 42.24, 1631400, 42.24, 0, 1, 42.135, -999
20141029, 41.98, 42.31, 41.8, 42.19, 2440100, 42.19, 0, 1, 42.085, -999
20141028, 41.6, 42.09, 41.53, 42.08, 1684300, 42.08, 0, 1, 41.84, -999
20141027, 41.49, 41.66, 40.99, 41.4, 2600100, 41.4, 0, 1, 41.445, -999
20141024, 41.03, 41.61, 40.8, 41.59, 1709800, 41.59, 0, 1, 41.31, -999
20141023, 40.64, 41.34, 40.56, 41.03, 3354200, 41.03, 0, 1, 40.835, -999
20141022, 40.78, 40.81, 39.94, 40.08, 3988400, 40.08, 0.18, 1, 40.43, -999
20141021, 40.58, 40.93, 40.37, 40.9, 4722900, 40.72, 0, 1, 40.65, -999
20141020, 39.98, 40.38, 39.79, 40.16, 2839600, 39.98, 0, 1, 39.98, -999
20141017, 39.62, 40.68, 39.58, 40.19, 4015600, 40.01, 0, 1, 39.815, -999
20141016, 38.27, 39.34, 38.27, 38.93, 5525100, 38.76, 0, 1, 38.515, -999
20141015, 38.83, 39.14, 38.15, 38.95, 7201500, 38.78, 0, 1, 38.805, -999
20141014, 41.38, 41.54, 39.46, 39.69, 9954200, 39.52, 0, 1, 40.45, -999
20141013, 42.16, 42.31, 41.52, 41.54, 5973500, 41.36, 0, 1, 41.76, -999
20141010, 42.55, 42.87, 41.99, 42.03, 6960100, 41.85, 0, 1, 42.2, -999
20141009, 43.68, 43.74, 42.35, 42.48, 5345700, 42.29, 0, 1, 42.985, -999
20141008, 42.51, 43.7, 42.4, 43.69, 5663400, 43.5, 0, 1, 43.005, -999
20141007, 42.56, 42.72, 42.31, 42.38, 3659500, 42.19, 0, 1, 42.375, -999
20141006, 43.61, 43.66, 42.92, 42.95, 4481200, 42.76, 0, 1, 43.185, -999
20141003, 43.49, 43.7, 43.36, 43.5, 3592700, 43.31, 0, 1, 43.4, -999
20141002, 44.3, 44.45, 42.93, 43.26, 5318100, 43.07, 0, 1, 43.685, -999
20141001, 44.47, 44.79, 44.34, 44.43, 5634600, 44.23, 0, 1, 44.35, -999
20140930, 44.35, 44.63, 44.25, 44.57, 3739800, 44.37, 0, 1, 44.36, -999
20140929, 44.16, 44.32, 43.76, 44.3, 3186500, 44.11, 0, 1, 44.135, -999
20140926, 43.79, 44.29, 43.64, 44.23, 2560500, 44.04, 0, 1, 43.915, -999
20140925, 44.11, 44.24, 43.73, 43.79, 3262300, 43.6, 0, 1, 43.855, -999
20140924, 44.23, 44.43, 44.19, 44.29, 4013800, 44.1, 0, 1, 44.165, -999
20140923, 44.47, 44.57, 44.34, 44.35, 2599200, 44.15, 0, 1, 44.31, -999
20140922, 44.9, 44.94, 44.57, 44.65, 2652600, 44.45, 0, 1, 44.675, -999
20140919, 45.1, 45.22, 44.71, 44.91, 5775000, 44.71, 0, 1, 44.905, -999
20140918, 44.42, 45.16, 44.3, 45.04, 3354000, 44.84, 0, 1, 44.63, -999
20140917, 44.47, 44.68, 44.15, 44.31, 3091900, 44.11, 0, 1, 44.29, -999
20140916, 44.13, 44.56, 44.05, 44.45, 3007300, 44.25, 0, 1, 44.19, -999
20140915, 44.25, 44.36, 44.02, 44.22, 2726500, 44.03, 0, 1, 44.14, -999
20140912, 44.94, 45, 44.27, 44.33, 3200800, 44.13, 0, 1, 44.535, -999
20140911, 44.26, 45.08, 44.08, 44.93, 4317400, 44.73, 0, 1, 44.495, -999
20140910, 43.97, 44.54, 43.82, 44.29, 3057100, 44.1, 0, 1, 44.035, -999
20140909, 44.19, 44.21, 43.95, 43.98, 2495300, 43.79, 0, 1, 43.99, -999
20140908, 44.01, 44.3, 44, 44.18, 2594300, 43.99, 0, 1, 44, -999
20140905, 43.63, 44.11, 43.5, 44.09, 2654500, 43.9, 0, 1, 43.765, -999
