Ticker: T  Created on: 12/6/2014 5:23:41 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 33.88, 33.95, 33.72, 33.94, 18844900, 33.94, 0, 1, 33.91, -999
20141204, 34.08, 34.1, 33.75, 33.91, 22992100, 33.91, 0, 1, 33.995, -999
20141203, 34.25, 34.26, 33.92, 34, 30675500, 34, 0, 1, 34.125, -999
20141202, 34.89, 35.01, 34.17, 34.29, 36826400, 34.29, 0, 1, 34.59, -999
20141201, 35.28, 35.37, 34.91, 35.06, 19791400, 35.06, 0, 1, 35.17, -999
20141128, 35.28, 35.57, 35.23, 35.38, 12650500, 35.38, 0, 1, 35.33, -999
20141126, 34.89, 35.2, 34.86, 35.13, 14142900, 35.13, 0, 1, 35.01, -999
20141125, 34.65, 34.85, 34.3, 34.82, 29342100, 34.82, 0, 1, 34.735, -999
20141124, 34.98, 35.1, 34.22, 34.7, 36677200, 34.7, 0, 1, 34.84, -999
20141121, 35.48, 35.5, 34.99, 35.28, 28261900, 35.28, 0, 1, 35.38, -999
20141120, 35.35, 35.44, 35.19, 35.28, 12248600, 35.28, 0, 1, 35.315, -999
20141119, 35.63, 35.66, 35.18, 35.37, 19341900, 35.37, 0, 1, 35.5, -999
20141118, 35.77, 35.87, 35.62, 35.72, 17122500, 35.72, 0, 1, 35.745, -999
20141117, 35.86, 35.9, 35.63, 35.85, 12957700, 35.85, 0, 1, 35.855, -999
20141114, 35.64, 36.15, 35.6, 35.9, 20552800, 35.9, 0, 1, 35.77, -999
20141113, 35.37, 35.9, 35.29, 35.61, 20900400, 35.61, 0, 1, 35.49, -999
20141112, 35.05, 35.44, 34.96, 35.4, 18737800, 35.4, 0, 1, 35.225, -999
20141111, 35.15, 35.15, 34.8, 35.1, 12293600, 35.1, 0, 1, 35.125, -999
20141110, 35.06, 35.14, 34.66, 35.12, 17852200, 35.12, 0, 1, 35.09, -999
20141107, 34.71, 34.97, 34.53, 34.91, 17983700, 34.91, 0, 1, 34.81, -999
20141106, 34.9, 34.95, 34.52, 34.72, 17443700, 34.72, 0, 1, 34.81, -999
20141105, 34.94, 34.96, 34.71, 34.92, 15587500, 34.92, 0, 1, 34.93, -999
20141104, 34.97, 35.08, 34.64, 34.79, 17839600, 34.79, 0, 1, 34.88, -999
20141103, 34.97, 35.03, 34.61, 34.84, 22213400, 34.84, 0, 1, 34.905, -999
20141031, 34.76, 34.85, 34.58, 34.84, 24030300, 34.84, 0, 1, 34.8, -999
20141030, 34.27, 34.55, 34.12, 34.51, 18481800, 34.51, 0, 1, 34.39, -999
20141029, 34.4, 34.65, 34.17, 34.4, 22629600, 34.4, 0, 1, 34.4, -999
20141028, 34.31, 34.41, 34.08, 34.33, 26016800, 34.33, 0, 1, 34.32, -999
20141027, 33.88, 34.24, 33.86, 34.11, 25358800, 34.11, 0, 1, 33.995, -999
20141024, 33.62, 33.94, 33.32, 33.87, 29835100, 33.87, 0, 1, 33.745, -999
20141023, 34.04, 34.11, 33.45, 33.66, 55879200, 33.66, 0, 1, 33.85, -999
20141022, 34.78, 34.79, 34.38, 34.5, 24963100, 34.5, 0, 1, 34.64, -999
20141021, 34.27, 34.66, 34.09, 34.62, 21768900, 34.62, 0, 1, 34.445, -999
20141020, 34.08, 34.29, 33.84, 34.28, 15258700, 34.28, 0, 1, 34.18, -999
20141017, 33.76, 34.2, 33.66, 34.08, 24470600, 34.08, 0, 1, 33.92, -999
20141016, 33.63, 33.83, 33.25, 33.64, 29219100, 33.64, 0, 1, 33.635, -999
20141015, 33.68, 33.98, 33.1, 33.87, 48558700, 33.87, 0, 1, 33.775, -999
20141014, 33.88, 34.06, 33.72, 33.84, 22636600, 33.84, 0, 1, 33.86, -999
20141013, 34.17, 34.34, 33.82, 33.82, 23641800, 33.82, 0, 1, 33.995, -999
20141010, 34.76, 34.8, 34.24, 34.25, 28941200, 34.25, 0, 1, 34.505, -999
20141009, 35.1, 35.22, 34.6, 34.66, 21607500, 34.66, 0, 1, 34.88, -999
20141008, 34.92, 35.17, 34.62, 35.15, 25150700, 35.15, 0.46, 1, 35.035, -999
20141007, 35.53, 35.61, 35.31, 35.33, 21393600, 34.87, 0, 1, 35.2, -999
20141006, 35.56, 35.73, 35.36, 35.49, 22122900, 35.03, 0, 1, 35.295, -999
20141003, 35.26, 36.16, 35.08, 35.36, 20777600, 34.9, 0, 1, 35.08, -999
20141002, 35.04, 35.12, 34.82, 34.97, 24826300, 34.51, 0, 1, 34.775, -999
20141001, 35.09, 35.23, 34.93, 34.96, 28857900, 34.5, 0, 1, 34.795, -999
20140930, 35.26, 35.4, 35.1, 35.24, 20015500, 34.78, 0, 1, 35.02, -999
20140929, 35.14, 35.27, 34.97, 35.23, 14973000, 34.77, 0, 1, 34.955, -999
20140926, 35.2, 35.34, 34.96, 35.28, 14351300, 34.82, 0, 1, 35.01, -999
20140925, 35.42, 35.43, 34.98, 35.08, 21239000, 34.62, 0, 1, 35.02, -999
20140924, 35.33, 35.49, 35.18, 35.4, 13312300, 34.94, 0, 1, 35.135, -999
20140923, 35.46, 35.51, 35.23, 35.26, 16803200, 34.8, 0, 1, 35.13, -999
20140922, 35.46, 35.55, 35.29, 35.5, 16421200, 35.04, 0, 1, 35.25, -999
20140919, 35.35, 35.48, 35.23, 35.47, 21894300, 35.01, 0, 1, 35.18, -999
20140918, 35.12, 35.24, 35.01, 35.16, 17230500, 34.7, 0, 1, 34.91, -999
20140917, 35.02, 35.19, 34.83, 35.02, 17137200, 34.56, 0, 1, 34.79, -999
20140916, 34.61, 35.01, 34.58, 34.95, 15655300, 34.49, 0, 1, 34.55, -999
20140915, 34.61, 34.78, 34.42, 34.69, 14689900, 34.24, 0, 1, 34.425, -999
20140912, 34.83, 34.91, 34.36, 34.5, 20210100, 34.05, 0, 1, 34.44, -999
20140911, 34.61, 34.88, 34.5, 34.85, 16024800, 34.4, 0, 1, 34.505, -999
20140910, 34.73, 34.78, 34.39, 34.7, 17719800, 34.25, 0, 1, 34.49, -999
20140909, 35.04, 35.06, 34.55, 34.66, 18782300, 34.21, 0, 1, 34.625, -999
20140908, 35.12, 35.12, 34.9, 35.01, 10786300, 34.55, 0, 1, 34.835, -999
20140905, 34.95, 35.26, 34.88, 35.15, 17799000, 34.69, 0, 1, 34.82, -999
20140904, 34.98, 35, 34.82, 34.94, 12483900, 34.49, 0, 1, 34.735, -999
20140903, 34.95, 35, 34.82, 34.97, 13026600, 34.51, 0, 1, 34.73, -999
20140902, 34.93, 35, 34.7, 34.84, 12691200, 34.39, 0, 1, 34.66, -999
20140829, 34.73, 34.96, 34.62, 34.96, 12709000, 34.5, 0, 1, 34.615, -999
20140828, 34.66, 34.75, 34.56, 34.74, 10539700, 34.29, 0, 1, 34.475, -999
20140827, 34.59, 34.79, 34.54, 34.75, 14853400, 34.3, 0, 1, 34.445, -999
20140826, 34.6, 34.65, 34.46, 34.5, 14805600, 34.05, 0, 1, 34.325, -999
20140825, 34.52, 34.66, 34.45, 34.51, 17321500, 34.06, 0, 1, 34.29, -999
20140822, 34.56, 34.63, 34.35, 34.5, 14285400, 34.05, 0, 1, 34.305, -999
20140821, 34.53, 34.75, 34.51, 34.64, 15931900, 34.19, 0, 1, 34.36, -999
20140820, 34.54, 34.56, 34.44, 34.53, 12549500, 34.08, 0, 1, 34.31, -999
20140819, 34.69, 34.69, 34.33, 34.48, 20478400, 34.03, 0, 1, 34.36, -999
20140818, 34.87, 34.9, 34.57, 34.65, 18496100, 34.2, 0, 1, 34.535, -999
20140815, 34.93, 34.97, 34.46, 34.74, 26952100, 34.29, 0, 1, 34.61, -999
20140814, 34.83, 34.93, 34.6, 34.91, 14588800, 34.46, 0, 1, 34.645, -999
20140813, 34.75, 34.83, 34.5, 34.69, 15951400, 34.24, 0, 1, 34.495, -999
20140812, 34.58, 34.7, 34.48, 34.64, 15322900, 34.19, 0, 1, 34.385, -999
20140811, 34.69, 34.76, 34.41, 34.47, 14724900, 34.02, 0, 1, 34.355, -999
20140808, 34.3, 34.5, 34.18, 34.47, 18771100, 34.02, 0, 1, 34.16, -999
20140807, 34.75, 34.79, 34.17, 34.21, 20749200, 33.76, 0, 1, 34.255, -999
20140806, 35, 35.02, 34.36, 34.62, 35941100, 34.17, 0, 1, 34.585, -999
20140805, 35.36, 35.46, 35.01, 35.11, 19505100, 34.65, 0, 1, 35.005, -999
20140804, 35.37, 35.53, 35.2, 35.46, 21300200, 35, 0, 1, 35.185, -999
20140801, 35.78, 35.82, 35.28, 35.33, 23962400, 34.87, 0, 1, 35.325, -999
