Ticker: UNH  Created on: 12/6/2014 5:26:23 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 99.81, 100.71, 99.68, 100.33, 3086700, 100.33, 0, 1, 100.07, -999
20141204, 100.84, 100.93, 99.42, 99.67, 4065200, 99.67, 0, 1, 100.255, -999
20141203, 99.88, 101.33, 99.7, 100.8, 6689000, 100.8, 0, 1, 100.34, -999
20141202, 99, 100, 98.2, 99.83, 4025700, 99.46, 0, 1, 99.23, -999
20141201, 98.75, 99.83, 98.01, 99.06, 4892800, 98.69, 0, 1, 98.72, -999
20141128, 98.7, 99.42, 98.43, 98.63, 2177500, 98.26, 0, 1, 98.48, -999
20141126, 97.99, 98.74, 97.82, 98.11, 2765900, 97.74, 0, 1, 97.865, -999
20141125, 97, 98.14, 96.91, 97.9, 4066300, 97.53, 0, 1, 97.265, -999
20141124, 97.27, 97.29, 96.51, 96.9, 3998800, 96.54, 0, 1, 96.905, -999
20141121, 97.4, 98.04, 96.59, 96.71, 4408600, 96.35, 0, 1, 96.875, -999
20141120, 96.46, 96.85, 96.17, 96.85, 3316700, 96.49, 0, 1, 96.475, -999
20141119, 97.73, 98.41, 96.79, 96.86, 3433800, 96.5, 0, 1, 97.115, -999
20141118, 96.99, 98.61, 96.85, 98.19, 4320800, 97.82, 0, 1, 97.405, -999
20141117, 95.2, 96.69, 94.84, 96.47, 3297600, 96.11, 0, 1, 95.655, -999
20141114, 96.02, 96.12, 94.87, 95.11, 2709500, 94.75, 0, 1, 95.385, -999
20141113, 95.64, 96.74, 95.4, 95.9, 2767700, 95.54, 0, 1, 95.59, -999
20141112, 95.23, 95.97, 94.52, 95.68, 2897600, 95.32, 0, 1, 95.275, -999
20141111, 95.05, 95.75, 94.72, 95.69, 2291400, 95.33, 0, 1, 95.19, -999
20141110, 93.68, 95, 93.5, 94.75, 4087700, 94.39, 0, 1, 94.035, -999
20141107, 95.5, 95.72, 93.01, 93.61, 6155400, 93.26, 0, 1, 94.38, -999
20141106, 96.04, 96.64, 95.9, 96.21, 3743200, 95.85, 0, 1, 95.945, -999
20141105, 95.57, 96.01, 95.02, 95.8, 3454700, 95.44, 0, 1, 95.505, -999
20141104, 94.99, 95.6, 94.24, 94.98, 4437300, 94.62, 0, 1, 94.805, -999
20141103, 95.45, 95.67, 94.5, 94.86, 4001200, 94.5, 0, 1, 94.975, -999
20141031, 95, 95.67, 94.31, 95.01, 5031500, 94.65, 0, 1, 94.825, -999
20141030, 92.56, 94.15, 92.5, 93.88, 2836400, 93.53, 0, 1, 93.045, -999
20141029, 92.9, 93.68, 92.69, 92.96, 4330400, 92.61, 0, 1, 92.755, -999
20141028, 91.05, 92.78, 90.36, 92.64, 4741300, 92.29, 0, 1, 91.67, -999
20141027, 91.43, 92.28, 91.38, 92.13, 3948900, 91.78, 0, 1, 91.605, -999
20141024, 90.66, 91.7, 90.59, 91.64, 2977300, 91.3, 0, 1, 90.98, -999
20141023, 90.94, 91.28, 90.42, 90.66, 3159200, 90.32, 0, 1, 90.63, -999
20141022, 91.44, 91.44, 89.71, 89.77, 4290300, 89.43, 0, 1, 90.435, -999
20141021, 89.16, 91.08, 88.85, 90.95, 5882100, 90.61, 0, 1, 89.885, -999
20141020, 88.24, 88.84, 88, 88.54, 4890900, 88.21, 0, 1, 88.225, -999
20141017, 86.85, 88.81, 86.75, 88.18, 8532800, 87.85, 0, 1, 87.35, -999
20141016, 84.76, 86.7, 84.1, 85.39, 10233000, 85.07, 0, 1, 84.915, -999
20141015, 82.17, 82.98, 80.72, 82.16, 8308900, 81.85, 0, 1, 82.01, -999
20141014, 84.34, 84.57, 82.55, 82.82, 5929500, 82.51, 0, 1, 83.425, -999
20141013, 85.22, 85.95, 83.76, 83.95, 3672600, 83.63, 0, 1, 84.425, -999
20141010, 85.09, 86.82, 85.05, 85.39, 4036800, 85.07, 0, 1, 85.08, -999
20141009, 86.35, 86.55, 84.63, 84.94, 4432800, 84.62, 0, 1, 85.485, -999
20141008, 84.29, 86.84, 83.99, 86.62, 4787400, 86.29, 0, 1, 85.29, -999
20141007, 84.9, 85.13, 83.93, 84.19, 3412900, 83.87, 0, 1, 84.385, -999
20141006, 86.65, 86.95, 84.95, 85.09, 2596100, 84.77, 0, 1, 85.71, -999
20141003, 85.37, 86.28, 85.07, 86.02, 3108100, 85.7, 0, 1, 85.535, -999
20141002, 84.85, 85.27, 83.73, 84.9, 3047000, 84.58, 0, 1, 84.715, -999
20141001, 86, 86.26, 84.61, 84.88, 4140200, 84.56, 0, 1, 85.28, -999
20140930, 86.68, 87.08, 86.12, 86.25, 2843200, 85.93, 0, 1, 86.305, -999
20140929, 85.58, 86.95, 85.58, 86.51, 3114800, 86.19, 0, 1, 85.885, -999
20140926, 86.25, 86.97, 85.91, 86.6, 2260500, 86.27, 0, 1, 86.26, -999
20140925, 87.79, 88, 86.03, 86.18, 3657100, 85.86, 0, 1, 86.825, -999
20140924, 86.62, 88.46, 86.6, 88.21, 2661500, 87.88, 0, 1, 87.25, -999
20140923, 87.32, 87.69, 86.38, 86.59, 2640200, 86.26, 0, 1, 86.79, -999
20140922, 87.8, 88.44, 87.48, 87.77, 2335400, 87.44, 0, 1, 87.62, -999
20140919, 88.51, 88.72, 87.64, 87.8, 6486300, 87.47, 0, 1, 87.99, -999
20140918, 87.42, 87.97, 87.19, 87.63, 2584000, 87.3, 0, 1, 87.36, -999
20140917, 86.95, 87.56, 86.47, 86.99, 3302700, 86.66, 0, 1, 86.805, -999
20140916, 86, 87.37, 85.85, 87.16, 2973700, 86.83, 0, 1, 86.415, -999
20140915, 86.3, 86.82, 85.83, 86.03, 2441800, 85.71, 0, 1, 86.005, -999
20140912, 87.24, 87.24, 85.86, 86.18, 2582400, 85.86, 0, 1, 86.55, -999
20140911, 86.76, 87.12, 86.2, 87.08, 3034500, 86.75, 0, 1, 86.755, -999
20140910, 88.44, 88.5, 86.69, 87.25, 3355800, 86.92, 0.375, 1, 87.68, -999
20140909, 88, 88.85, 87.49, 88.56, 4409400, 87.85, 0, 1, 87.925, -999
20140908, 87.7, 88, 87.42, 87.91, 2298000, 87.21, 0, 1, 87.455, -999
20140905, 86.95, 87.8, 86.74, 87.75, 3873500, 87.05, 0, 1, 87, -999
20140904, 86.76, 88.45, 86.71, 87.06, 3650100, 86.37, 0, 1, 86.565, -999
20140903, 86.78, 87.35, 86.42, 86.79, 2824400, 86.1, 0, 1, 86.44, -999
20140902, 87.12, 87.22, 85.76, 86.39, 3726100, 85.7, 0, 1, 86.41, -999
20140829, 86.75, 87.23, 86.35, 86.68, 3297500, 85.99, 0, 1, 86.37, -999
20140828, 86, 87, 85.52, 86.34, 2749700, 85.65, 0, 1, 85.825, -999
20140827, 85.18, 86.97, 84.96, 86.38, 5800700, 85.69, 0, 1, 85.435, -999
20140826, 84.45, 85.34, 84.15, 85.12, 2267800, 84.44, 0, 1, 84.445, -999
20140825, 84.39, 84.75, 83.95, 84.24, 1988100, 83.57, 0, 1, 83.98, -999
20140822, 83.6, 84, 83.46, 83.78, 2089300, 83.11, 0, 1, 83.355, -999
20140821, 83.61, 84.1, 83.59, 83.77, 2648500, 83.1, 0, 1, 83.355, -999
20140820, 82.94, 83.75, 82.36, 83.43, 2579600, 82.76, 0, 1, 82.85, -999
20140819, 82.49, 83.76, 82.05, 83.47, 3549300, 82.8, 0, 1, 82.645, -999
20140818, 81.77, 82.48, 81.35, 82.34, 2795800, 81.68, 0, 1, 81.725, -999
20140815, 82.21, 82.28, 80.81, 81.47, 2442700, 80.82, 0, 1, 81.515, -999
20140814, 81.71, 82.07, 80.16, 81.82, 2241100, 81.17, 0, 1, 81.44, -999
20140813, 80.62, 81.67, 80.39, 81.51, 3049900, 80.86, 0, 1, 80.74, -999
20140812, 79.61, 80.39, 79.53, 80.22, 3206200, 79.58, 0, 1, 79.595, -999
20140811, 80.39, 80.65, 79.76, 79.87, 3460000, 79.23, 0, 1, 79.81, -999
20140808, 79.41, 80.19, 78.74, 80.12, 3713400, 79.48, 0, 1, 79.445, -999
20140807, 81, 81.09, 79.16, 79.26, 5465400, 78.63, 0, 1, 79.815, -999
