Ticker: UPS  Created on: 12/6/2014 5:26:21 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 110.63, 111.25, 110.37, 110.98, 1912400, 110.98, 0, 1, 110.805, -999
20141204, 110.78, 110.78, 109.7, 110.43, 2402200, 110.43, 0, 1, 110.605, -999
20141203, 110.78, 111.22, 110.31, 110.9, 3428900, 110.9, 0, 1, 110.84, -999
20141202, 110.33, 111.16, 110.04, 110.41, 3330400, 110.41, 0, 1, 110.37, -999
20141201, 110.3, 111.32, 109.06, 109.79, 4819000, 109.79, 0, 1, 110.045, -999
20141128, 109.2, 111.09, 108.8, 109.92, 3988800, 109.92, 0, 1, 109.56, -999
20141126, 107.13, 107.39, 106.72, 106.98, 1783900, 106.98, 0, 1, 107.055, -999
20141125, 107.23, 107.68, 106.96, 107.12, 2735900, 107.12, 0, 1, 107.175, -999
20141124, 107.65, 107.98, 107.24, 107.26, 2688800, 107.26, 0, 1, 107.455, -999
20141121, 107.61, 108.55, 107.17, 107.35, 3806100, 107.35, 0, 1, 107.48, -999
20141120, 105.34, 107.34, 105.16, 106.71, 6990100, 106.71, 0, 1, 106.025, -999
20141119, 105.83, 106.18, 105.38, 105.64, 3621400, 105.64, 0, 1, 105.735, -999
20141118, 106.82, 106.91, 105.97, 106.03, 3360700, 106.03, 0, 1, 106.425, -999
20141117, 106.75, 106.98, 106.24, 106.47, 2918400, 106.47, 0, 1, 106.61, -999
20141114, 107.93, 107.98, 106.48, 106.83, 4476100, 106.83, 0, 1, 107.38, -999
20141113, 108.61, 108.85, 106.18, 107.79, 5920400, 107.79, 0, 1, 108.2, -999
20141112, 108.44, 108.74, 107.76, 108.62, 3568800, 107.95, 0, 1, 108.195, -999
20141111, 109.24, 109.4, 108.38, 108.76, 2746900, 108.09, 0, 1, 108.665, -999
20141110, 108.33, 109.3, 107.93, 109.05, 3635600, 108.38, 0, 1, 108.355, -999
20141107, 108.5, 108.6, 107.77, 108.33, 3172300, 107.66, 0, 1, 108.08, -999
20141106, 107.78, 108.39, 107.33, 108.29, 2990400, 107.62, 0, 1, 107.7, -999
20141105, 107.94, 108.07, 106.82, 107.54, 3124900, 106.88, 0, 1, 107.41, -999
20141104, 105.73, 108, 105.72, 107.08, 4777300, 106.42, 0, 1, 106.075, -999
20141103, 104.91, 105.72, 104.66, 105.64, 3592400, 104.99, 0, 1, 104.95, -999
20141031, 104.6, 105.84, 104.56, 104.91, 5470400, 104.26, 0, 1, 104.43, -999
20141030, 102.01, 103.79, 101.91, 103.29, 3019900, 102.65, 0, 1, 102.33, -999
20141029, 102.93, 103.45, 101.51, 102.62, 2727200, 101.99, 0, 1, 102.46, -999
20141028, 102.5, 103.01, 102.31, 102.9, 3530500, 102.27, 0, 1, 102.385, -999
20141027, 100.53, 102.39, 100.22, 102.25, 4172900, 101.62, 0, 1, 101.075, -999
20141024, 102.95, 103.24, 100.4, 100.59, 4249700, 99.97, 0, 1, 101.46, -999
20141023, 100.03, 101.24, 100.03, 100.48, 4168000, 99.86, 0, 1, 99.945, -999
20141022, 100.73, 100.75, 99.01, 99.06, 3564900, 98.45, 0, 1, 99.59, -999
20141021, 98.89, 100.91, 98.69, 100.75, 3629800, 100.13, 0, 1, 99.51, -999
20141020, 96.87, 98.08, 96.87, 98.08, 3014700, 97.48, 0, 1, 97.175, -999
20141017, 96.4, 97.54, 96.21, 97.26, 3617900, 96.66, 0, 1, 96.53, -999
