Ticker: USB  Created on: 12/6/2014 5:26:24 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 44.73, 45.21, 44.73, 45.13, 7347700, 45.13, 0, 1, 44.93, -999
20141204, 44.16, 44.54, 44.16, 44.53, 5529700, 44.53, 0, 1, 44.345, -999
20141203, 44.01, 44.44, 43.95, 44.32, 4387300, 44.32, 0, 1, 44.165, -999
20141202, 43.63, 44.07, 43.63, 44.07, 5431100, 44.07, 0, 1, 43.85, -999
20141201, 44.15, 44.18, 43.53, 43.62, 7241500, 43.62, 0, 1, 43.885, -999
20141128, 44.5, 44.68, 44.14, 44.2, 4515100, 44.2, 0, 1, 44.35, -999
20141126, 44.11, 44.4, 43.96, 44.38, 4897400, 44.38, 0, 1, 44.245, -999
20141125, 44.43, 44.43, 43.94, 44.01, 5396800, 44.01, 0, 1, 44.22, -999
20141124, 44.13, 44.49, 43.98, 44.37, 4844200, 44.37, 0, 1, 44.25, -999
20141121, 44.19, 44.35, 43.87, 43.97, 5065100, 43.97, 0, 1, 44.08, -999
20141120, 43.61, 44.01, 43.56, 43.91, 4778200, 43.91, 0, 1, 43.76, -999
20141119, 43.9, 43.96, 43.59, 43.89, 4983300, 43.89, 0, 1, 43.895, -999
20141118, 43.73, 44.1, 43.71, 43.98, 4526400, 43.98, 0, 1, 43.855, -999
20141117, 43.7, 43.82, 43.6, 43.8, 5571600, 43.8, 0, 1, 43.75, -999
20141114, 43.79, 43.94, 43.65, 43.73, 5051300, 43.73, 0, 1, 43.76, -999
20141113, 43.91, 44, 43.81, 43.93, 6771300, 43.93, 0, 1, 43.92, -999
20141112, 43.86, 44, 43.69, 43.94, 4963700, 43.94, 0, 1, 43.9, -999
20141111, 43.95, 44.17, 43.91, 44.03, 4850400, 44.03, 0, 1, 43.99, -999
20141110, 43.77, 43.93, 43.58, 43.93, 5390600, 43.93, 0, 1, 43.85, -999
20141107, 43.85, 43.95, 43.6, 43.81, 6859500, 43.81, 0, 1, 43.83, -999
20141106, 43.46, 43.93, 43.31, 43.92, 6344700, 43.92, 0, 1, 43.69, -999
20141105, 43.4, 43.55, 43.14, 43.52, 8095600, 43.52, 0, 1, 43.46, -999
20141104, 42.74, 43.18, 42.74, 43.16, 6993600, 43.16, 0, 1, 42.95, -999
20141103, 42.39, 43, 42.39, 42.92, 7517200, 42.92, 0, 1, 42.655, -999
20141031, 42.54, 42.6, 42.36, 42.6, 8840700, 42.6, 0, 1, 42.57, -999
20141030, 41.67, 42.34, 41.58, 42.14, 7541300, 42.14, 0, 1, 41.905, -999
20141029, 41.45, 41.95, 41.4, 41.84, 7085200, 41.84, 0, 1, 41.645, -999
20141028, 41.08, 41.54, 41.04, 41.54, 5468000, 41.54, 0, 1, 41.31, -999
20141027, 40.78, 41.03, 40.78, 40.96, 4214200, 40.96, 0, 1, 40.87, -999
20141024, 40.33, 40.99, 40.3, 40.91, 6660500, 40.91, 0, 1, 40.62, -999
20141023, 40.41, 40.67, 40.22, 40.41, 7881200, 40.41, 0, 1, 40.41, -999
20141022, 40.22, 40.68, 39.87, 39.89, 10190200, 39.89, 0, 1, 40.055, -999
20141021, 39.71, 40.32, 39.64, 40.27, 8903400, 40.27, 0, 1, 39.99, -999
20141020, 39.2, 39.59, 39.18, 39.38, 6280600, 39.38, 0, 1, 39.29, -999
20141017, 39.64, 39.67, 39.18, 39.4, 9192800, 39.4, 0, 1, 39.52, -999
20141016, 38.15, 39.4, 38.1, 39.1, 10721200, 39.1, 0, 1, 38.625, -999
20141015, 39.58, 39.73, 38.29, 38.94, 13295100, 38.94, 0, 1, 39.26, -999
20141014, 40, 40.48, 39.83, 39.97, 13103400, 39.97, 0, 1, 39.985, -999
20141013, 40.11, 40.55, 39.83, 39.86, 7607100, 39.86, 0, 1, 39.985, -999
20141010, 40.63, 41.02, 40.06, 40.07, 9338800, 40.07, 0, 1, 40.35, -999
20141009, 41.39, 41.39, 40.55, 40.58, 7952600, 40.58, 0, 1, 40.985, -999
20141008, 40.59, 41.3, 40.48, 41.3, 7598800, 41.3, 0, 1, 40.945, -999
20141007, 41.06, 41.27, 40.6, 40.6, 7288400, 40.6, 0, 1, 40.83, -999
20141006, 41.91, 41.92, 41.49, 41.54, 3948900, 41.54, 0, 1, 41.725, -999
