Ticker: VAR  Created on: 12/6/2014 5:26:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 87.35, 87.88, 86.91, 87.33, 452200, 87.33, 0, 1, 87.34, -999
20141204, 87.76, 88, 87.09, 87.34, 500800, 87.34, 0, 1, 87.55, -999
20141203, 87.54, 88.02, 87.05, 87.68, 622300, 87.68, 0, 1, 87.61, -999
20141202, 88.75, 88.95, 87.72, 87.92, 840600, 87.92, 0, 1, 88.335, -999
20141201, 88.54, 89.17, 87.75, 88.27, 698200, 88.27, 0, 1, 88.405, -999
20141128, 89.31, 89.9, 88.38, 88.51, 445500, 88.51, 0, 1, 88.91, -999
20141126, 89.46, 89.62, 88.82, 89, 526800, 89, 0, 1, 89.23, -999
20141125, 88.78, 89.12, 88.4, 89.09, 1408900, 89.09, 0, 1, 88.935, -999
20141124, 87.82, 88.83, 87.51, 88.75, 627800, 88.75, 0, 1, 88.285, -999
20141121, 88.78, 89.15, 87.63, 87.75, 415000, 87.75, 0, 1, 88.265, -999
20141120, 87.47, 88.04, 86.99, 87.88, 472600, 87.88, 0, 1, 87.675, -999
20141119, 88.35, 88.4, 87.19, 87.66, 632500, 87.66, 0, 1, 88.005, -999
20141118, 87.5, 88.61, 87.13, 88.35, 590700, 88.35, 0, 1, 87.925, -999
20141117, 87.35, 88, 87.05, 87.61, 685800, 87.61, 0, 1, 87.48, -999
20141114, 88.59, 88.63, 87.25, 87.58, 939000, 87.58, 0, 1, 88.085, -999
20141113, 87.32, 88.92, 87.12, 88.68, 1298700, 88.68, 0, 1, 88, -999
20141112, 86.76, 87.61, 85.76, 87.4, 904100, 87.4, 0, 1, 87.08, -999
20141111, 85.21, 87.89, 85.21, 86.87, 891100, 86.87, 0, 1, 86.04, -999
20141110, 84.61, 85.52, 84.5, 85.32, 488400, 85.32, 0, 1, 84.965, -999
20141107, 85.16, 85.31, 84.34, 84.64, 647900, 84.64, 0, 1, 84.9, -999
20141106, 84.45, 85.3, 84.12, 85.17, 734100, 85.17, 0, 1, 84.81, -999
20141105, 84.62, 84.85, 83.95, 84.41, 614900, 84.41, 0, 1, 84.515, -999
20141104, 83.42, 84.6, 83.36, 84.31, 831700, 84.31, 0, 1, 83.865, -999
20141103, 84.58, 84.6, 83.25, 83.76, 1048000, 83.76, 0, 1, 84.17, -999
20141031, 84.5, 84.79, 83.62, 84.12, 680600, 84.12, 0, 1, 84.31, -999
20141030, 82.74, 84.34, 82.54, 84, 610300, 84, 0, 1, 83.37, -999
20141029, 83.63, 84.42, 82.66, 83.16, 655200, 83.16, 0, 1, 83.395, -999
20141028, 82.36, 83.76, 82.11, 83.68, 1311500, 83.68, 0, 1, 83.02, -999
20141027, 80.81, 82.02, 80.73, 82.01, 1387500, 82.01, 0, 1, 81.41, -999
20141024, 79.53, 80.94, 79.2, 80.74, 995900, 80.74, 0, 1, 80.135, -999
20141023, 78.03, 79.85, 77.7, 79.69, 3227000, 79.69, 0, 1, 78.86, -999
20141022, 81.78, 82.12, 80.7, 80.99, 1779200, 80.99, 0, 1, 81.385, -999
20141021, 81.08, 81.99, 80.93, 81.84, 848500, 81.84, 0, 1, 81.46, -999
20141020, 79.35, 80.38, 79.35, 80.35, 650200, 80.35, 0, 1, 79.85, -999
20141017, 79.46, 80.25, 79, 79.34, 586600, 79.34, 0, 1, 79.4, -999
20141016, 77.67, 79.64, 77.29, 78.97, 917600, 78.97, 0, 1, 78.32, -999
20141015, 78.83, 78.92, 76.73, 78.17, 1008200, 78.17, 0, 1, 78.5, -999
20141014, 79.41, 80.66, 79.28, 80, 816800, 80, 0, 1, 79.705, -999
20141013, 79.45, 80.14, 79.05, 79.08, 400700, 79.08, 0, 1, 79.265, -999
20141010, 80, 80.74, 79.59, 79.61, 438100, 79.61, 0, 1, 79.805, -999
20141009, 80.38, 80.83, 79.55, 79.86, 601800, 79.86, 0, 1, 80.12, -999
20141008, 79.66, 80.44, 78.97, 80.44, 866700, 80.44, 0, 1, 80.05, -999
20141007, 80.69, 80.91, 79.48, 79.48, 442000, 79.48, 0, 1, 80.085, -999
20141006, 81.17, 81.56, 80.97, 81.09, 680100, 81.09, 0, 1, 81.13, -999
20141003, 80.37, 81.24, 80.37, 80.7, 645200, 80.7, 0, 1, 80.535, -999
20141002, 79.96, 80.68, 79.26, 80.06, 1081400, 80.06, 0, 1, 80.01, -999
20141001, 80.28, 80.33, 79.58, 79.98, 961500, 79.98, 0, 1, 80.13, -999
20140930, 81.07, 81.46, 80, 80.12, 785800, 80.12, 0, 1, 80.595, -999
20140929, 80.47, 81.43, 80.1, 81.2, 501300, 81.2, 0, 1, 80.835, -999
20140926, 81.03, 81.31, 80.16, 80.9, 1049400, 80.9, 0, 1, 80.965, -999
20140925, 82.13, 82.43, 80.88, 80.89, 631500, 80.89, 0, 1, 81.51, -999
20140924, 81.78, 82.6, 81.55, 82.48, 735100, 82.48, 0, 1, 82.13, -999
20140923, 81.17, 81.91, 80.9, 81.66, 658200, 81.66, 0, 1, 81.415, -999
20140922, 82.5, 82.54, 81.45, 81.6, 635100, 81.6, 0, 1, 82.05, -999
20140919, 83.2, 83.27, 82.42, 82.63, 870700, 82.63, 0, 1, 82.915, -999
20140918, 82.89, 82.89, 82.38, 82.73, 985000, 82.73, 0, 1, 82.81, -999
20140917, 83.13, 83.15, 82.29, 82.5, 838100, 82.5, 0, 1, 82.815, -999
20140916, 83.26, 83.54, 82.58, 83.02, 897500, 83.02, 0, 1, 83.14, -999
20140915, 84.97, 84.97, 82.91, 83.62, 1084600, 83.62, 0, 1, 84.295, -999
20140912, 85.85, 86.13, 84.96, 85.33, 524600, 85.33, 0, 1, 85.59, -999
20140911, 85.51, 86.17, 85.26, 85.97, 328700, 85.97, 0, 1, 85.74, -999
20140910, 85.65, 86.03, 85.38, 85.92, 363400, 85.92, 0, 1, 85.785, -999
20140909, 85.74, 85.74, 85.07, 85.37, 312200, 85.37, 0, 1, 85.555, -999
20140908, 85.05, 85.82, 85.05, 85.72, 368100, 85.72, 0, 1, 85.385, -999
20140905, 84.8, 85.15, 84.1, 85.07, 407900, 85.07, 0, 1, 84.935, -999
20140904, 85.32, 85.8, 84.65, 84.79, 252000, 84.79, 0, 1, 85.055, -999
20140903, 85.6, 85.72, 85.11, 85.3, 292900, 85.3, 0, 1, 85.45, -999
20140902, 85.23, 85.83, 84.88, 85.11, 532500, 85.11, 0, 1, 85.17, -999
20140829, 84.79, 85.09, 84.59, 85.02, 619600, 85.02, 0, 1, 84.905, -999
20140828, 84.6, 85, 84.09, 84.81, 527300, 84.81, 0, 1, 84.705, -999
20140827, 85, 85.37, 84.8, 85, 463000, 85, 0, 1, 85, -999
20140826, 84.82, 85.24, 84.5, 84.99, 500400, 84.99, 0, 1, 84.905, -999
20140825, 84.69, 84.86, 84.35, 84.55, 219800, 84.55, 0, 1, 84.62, -999
20140822, 84.51, 84.9, 84.15, 84.34, 389000, 84.34, 0, 1, 84.425, -999
20140821, 84.46, 84.91, 84.25, 84.51, 450700, 84.51, 0, 1, 84.485, -999
20140820, 84.37, 84.66, 83.42, 84.23, 680100, 84.23, 0, 1, 84.3, -999
20140819, 85, 85, 84.51, 84.69, 502300, 84.69, 0, 1, 84.845, -999
20140818, 85.1, 85.55, 84.8, 85.02, 580300, 85.02, 0, 1, 85.06, -999
20140815, 85.41, 85.57, 83.49, 84.24, 719700, 84.24, 0, 1, 84.825, -999
20140814, 85.4, 85.77, 85.1, 85.34, 477500, 85.34, 0, 1, 85.37, -999
20140813, 85.28, 85.78, 84.96, 85.38, 589300, 85.38, 0, 1, 85.33, -999
20140812, 84.71, 85.57, 84.31, 85.14, 580700, 85.14, 0, 1, 84.925, -999
20140811, 85.43, 85.43, 84.63, 84.78, 636200, 84.78, 0, 1, 85.105, -999
20140808, 83.49, 85.41, 83.49, 85.21, 1150100, 85.21, 0, 1, 84.35, -999
20140807, 83.57, 84.35, 82.99, 83.55, 1011200, 83.55, 0, 1, 83.56, -999
20140806, 82.45, 83.83, 82.45, 83.46, 528500, 83.46, 0, 1, 82.955, -999
20140805, 82.7, 83.7, 82.67, 82.9, 463900, 82.9, 0, 1, 82.8, -999
20140804, 81.89, 83.54, 81.75, 83.38, 455100, 83.38, 0, 1, 82.635, -999
20140801, 81.85, 82.29, 81.11, 81.89, 618900, 81.89, 0, 1, 81.87, -999
20140731, 82.91, 83.22, 82.12, 82.15, 455300, 82.15, 0, 1, 82.53, -999
20140730, 83.62, 83.96, 82.94, 83.09, 621700, 83.09, 0, 1, 83.355, -999
20140729, 83.35, 83.62, 82.97, 83.14, 524900, 83.14, 0, 1, 83.245, -999
20140728, 82.72, 83.59, 82.46, 83.3, 679400, 83.3, 0, 1, 83.01, -999
20140725, 82.86, 83.38, 82.39, 82.74, 1141100, 82.74, 0, 1, 82.8, -999
20140724, 84.4, 85.25, 82.03, 83.36, 2200500, 83.36, 0, 1, 83.88, -999
20140723, 85.9, 87.85, 85.51, 87.52, 1414400, 87.52, 0, 1, 86.71, -999
20140722, 84.7, 86.24, 84.28, 85.51, 671600, 85.51, 0, 1, 85.105, -999
20140721, 84.11, 84.36, 83.48, 84.27, 384400, 84.27, 0, 1, 84.19, -999
20140718, 83.59, 84.66, 83.24, 84.59, 317200, 84.59, 0, 1, 84.09, -999
20140717, 84.43, 84.7, 83.23, 83.25, 441200, 83.25, 0, 1, 83.84, -999
20140716, 84.84, 85.02, 84.28, 84.91, 427100, 84.91, 0, 1, 84.875, -999
20140715, 84.96, 85.32, 84.16, 84.68, 276200, 84.68, 0, 1, 84.82, -999
20140714, 85.33, 85.65, 84.9, 84.96, 456600, 84.96, 0, 1, 85.145, -999
20140711, 85.05, 85.19, 84.66, 85.14, 540600, 85.14, 0, 1, 85.095, -999
20140710, 84.58, 85.43, 84.21, 85.26, 501300, 85.26, 0, 1, 84.92, -999
20140709, 84.93, 85.31, 84.44, 85.29, 572900, 85.29, 0, 1, 85.11, -999
20140708, 84.51, 84.58, 83.75, 84.54, 462800, 84.54, 0, 1, 84.525, -999
20140707, 84.04, 85.14, 83.92, 84.48, 487300, 84.48, 0, 1, 84.26, -999
20140703, 84, 84.37, 83.78, 84.28, 304800, 84.28, 0, 1, 84.14, -999
20140702, 83.9, 84.12, 83.47, 84.05, 294000, 84.05, 0, 1, 83.975, -999
20140701, 83.29, 84.01, 83.24, 83.95, 454600, 83.95, 0, 1, 83.62, -999
20140630, 83.62, 83.71, 82.53, 83.14, 526800, 83.14, 0, 1, 83.38, -999
20140627, 83.75, 84.39, 83.48, 83.85, 535100, 83.85, 0, 1, 83.8, -999
20140626, 83.88, 84.03, 82.99, 84, 352200, 84, 0, 1, 83.94, -999
20140625, 83.27, 84.29, 83.01, 84.02, 402900, 84.02, 0, 1, 83.645, -999
20140624, 84.26, 84.53, 83.19, 83.27, 543700, 83.27, 0, 1, 83.765, -999
20140623, 84.46, 85.27, 84.36, 84.57, 594300, 84.57, 0, 1, 84.515, -999
20140620, 83.97, 84.4, 83.94, 84.34, 600500, 84.34, 0, 1, 84.155, -999
20140619, 83.75, 84.08, 83.52, 83.71, 416900, 83.71, 0, 1, 83.73, -999
20140618, 82.51, 83.73, 82.27, 83.72, 597600, 83.72, 0, 1, 83.115, -999
20140617, 82.36, 82.9, 82.21, 82.53, 480300, 82.53, 0, 1, 82.445, -999
