Ticker: VFC  Created on: 12/6/2014 5:26:27 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 73.95, 74.27, 73.37, 73.68, 1322600, 73.68, 0, 1, 73.815, -999
20141204, 74.37, 74.72, 73.94, 74.21, 1192100, 73.89, 0, 1, 74.13, -999
20141203, 73.97, 74.64, 73.89, 74.57, 1159400, 74.25, 0, 1, 74.11, -999
20141202, 74.26, 74.5, 73.64, 74.21, 1784100, 73.89, 0, 1, 74.075, -999
20141201, 74.32, 74.65, 73.54, 73.7, 1345000, 73.38, 0, 1, 73.85, -999
20141128, 74.55, 75.43, 74.52, 75.17, 1045700, 74.85, 0, 1, 74.7, -999
20141126, 74.06, 74.32, 73.81, 74.05, 1122800, 73.73, 0, 1, 73.895, -999
20141125, 74.01, 74.38, 73.65, 74.06, 2493800, 73.74, 0, 1, 73.875, -999
20141124, 73.92, 74.25, 73.34, 73.91, 1709800, 73.59, 0, 1, 73.755, -999
20141121, 74.32, 74.35, 73.51, 73.63, 1864800, 73.31, 0, 1, 73.815, -999
20141120, 72.21, 73.5, 72.21, 73.38, 1986400, 73.06, 0, 1, 72.635, -999
20141119, 72.39, 72.87, 72.07, 72.66, 1163200, 72.35, 0, 1, 72.37, -999
20141118, 71.5, 72.8, 71.34, 72.43, 1577600, 72.12, 0, 1, 71.81, -999
20141117, 70.96, 71.59, 70.7, 71.32, 1056500, 71.01, 0, 1, 70.985, -999
20141114, 71.16, 71.45, 70.91, 71, 1302500, 70.69, 0, 1, 70.925, -999
20141113, 71.56, 71.66, 70.86, 71.34, 942200, 71.03, 0, 1, 71.295, -999
20141112, 70.74, 71.53, 70.45, 71.49, 1662800, 71.18, 0, 1, 70.96, -999
20141111, 70.76, 70.86, 70.18, 70.52, 1737200, 70.22, 0, 1, 70.49, -999
20141110, 69.84, 70.74, 69.76, 70.62, 2103400, 70.32, 0, 1, 70.08, -999
20141107, 68.69, 69.85, 68.52, 69.79, 1688700, 69.49, 0, 1, 69.09, -999
20141106, 68.5, 68.99, 68.34, 68.91, 1593000, 68.61, 0, 1, 68.555, -999
20141105, 68.56, 68.75, 68.23, 68.5, 1294900, 68.2, 0, 1, 68.38, -999
20141104, 67.85, 68.04, 67.22, 67.91, 1098600, 67.62, 0, 1, 67.735, -999
20141103, 67.88, 68, 67.53, 67.9, 1372000, 67.61, 0, 1, 67.745, -999
20141031, 68.1, 68.29, 67.43, 67.68, 1647200, 67.39, 0, 1, 67.745, -999
20141030, 66.77, 67.72, 66.58, 67.27, 1352900, 66.98, 0, 1, 66.875, -999
20141029, 67.32, 67.77, 66.54, 66.92, 1550600, 66.63, 0, 1, 66.975, -999
20141028, 67.19, 67.49, 66.85, 67.43, 1490500, 67.14, 0, 1, 67.165, -999
20141027, 66.5, 67.13, 66.15, 66.96, 1339600, 66.67, 0, 1, 66.585, -999
20141024, 66.09, 66.82, 66, 66.5, 1583000, 66.21, 0, 1, 66.15, -999
20141023, 67.04, 67.65, 66.13, 66.24, 2162000, 65.95, 0, 1, 66.495, -999
20141022, 66.85, 67.59, 66.64, 66.67, 2232100, 66.38, 0, 1, 66.615, -999
20141021, 64.46, 66.72, 64.44, 66.67, 2157700, 66.38, 0, 1, 65.42, -999
20141020, 63.64, 64.42, 62.5, 63.96, 2887100, 63.68, 0, 1, 63.66, -999
20141017, 64.36, 64.58, 63.75, 63.76, 3021300, 63.49, 0, 1, 63.925, -999
20141016, 61.9, 64.17, 61.86, 63.98, 2483200, 63.7, 0, 1, 62.8, -999
20141015, 63.11, 63.2, 61.75, 62.8, 3163900, 62.53, 0, 1, 62.82, -999
20141014, 63.86, 64.27, 63.54, 63.95, 1721500, 63.67, 0, 1, 63.765, -999
20141013, 64.6, 64.85, 63.65, 63.76, 1996700, 63.49, 0, 1, 64.045, -999
20141010, 65.14, 65.64, 64.54, 64.54, 1763800, 64.26, 0, 1, 64.7, -999
20141009, 66.69, 66.75, 64.85, 65.04, 1875300, 64.76, 0, 1, 65.725, -999
20141008, 65.87, 66.76, 65.78, 66.68, 2024100, 66.39, 0, 1, 66.13, -999
20141007, 66.03, 66.36, 65.66, 65.68, 1069500, 65.4, 0, 1, 65.715, -999
20141006, 67.43, 67.49, 66.39, 66.45, 1146600, 66.16, 0, 1, 66.795, -999
20141003, 67, 67.46, 66.83, 67.3, 1511200, 67.01, 0, 1, 67.005, -999
20141002, 65.99, 66.72, 65.38, 66.62, 1345000, 66.33, 0, 1, 66.16, -999
20141001, 66.08, 66.23, 65.55, 65.89, 2091700, 65.61, 0, 1, 65.845, -999
20140930, 66.09, 66.39, 65.81, 66.03, 1667600, 65.75, 0, 1, 65.92, -999
20140929, 65.67, 66.28, 65.54, 66.13, 1227800, 65.84, 0, 1, 65.755, -999
20140926, 65.89, 66.4, 65.77, 66.27, 975000, 65.98, 0, 1, 65.935, -999
20140925, 66.62, 66.66, 65.5, 65.61, 1939400, 65.33, 0, 1, 65.975, -999
20140924, 66.23, 66.87, 65.85, 66.85, 1421800, 66.56, 0, 1, 66.395, -999
20140923, 66.72, 66.95, 66.21, 66.23, 1137600, 65.94, 0, 1, 66.33, -999
20140922, 67.09, 67.41, 66.53, 66.86, 1851000, 66.57, 0, 1, 66.83, -999
20140919, 67.69, 67.82, 67.07, 67.17, 2289100, 66.88, 0, 1, 67.285, -999
20140918, 66.98, 67.21, 66.41, 67.04, 1273000, 66.75, 0, 1, 66.865, -999
20140917, 66.61, 66.72, 65.69, 66.21, 1351500, 65.92, 0, 1, 66.265, -999
20140916, 65.91, 66.63, 65.8, 66.34, 2045700, 66.05, 0, 1, 65.98, -999
20140915, 65.85, 66.24, 65.56, 66.02, 1716000, 65.74, 0, 1, 65.795, -999
