Ticker: VIAB  Created on: 12/6/2014 5:26:27 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 74.88, 78, 74.68, 76.9, 6836600, 76.9, 0, 1, 75.89, -999
20141204, 74.88, 75.2, 73.41, 74.74, 5174300, 74.74, 0, 1, 74.81, -999
20141203, 74.03, 75.11, 73.77, 75.05, 4590800, 75.05, 0, 1, 74.54, -999
20141202, 74.3, 74.78, 74.1, 74.14, 3129300, 74.14, 0, 1, 74.22, -999
20141201, 75.36, 75.53, 73.94, 74.16, 3755000, 74.16, 0, 1, 74.76, -999
20141128, 75.58, 75.78, 75.24, 75.63, 1267500, 75.63, 0, 1, 75.605, -999
20141126, 74.86, 75.75, 74.59, 75.23, 2810600, 75.23, 0, 1, 75.045, -999
20141125, 74.5, 75.43, 74.4, 74.95, 4283600, 74.95, 0, 1, 74.725, -999
20141124, 73.94, 74.57, 73.74, 74.5, 3661200, 74.5, 0, 1, 74.22, -999
20141121, 74.94, 74.94, 73.29, 73.71, 4088600, 73.71, 0, 1, 74.325, -999
20141120, 73.41, 74.26, 72.93, 73.8, 3002300, 73.8, 0, 1, 73.605, -999
20141119, 73.68, 73.68, 72.91, 73.48, 4267800, 73.48, 0, 1, 73.58, -999
20141118, 74.04, 74.32, 73.49, 73.75, 3397900, 73.75, 0, 1, 73.895, -999
20141117, 72.98, 74.76, 72.92, 74.1, 5636700, 74.1, 0, 1, 73.54, -999
20141114, 71.39, 73.16, 70.78, 72.96, 4958100, 72.96, 0, 1, 72.175, -999
20141113, 69.94, 72.95, 69.81, 71.2, 6310300, 71.2, 0, 1, 70.57, -999
20141112, 68.78, 70.05, 68.6, 69.25, 4113800, 69.25, 0, 1, 69.015, -999
20141111, 70.02, 70.42, 69.24, 69.53, 3028900, 69.53, 0, 1, 69.775, -999
20141110, 70.51, 70.87, 69.88, 70.09, 3835200, 70.09, 0, 1, 70.3, -999
20141107, 70.96, 71.14, 69.92, 70.63, 3054400, 70.63, 0, 1, 70.795, -999
20141106, 70.64, 71.14, 70.36, 70.79, 3139100, 70.79, 0, 1, 70.715, -999
20141105, 70.13, 70.52, 68.75, 70.48, 4022100, 70.48, 0, 1, 70.305, -999
20141104, 72.46, 72.48, 69.58, 69.63, 4583400, 69.63, 0, 1, 71.045, -999
20141103, 72.67, 72.89, 72.42, 72.83, 2960300, 72.83, 0, 1, 72.75, -999
20141031, 73.53, 74.08, 72.68, 72.68, 2698900, 72.68, 0, 1, 73.105, -999
20141030, 72.69, 72.89, 71.97, 72.72, 3203100, 72.72, 0, 1, 72.705, -999
20141029, 72.87, 73.55, 72.49, 73, 2795100, 73, 0, 1, 72.935, -999
20141028, 72.24, 73, 71.96, 72.93, 2507000, 72.93, 0, 1, 72.585, -999
20141027, 71.52, 72.44, 71, 71.89, 3112000, 71.89, 0, 1, 71.705, -999
20141024, 71.62, 71.84, 71.06, 71.61, 1841900, 71.61, 0, 1, 71.615, -999
20141023, 70.92, 71.87, 70.58, 71.47, 2587300, 71.47, 0, 1, 71.195, -999
