Ticker: VLO  Created on: 12/6/2014 5:26:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 51.46, 52.08, 49.64, 49.78, 8171700, 49.78, 0, 1, 50.62, -999
20141204, 51.51, 52.05, 50.74, 51.59, 8151000, 51.59, 0, 1, 51.55, -999
20141203, 50.97, 52.1, 50.94, 51.72, 9365000, 51.72, 0, 1, 51.345, -999
20141202, 48.98, 50.99, 48.86, 50.88, 8426600, 50.88, 0, 1, 49.93, -999
20141201, 48.2, 49.17, 47.84, 48.9, 7101400, 48.9, 0, 1, 48.55, -999
20141128, 50.07, 50.15, 48.28, 48.61, 6734200, 48.61, 0, 1, 49.34, -999
20141126, 50.98, 51.25, 50.65, 50.94, 4733100, 50.94, 0, 1, 50.96, -999
20141125, 50.86, 51.58, 50.54, 50.98, 6516200, 50.98, 0, 1, 50.92, -999
20141124, 50.16, 51.36, 50.14, 50.81, 7486900, 50.81, 0, 1, 50.485, -999
20141121, 50.89, 52.07, 50.18, 50.29, 11518700, 50.29, 0, 1, 50.59, -999
20141120, 50.06, 50.54, 49.95, 50.26, 8482000, 50.26, 0, 1, 50.16, -999
20141119, 50.14, 50.28, 49.37, 50.12, 5942200, 50.12, 0, 1, 50.13, -999
20141118, 49.7, 50.4, 49.63, 50.06, 5928800, 50.06, 0, 1, 49.88, -999
20141117, 49.45, 49.92, 49.08, 49.72, 5742900, 49.72, 0, 1, 49.585, -999
20141114, 49.81, 50.2, 49.26, 49.51, 7214300, 49.23, 0, 1, 49.52, -999
20141113, 51.21, 51.24, 49.2, 49.68, 9948400, 49.4, 0, 1, 50.305, -999
20141112, 51.01, 51.75, 50.94, 51.33, 5573800, 51.04, 0, 1, 51.025, -999
20141111, 50.63, 51.3, 50.22, 51.16, 5509700, 50.88, 0, 1, 50.755, -999
20141110, 51.33, 51.48, 50.25, 50.59, 6202100, 50.31, 0, 1, 50.82, -999
20141107, 50.26, 50.79, 50.14, 50.72, 6614200, 50.44, 0, 1, 50.35, -999
20141106, 49.88, 50.67, 49.73, 50.24, 6769100, 49.96, 0, 1, 49.92, -999
20141105, 50.77, 50.85, 48.93, 49.64, 10009900, 49.36, 0, 1, 50.065, -999
20141104, 50.26, 51.09, 49.51, 50.63, 8782400, 50.35, 0, 1, 50.305, -999
20141103, 50.17, 51.25, 50.03, 50.34, 7701600, 50.06, 0, 1, 50.115, -999
20141031, 49.41, 50.15, 48.83, 50.09, 7606400, 49.81, 0, 1, 49.61, -999
20141030, 48.61, 49.48, 48.19, 48.85, 4327000, 48.58, 0, 1, 48.595, -999
20141029, 49.9, 50.17, 48.02, 48.53, 6248400, 48.26, 0, 1, 49.08, -999
20141028, 48.43, 49.6, 47.97, 49.49, 4807900, 49.22, 0, 1, 48.825, -999
20141027, 48.2, 48.52, 47.31, 48.36, 4453600, 48.09, 0, 1, 48.145, -999
20141024, 48.14, 48.69, 47.29, 48.62, 5047700, 48.35, 0, 1, 48.245, -999
20141023, 49.03, 49.23, 47.9, 48.01, 5625900, 47.74, 0, 1, 48.385, -999
20141022, 48.38, 49.51, 47.92, 48, 10248800, 47.73, 0, 1, 48.055, -999
20141021, 46.58, 48.37, 46.55, 48.3, 8942300, 48.03, 0, 1, 47.305, -999
20141020, 45.08, 46.46, 45, 46.31, 6282000, 46.05, 0, 1, 45.565, -999
20141017, 45.34, 45.79, 44.5, 45.15, 8897500, 44.9, 0, 1, 45.12, -999
20141016, 43.09, 45.76, 42.81, 44.75, 12250000, 44.5, 0, 1, 43.795, -999
20141015, 44.23, 45.05, 42.53, 43.76, 10982000, 43.52, 0, 1, 43.875, -999
20141014, 44.79, 45.71, 43.7, 44.92, 11378300, 44.67, 0, 1, 44.73, -999
20141013, 45.01, 46.18, 44.51, 44.55, 8439600, 44.3, 0, 1, 44.655, -999
20141010, 45.43, 46.52, 44.28, 45.15, 7566000, 44.9, 0, 1, 45.165, -999
20141009, 46.92, 47.33, 45.15, 45.43, 8678900, 45.18, 0, 1, 46.05, -999
20141008, 45.41, 46.97, 44.56, 46.84, 9446000, 46.58, 0, 1, 45.995, -999
20141007, 44.78, 46.27, 44.76, 45.13, 7982100, 44.88, 0, 1, 44.83, -999
20141006, 44.79, 45.24, 44.11, 44.72, 5830900, 44.47, 0, 1, 44.63, -999
20141003, 45.26, 45.34, 44.51, 44.74, 9542100, 44.49, 0, 1, 44.875, -999
20141002, 45.56, 46.27, 44.4, 45.17, 9605600, 44.92, 0, 1, 45.24, -999
20141001, 46.39, 47.09, 45.31, 45.6, 8618800, 45.35, 0, 1, 45.87, -999
20140930, 46.67, 47.1, 46.24, 46.27, 9357500, 46.01, 0, 1, 46.34, -999
20140929, 46.5, 47.25, 46.24, 46.77, 7303500, 46.51, 0, 1, 46.505, -999
