Ticker: VMC  Created on: 12/6/2014 5:26:28 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 67.22, 67.49, 66.47, 66.67, 693900, 66.67, 0, 1, 66.945, -999
20141204, 66.82, 67.71, 66.6, 67.42, 1063600, 67.42, 0, 1, 67.12, -999
20141203, 65.63, 67.11, 65.46, 67.07, 1175400, 67.07, 0, 1, 66.35, -999
20141202, 64.63, 65.48, 64.43, 65.41, 1226400, 65.41, 0, 1, 65.02, -999
20141201, 65.98, 66.1, 64.2, 64.5, 1336300, 64.5, 0, 1, 65.24, -999
20141128, 67.02, 67.04, 66.01, 66.1, 533400, 66.1, 0, 1, 66.56, -999
20141126, 67.76, 67.79, 66.73, 67.12, 670600, 67.12, 0, 1, 67.44, -999
20141125, 68.67, 68.92, 67.28, 67.59, 811900, 67.59, 0, 1, 68.13, -999
20141124, 68.81, 68.98, 68.56, 68.61, 1596200, 68.61, 0, 1, 68.71, -999
20141121, 68.63, 69.1, 68.24, 68.61, 1541200, 68.55, 0, 1, 68.59, -999
20141120, 67.09, 68.24, 66.8, 68.01, 1064500, 67.95, 0, 1, 67.52, -999
20141119, 67.08, 67.84, 66.48, 67.67, 1200200, 67.61, 0, 1, 67.345, -999
20141118, 65.93, 67.21, 65.93, 67.1, 1369400, 67.04, 0, 1, 66.485, -999
20141117, 66.16, 66.2, 65.74, 66, 896800, 65.94, 0, 1, 66.05, -999
20141114, 65.5, 66.37, 65.12, 66.31, 830800, 66.25, 0, 1, 65.875, -999
20141113, 65.42, 65.9, 64.92, 65.58, 842500, 65.52, 0, 1, 65.47, -999
20141112, 65.53, 65.72, 64.81, 65.46, 889700, 65.4, 0, 1, 65.465, -999
20141111, 65.28, 65.88, 65.18, 65.35, 598300, 65.29, 0, 1, 65.285, -999
20141110, 65.05, 65.77, 64.96, 65.42, 1063700, 65.36, 0, 1, 65.205, -999
20141107, 64.76, 65.77, 64.73, 65.11, 1237500, 65.05, 0, 1, 64.905, -999
20141106, 64.19, 64.85, 63.51, 64.77, 1039000, 64.71, 0, 1, 64.45, -999
20141105, 64.25, 65.5, 63.81, 64.17, 1596200, 64.11, 0, 1, 64.18, -999
20141104, 62.72, 64.71, 61.22, 63.5, 2691100, 63.44, 0, 1, 63.08, -999
20141103, 61.64, 62.79, 61.27, 62.4, 2139900, 62.35, 0, 1, 61.995, -999
20141031, 61.5, 62.03, 60.4, 61.71, 1507800, 61.66, 0, 1, 61.58, -999
20141030, 59.01, 60.75, 58.92, 60.29, 1202500, 60.24, 0, 1, 59.625, -999
20141029, 60.41, 60.76, 58.71, 59.4, 1878300, 59.35, 0, 1, 59.88, -999
