Ticker: VRSN  Created on: 12/6/2014 5:26:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 59.14, 59.54, 58.63, 58.82, 708800, 58.82, 0, 1, 58.98, -999
20141204, 58.59, 59.3, 58.32, 59.04, 749900, 59.04, 0, 1, 58.815, -999
20141203, 58.46, 59.31, 58.31, 58.65, 1036200, 58.65, 0, 1, 58.555, -999
20141202, 58.6, 59, 58.24, 58.73, 1198100, 58.73, 0, 1, 58.665, -999
20141201, 59.67, 60.03, 58.7, 58.71, 895100, 58.71, 0, 1, 59.19, -999
20141128, 60, 60.4, 59.98, 60.1, 566400, 60.1, 0, 1, 60.05, -999
20141126, 60, 60.25, 59.82, 60.07, 857900, 60.07, 0, 1, 60.035, -999
20141125, 60.23, 60.29, 59.56, 59.87, 1254300, 59.87, 0, 1, 60.05, -999
20141124, 60.19, 60.41, 59.92, 60.24, 800800, 60.24, 0, 1, 60.215, -999
20141121, 60.35, 60.35, 59.81, 59.9, 980800, 59.9, 0, 1, 60.125, -999
20141120, 59.24, 59.98, 59.06, 59.73, 925900, 59.73, 0, 1, 59.485, -999
20141119, 59.99, 59.99, 59.2, 59.38, 1107600, 59.38, 0, 1, 59.685, -999
20141118, 60.57, 61.25, 60.47, 60.6, 1162400, 60.6, 0, 1, 60.585, -999
20141117, 60.68, 61.23, 60.4, 60.66, 969500, 60.66, 0, 1, 60.67, -999
20141114, 59.95, 60.81, 59.93, 60.68, 697600, 60.68, 0, 1, 60.315, -999
20141113, 60.3, 60.54, 59.78, 60.19, 508400, 60.19, 0, 1, 60.245, -999
20141112, 59.59, 60.39, 59.5, 60.36, 578500, 60.36, 0, 1, 59.975, -999
20141111, 60.53, 60.59, 59.85, 59.93, 723600, 59.93, 0, 1, 60.23, -999
20141110, 59.71, 60.72, 59.51, 60.47, 1330500, 60.47, 0, 1, 60.09, -999
20141107, 59.77, 60.03, 59.26, 59.8, 798400, 59.8, 0, 1, 59.785, -999
20141106, 59.36, 60.25, 59.14, 59.81, 1395800, 59.81, 0, 1, 59.585, -999
20141105, 59.09, 59.35, 58.61, 59.24, 732300, 59.24, 0, 1, 59.165, -999
20141104, 58.85, 59.28, 58.19, 58.79, 1308600, 58.79, 0, 1, 58.82, -999
20141103, 59.67, 60.18, 59.49, 59.56, 675700, 59.56, 0, 1, 59.615, -999
20141031, 59.46, 59.83, 59.2, 59.76, 1313200, 59.76, 0, 1, 59.61, -999
20141030, 58.42, 58.98, 57.73, 58.79, 860200, 58.79, 0, 1, 58.605, -999
20141029, 58.93, 59.27, 58.33, 58.73, 762700, 58.73, 0, 1, 58.83, -999
20141028, 58.75, 59.28, 58.45, 59.04, 1118700, 59.04, 0, 1, 58.895, -999
20141027, 58.37, 59.2, 58.21, 58.64, 1036100, 58.64, 0, 1, 58.505, -999
20141024, 56.44, 59.85, 56.43, 58.55, 1866700, 58.55, 0, 1, 57.495, -999
20141023, 55.42, 56.42, 55.03, 56.34, 1297600, 56.34, 0, 1, 55.88, -999
20141022, 56.7, 57.01, 55.14, 55.19, 1081000, 55.19, 0, 1, 55.945, -999
20141021, 55.38, 56.74, 54.98, 56.61, 989200, 56.61, 0, 1, 55.995, -999
20141020, 53.91, 55.23, 53.33, 55.17, 599300, 55.17, 0, 1, 54.54, -999
20141017, 54.57, 55.06, 54, 54.24, 866400, 54.24, 0, 1, 54.405, -999
20141016, 52.29, 54.08, 52.1, 53.75, 987900, 53.75, 0, 1, 53.02, -999
20141015, 53.17, 53.66, 52.33, 53.14, 1226400, 53.14, 0, 1, 53.155, -999
20141014, 54.14, 54.68, 53.53, 53.63, 1168600, 53.63, 0, 1, 53.885, -999
20141013, 53.86, 54.54, 53.04, 53.68, 1028500, 53.68, 0, 1, 53.77, -999
20141010, 55.13, 55.71, 53.87, 53.87, 1032500, 53.87, 0, 1, 54.5, -999
20141009, 55.91, 56.25, 55.15, 55.25, 572900, 55.25, 0, 1, 55.58, -999
20141008, 55.11, 56.3, 54.83, 56.13, 649700, 56.13, 0, 1, 55.62, -999
20141007, 55.56, 55.97, 55, 55.01, 642600, 55.01, 0, 1, 55.285, -999
20141006, 56.31, 56.45, 55.43, 55.83, 539100, 55.83, 0, 1, 56.07, -999
20141003, 55.96, 56.4, 55.52, 56.02, 726700, 56.02, 0, 1, 55.99, -999
20141002, 54.49, 56.06, 54.32, 55.52, 1484000, 55.52, 0, 1, 55.005, -999
20141001, 55.01, 55.11, 54.05, 54.31, 885900, 54.31, 0, 1, 54.66, -999
20140930, 55.27, 55.61, 55.06, 55.12, 804100, 55.12, 0, 1, 55.195, -999
20140929, 55.03, 55.57, 54.89, 55.21, 948400, 55.21, 0, 1, 55.12, -999
20140926, 55.34, 55.69, 55.16, 55.49, 667100, 55.49, 0, 1, 55.415, -999
20140925, 55.9, 56.15, 55.17, 55.29, 1176500, 55.29, 0, 1, 55.595, -999
20140924, 55.45, 56.4, 55.37, 56.21, 877800, 56.21, 0, 1, 55.83, -999
20140923, 55.35, 55.71, 55.22, 55.33, 751800, 55.33, 0, 1, 55.34, -999
20140922, 55.79, 56.25, 55.33, 55.54, 1160300, 55.54, 0, 1, 55.665, -999
20140919, 55.76, 55.94, 54.81, 55.84, 4414700, 55.84, 0, 1, 55.8, -999
20140918, 55.95, 56.17, 55.46, 55.79, 1294900, 55.79, 0, 1, 55.87, -999
20140917, 55.68, 56.24, 55.45, 55.64, 1134500, 55.64, 0, 1, 55.66, -999
20140916, 55.44, 55.94, 55.11, 55.75, 981900, 55.75, 0, 1, 55.595, -999
20140915, 56.23, 56.74, 55.5, 55.58, 1159700, 55.58, 0, 1, 55.905, -999
20140912, 56.13, 56.75, 56.07, 56.15, 764700, 56.15, 0, 1, 56.14, -999
20140911, 56.33, 56.72, 56.19, 56.53, 1285500, 56.53, 0, 1, 56.43, -999
20140910, 56.07, 56.59, 55.95, 56.46, 1854600, 56.46, 0, 1, 56.265, -999
20140909, 56.9, 56.98, 55.91, 55.94, 1648900, 55.94, 0, 1, 56.42, -999
20140908, 57.09, 57.43, 56.69, 56.85, 1687200, 56.85, 0, 1, 56.97, -999
20140905, 56.91, 57.28, 56.84, 57.23, 697800, 57.23, 0, 1, 57.07, -999
20140904, 56.79, 57.4, 56.59, 57.05, 849300, 57.05, 0, 1, 56.92, -999
