Ticker: VTR  Created on: 12/6/2014 5:26:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 72.02, 72.02, 70.41, 71.06, 2620200, 71.06, 0, 1, 71.54, -999
20141204, 72.34, 72.71, 72.06, 72.56, 1836900, 72.56, 0, 1, 72.45, -999
20141203, 72.44, 72.51, 71.96, 72.34, 2018100, 72.34, 0, 1, 72.39, -999
20141202, 71.79, 72.64, 71.37, 72.48, 3390300, 72.48, 0, 1, 72.135, -999
20141201, 71.36, 72.65, 71.16, 72.42, 2183000, 72.42, 0, 1, 71.89, -999
20141128, 71.28, 72.17, 70.96, 71.55, 1188600, 71.55, 0, 1, 71.415, -999
20141126, 70.29, 71.06, 70.14, 71, 2551100, 71, 0, 1, 70.645, -999
20141125, 69.91, 70.4, 69.57, 70.29, 2805500, 70.29, 0, 1, 70.1, -999
20141124, 69.75, 69.93, 69.35, 69.73, 1774100, 69.73, 0, 1, 69.74, -999
20141121, 69.12, 69.73, 68.64, 69.72, 2525600, 69.72, 0, 1, 69.42, -999
20141120, 68.43, 68.67, 68.01, 68.65, 1686300, 68.65, 0, 1, 68.54, -999
20141119, 69.03, 69.14, 68.44, 68.52, 1238800, 68.52, 0, 1, 68.775, -999
20141118, 68.85, 69.24, 68.45, 69.03, 1090200, 69.03, 0, 1, 68.94, -999
20141117, 68.47, 69.04, 68.42, 68.8, 1239500, 68.8, 0, 1, 68.635, -999
20141114, 69.17, 69.44, 68.26, 68.66, 2432800, 68.66, 0, 1, 68.915, -999
20141113, 68.58, 69.51, 68.38, 69.51, 1929400, 69.51, 0, 1, 69.045, -999
20141112, 68.71, 68.71, 67.86, 68.35, 1352500, 68.35, 0, 1, 68.53, -999
20141111, 68.66, 68.74, 68.02, 68.52, 1009200, 68.52, 0, 1, 68.59, -999
20141110, 68.12, 68.71, 68.01, 68.61, 1673800, 68.61, 0, 1, 68.365, -999
20141107, 67.89, 68.54, 67.61, 68.26, 2191500, 68.26, 0, 1, 68.075, -999
20141106, 68.95, 69.24, 67.79, 67.86, 2243400, 67.86, 0, 1, 68.405, -999
20141105, 69.11, 69.21, 68.44, 69.11, 1582900, 69.11, 0, 1, 69.11, -999
20141104, 68.51, 69.14, 68.51, 69.13, 1480700, 69.13, 0, 1, 68.82, -999
20141103, 68.37, 68.95, 68.19, 68.75, 2872100, 68.75, 0, 1, 68.56, -999
20141031, 68.44, 68.96, 67.99, 68.51, 2652400, 68.51, 0, 1, 68.475, -999
20141030, 67.15, 68.03, 66.25, 67.99, 3192100, 67.99, 0, 1, 67.57, -999
20141029, 67.3, 68.03, 66.74, 67.31, 6702000, 67.31, 0, 1, 67.305, -999
20141028, 67.73, 67.73, 66.94, 67.48, 1518600, 67.48, 0, 1, 67.605, -999
20141027, 67.25, 67.43, 66.62, 67.4, 2367600, 67.4, 0, 1, 67.325, -999
20141024, 67.51, 67.61, 66.6, 66.97, 2076800, 66.97, 0, 1, 67.24, -999
20141023, 67.87, 67.92, 67.13, 67.84, 2449100, 67.84, 0, 1, 67.855, -999
20141022, 67.55, 67.74, 66.85, 67.61, 2585700, 67.61, 0, 1, 67.58, -999
20141021, 67.36, 67.75, 66.74, 67.67, 2596700, 67.67, 0, 1, 67.515, -999
20141020, 66.53, 67.36, 66.38, 67.36, 2358000, 67.36, 0, 1, 66.945, -999
20141017, 66.55, 66.59, 65.68, 66.41, 3060800, 66.41, 0, 1, 66.48, -999
20141016, 65.4, 66.59, 65.4, 66.15, 2892400, 66.15, 0, 1, 65.775, -999
20141015, 65.68, 66.42, 65.43, 66.06, 5578200, 66.06, 0, 1, 65.87, -999
20141014, 66.14, 67.33, 65.83, 66.04, 3700800, 66.04, 0, 1, 66.09, -999
