Ticker: VZ  Created on: 12/6/2014 5:26:26 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 48.68, 48.75, 48.43, 48.61, 15448500, 48.61, 0, 1, 48.645, -999
20141204, 48.73, 48.9, 48.41, 48.78, 14606900, 48.78, 0, 1, 48.755, -999
20141203, 49.02, 49.02, 48.28, 48.79, 22386100, 48.79, 0, 1, 48.905, -999
20141202, 49.8, 50.02, 49.05, 49.11, 18049900, 49.11, 0, 1, 49.455, -999
20141201, 50.68, 50.84, 50, 50.03, 11838600, 50.03, 0, 1, 50.355, -999
20141128, 50.2, 50.8, 50.2, 50.59, 9524600, 50.59, 0, 1, 50.395, -999
20141126, 49.37, 50.17, 49.32, 50.04, 11960700, 50.04, 0, 1, 49.705, -999
20141125, 49.34, 49.52, 48.91, 49.34, 13836200, 49.34, 0, 1, 49.34, -999
20141124, 49.55, 49.89, 48.86, 49.5, 17756200, 49.5, 0, 1, 49.525, -999
20141121, 50.53, 50.54, 49.7, 50.21, 19978900, 50.21, 0, 1, 50.37, -999
20141120, 50.41, 50.52, 49.96, 50.19, 9855400, 50.19, 0, 1, 50.3, -999
20141119, 51, 51.03, 50.29, 50.49, 15773100, 50.49, 0, 1, 50.745, -999
20141118, 51.42, 51.42, 51.06, 51.22, 8994700, 51.22, 0, 1, 51.32, -999
20141117, 51.41, 51.48, 51.14, 51.4, 6887100, 51.4, 0, 1, 51.405, -999
20141114, 51.26, 51.73, 51.18, 51.5, 12741700, 51.5, 0, 1, 51.38, -999
20141113, 50.66, 51.29, 50.64, 51.2, 11267100, 51.2, 0, 1, 50.93, -999
20141112, 50.35, 51.02, 50.3, 50.82, 9872300, 50.82, 0, 1, 50.585, -999
20141111, 50.94, 50.95, 50.33, 50.61, 9159700, 50.61, 0, 1, 50.775, -999
20141110, 50.72, 51.05, 50.15, 50.72, 17355200, 50.72, 0, 1, 50.72, -999
20141107, 50.33, 50.87, 50.12, 50.86, 14008700, 50.86, 0, 1, 50.595, -999
20141106, 50.37, 50.38, 49.67, 50.28, 13293200, 50.28, 0, 1, 50.325, -999
20141105, 50.69, 50.98, 49.93, 50.34, 11064100, 50.34, 0, 1, 50.515, -999
20141104, 50.41, 50.92, 50.13, 50.33, 14042000, 50.33, 0, 1, 50.37, -999
20141103, 50.49, 50.65, 50.05, 50.39, 11574000, 50.39, 0, 1, 50.44, -999
20141031, 50.42, 50.5, 50.07, 50.25, 17777600, 50.25, 0, 1, 50.335, -999
20141030, 49.63, 50.28, 49.5, 49.9, 11978900, 49.9, 0, 1, 49.765, -999
20141029, 50.05, 50.25, 49.55, 49.83, 11724200, 49.83, 0, 1, 49.94, -999
20141028, 49.7, 50.03, 49.61, 49.96, 13245900, 49.96, 0, 1, 49.83, -999
20141027, 48.78, 49.54, 48.73, 49.42, 13089800, 49.42, 0, 1, 49.1, -999
20141024, 48.22, 49.11, 48.1, 48.77, 13549500, 48.77, 0, 1, 48.495, -999
20141023, 48.58, 48.6, 47.85, 48.22, 15039200, 48.22, 0, 1, 48.4, -999
20141022, 48.69, 48.84, 48.26, 48.31, 13316000, 48.31, 0, 1, 48.5, -999
20141021, 48.09, 48.85, 47.95, 48.69, 22562700, 48.69, 0, 1, 48.39, -999
20141020, 48.06, 48.55, 47.81, 48.48, 13047400, 48.48, 0, 1, 48.27, -999
20141017, 47.8, 48.19, 47.61, 48.07, 18086300, 48.07, 0, 1, 47.935, -999
20141016, 47.41, 48.04, 47.03, 47.67, 19074500, 47.67, 0, 1, 47.54, -999
20141015, 47.74, 48.07, 46.89, 47.92, 27894700, 47.92, 0, 1, 47.83, -999
20141014, 48.48, 48.68, 48.1, 48.22, 18526500, 48.22, 0, 1, 48.35, -999
20141013, 49.05, 49.46, 48.36, 48.37, 19600500, 48.37, 0, 1, 48.71, -999
20141010, 49, 49.5, 48.94, 48.94, 19405900, 48.94, 0, 1, 48.97, -999
20141009, 49.78, 49.89, 48.84, 48.93, 14907200, 48.93, 0, 1, 49.355, -999
20141008, 49.15, 49.87, 48.95, 49.87, 15516100, 49.87, 0.55, 1, 49.51, -999
20141007, 49.99, 50.03, 49.67, 49.68, 17252100, 49.13, 0, 1, 49.56, -999
20141006, 49.95, 50.26, 49.92, 50.08, 11034400, 49.53, 0, 1, 49.74, -999
20141003, 49.7, 49.83, 49.5, 49.71, 12066500, 49.16, 0, 1, 49.43, -999
