Ticker: WAT  Created on: 12/6/2014 5:26:30 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 116.02, 116.66, 114.31, 115.45, 619200, 115.45, 0, 1, 115.735, -999
20141204, 116.83, 117.57, 116.41, 116.49, 464900, 116.49, 0, 1, 116.66, -999
20141203, 116.28, 117.3, 115.62, 116.98, 284900, 116.98, 0, 1, 116.63, -999
20141202, 116.08, 117.22, 115.64, 116.8, 341700, 116.8, 0, 1, 116.44, -999
20141201, 115.45, 116.26, 115.12, 115.9, 485200, 115.9, 0, 1, 115.675, -999
20141128, 116.08, 117.11, 115.74, 115.9, 179900, 115.9, 0, 1, 115.99, -999
20141126, 116.1, 116.35, 115.21, 115.87, 194000, 115.87, 0, 1, 115.985, -999
20141125, 116.58, 116.62, 115.58, 115.81, 397800, 115.81, 0, 1, 116.195, -999
20141124, 116.01, 116.64, 115.7, 116.47, 630900, 116.47, 0, 1, 116.24, -999
20141121, 117.71, 117.71, 115.7, 115.84, 609000, 115.84, 0, 1, 116.775, -999
20141120, 114.15, 116.68, 114.13, 115.93, 970300, 115.93, 0, 1, 115.04, -999
20141119, 113.79, 114.58, 113.35, 114.35, 605200, 114.35, 0, 1, 114.07, -999
20141118, 112.37, 114.31, 112.12, 114.09, 496200, 114.09, 0, 1, 113.23, -999
20141117, 112.34, 112.63, 111.88, 112.45, 260000, 112.45, 0, 1, 112.395, -999
20141114, 113.93, 113.93, 112.11, 112.48, 339800, 112.48, 0, 1, 113.205, -999
20141113, 113.5, 114.32, 113.26, 113.72, 324700, 113.72, 0, 1, 113.61, -999
20141112, 111.68, 113.73, 111.53, 113.5, 484700, 113.5, 0, 1, 112.59, -999
20141111, 112.33, 112.72, 111.91, 112.33, 179200, 112.33, 0, 1, 112.33, -999
20141110, 111.32, 112.51, 111.05, 112.51, 304100, 112.51, 0, 1, 111.915, -999
20141107, 112.93, 113.01, 110.7, 111.05, 745200, 111.05, 0, 1, 111.99, -999
20141106, 112.02, 113.21, 111.94, 112.88, 514500, 112.88, 0, 1, 112.45, -999
20141105, 112.78, 112.79, 111.3, 111.79, 392400, 111.79, 0, 1, 112.285, -999
20141104, 111.54, 111.97, 111, 111.91, 370800, 111.91, 0, 1, 111.725, -999
20141103, 111, 111.95, 111, 111.68, 392000, 111.68, 0, 1, 111.34, -999
20141031, 112.17, 112.4, 110.44, 110.8, 676800, 110.8, 0, 1, 111.485, -999
20141030, 109.84, 110.86, 109.17, 110.6, 420700, 110.6, 0, 1, 110.22, -999
20141029, 110, 110.38, 108.79, 109.87, 791200, 109.87, 0, 1, 109.935, -999
20141028, 108.65, 110, 108.43, 110, 501900, 110, 0, 1, 109.325, -999
20141027, 108.21, 108.74, 107.28, 108.16, 509200, 108.16, 0, 1, 108.185, -999
20141024, 107.27, 108.71, 107.23, 108.21, 654600, 108.21, 0, 1, 107.74, -999
20141023, 105.53, 108.02, 105.39, 107.34, 627800, 107.34, 0, 1, 106.435, -999
20141022, 107.66, 108.04, 104.39, 104.46, 1026500, 104.46, 0, 1, 106.06, -999
20141021, 100.29, 107.49, 100.29, 107.17, 2242900, 107.17, 0, 1, 103.73, -999
20141020, 96.63, 97.92, 96.33, 97.54, 888700, 97.54, 0, 1, 97.085, -999
20141017, 95.78, 97.09, 95.45, 96.98, 789300, 96.98, 0, 1, 96.38, -999
20141016, 94.27, 96.17, 93.76, 95.12, 744800, 95.12, 0, 1, 94.695, -999
20141015, 94.88, 95.5, 93.56, 95.08, 654100, 95.08, 0, 1, 94.98, -999
20141014, 96.05, 96.89, 95.88, 96.14, 631800, 96.14, 0, 1, 96.095, -999
