Ticker: WFC  Created on: 12/6/2014 5:26:31 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 54.89, 55.35, 54.85, 55.03, 14229000, 55.03, 0, 1, 54.96, -999
20141204, 54.32, 54.64, 54.17, 54.5, 12310000, 54.5, 0, 1, 54.41, -999
20141203, 54.17, 54.61, 54.1, 54.39, 14781300, 54.39, 0, 1, 54.28, -999
20141202, 53.75, 54.44, 53.75, 54.22, 12845600, 54.22, 0, 1, 53.985, -999
20141201, 54.42, 54.59, 53.7, 53.82, 13858500, 53.82, 0, 1, 54.12, -999
20141128, 54.32, 54.74, 54.27, 54.48, 11054300, 54.48, 0, 1, 54.4, -999
20141126, 54.19, 54.42, 53.97, 54.28, 11792500, 54.28, 0, 1, 54.235, -999
20141125, 54.23, 54.28, 53.8, 53.88, 14390400, 53.88, 0, 1, 54.055, -999
20141124, 54.06, 54.36, 53.93, 54.1, 11028000, 54.1, 0, 1, 54.08, -999
20141121, 54, 54.09, 53.7, 53.81, 14587500, 53.81, 0, 1, 53.905, -999
20141120, 53.16, 53.56, 53.08, 53.48, 10245900, 53.48, 0, 1, 53.32, -999
20141119, 53.26, 53.41, 52.92, 53.36, 12490200, 53.36, 0, 1, 53.31, -999
20141118, 53.1, 53.5, 53.03, 53.27, 12580400, 53.27, 0, 1, 53.185, -999
20141117, 53.1, 53.49, 52.87, 53.44, 9650800, 53.44, 0, 1, 53.27, -999
20141114, 53.39, 53.69, 53.23, 53.35, 9488200, 53.35, 0, 1, 53.37, -999
20141113, 53.57, 53.67, 53.12, 53.39, 13494400, 53.39, 0, 1, 53.48, -999
20141112, 53.3, 53.67, 53.21, 53.54, 10687900, 53.54, 0, 1, 53.42, -999
20141111, 53.88, 54.1, 53.53, 53.58, 12520500, 53.58, 0, 1, 53.73, -999
20141110, 53.68, 53.99, 53.62, 53.83, 11837300, 53.83, 0, 1, 53.755, -999
20141107, 54.2, 54.25, 53.64, 53.84, 13312700, 53.84, 0, 1, 54.02, -999
20141106, 53.55, 54.12, 53.48, 54.06, 15328100, 54.06, 0, 1, 53.805, -999
