Ticker: WFM  Created on: 12/6/2014 5:26:33 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 48.81, 48.94, 48.1, 48.29, 2314900, 48.29, 0, 1, 48.55, -999
20141204, 48.26, 48.92, 48.21, 48.91, 3900300, 48.91, 0, 1, 48.585, -999
20141203, 48.53, 48.56, 47.79, 48.19, 2783200, 48.19, 0, 1, 48.36, -999
20141202, 48.73, 48.95, 48.23, 48.3, 2474900, 48.3, 0, 1, 48.515, -999
20141201, 49, 49.49, 48.58, 48.7, 3727900, 48.7, 0, 1, 48.85, -999
20141128, 48.48, 49.3, 48.4, 49.03, 2517900, 49.03, 0, 1, 48.755, -999
20141126, 48.1, 48.38, 48.06, 48.36, 2366100, 48.36, 0, 1, 48.23, -999
20141125, 48.25, 48.51, 47.93, 48.18, 3641000, 48.18, 0, 1, 48.215, -999
20141124, 48.11, 48.21, 47.63, 48.21, 5029700, 48.21, 0, 1, 48.16, -999
20141121, 48.27, 48.4, 47.65, 48.23, 3883800, 48.23, 0, 1, 48.25, -999
20141120, 47.52, 48.24, 47.52, 47.69, 3794500, 47.69, 0, 1, 47.605, -999
20141119, 47.71, 48.12, 47.6, 47.78, 4306900, 47.78, 0, 1, 47.745, -999
20141118, 47.44, 48.16, 47.33, 47.89, 4761200, 47.89, 0, 1, 47.665, -999
20141117, 47.01, 47.74, 46.88, 47.41, 4432100, 47.41, 0, 1, 47.21, -999
20141114, 46.71, 47.15, 46.32, 47.11, 4985800, 47.11, 0, 1, 46.91, -999
20141113, 47.63, 47.68, 46.32, 46.73, 5950600, 46.73, 0, 1, 47.18, -999
20141112, 47.56, 47.68, 47.18, 47.48, 4689600, 47.48, 0, 1, 47.52, -999
20141111, 48.2, 48.64, 47.03, 47.49, 8448700, 47.49, 0, 1, 47.845, -999
20141110, 46.63, 48.09, 46.39, 48.05, 13005700, 48.05, 0, 1, 47.34, -999
20141107, 45, 47.49, 44.88, 46.81, 22488000, 46.81, 0, 1, 45.905, -999
20141106, 43.39, 44.97, 43.37, 44.85, 27468400, 44.85, 0, 1, 44.12, -999
20141105, 40.39, 40.64, 39.79, 39.99, 10069500, 39.99, 0, 1, 40.19, -999
20141104, 40, 40.11, 39.45, 39.8, 4171200, 39.8, 0, 1, 39.9, -999
20141103, 39.3, 40.39, 39.3, 39.95, 4906300, 39.95, 0, 1, 39.625, -999
20141031, 39.22, 39.43, 38.82, 39.33, 5263700, 39.33, 0, 1, 39.275, -999
20141030, 38.22, 39.02, 38, 38.77, 3624300, 38.77, 0, 1, 38.495, -999
