Ticker: WHR  Created on: 12/6/2014 5:26:32 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 188.01, 189.87, 187.14, 188.83, 582600, 188.83, 0, 1, 188.42, -999
20141204, 189.01, 190.22, 187.48, 188.26, 565200, 188.26, 0, 1, 188.635, -999
20141203, 185.25, 189.46, 185.02, 189.41, 710000, 189.41, 0, 1, 187.33, -999
20141202, 185.19, 185.8, 183.68, 184.82, 650400, 184.82, 0, 1, 185.005, -999
20141201, 186.27, 186.84, 184.39, 185.45, 630600, 185.45, 0, 1, 185.86, -999
20141128, 184.24, 186.64, 183.52, 186.17, 353300, 186.17, 0, 1, 185.205, -999
20141126, 184.6, 184.94, 182.6, 183.54, 593400, 183.54, 0, 1, 184.07, -999
20141125, 184.86, 185.58, 183.83, 184.61, 864600, 184.61, 0, 1, 184.735, -999
20141124, 183.88, 185.28, 182.5, 184.76, 1214600, 184.76, 0, 1, 184.32, -999
20141121, 184.5, 185.34, 183.16, 183.67, 983700, 183.67, 0, 1, 184.085, -999
20141120, 178.35, 182.34, 178.18, 182.06, 921000, 182.06, 0, 1, 180.205, -999
20141119, 176.43, 179.95, 175.73, 179.89, 1086500, 179.89, 0, 1, 178.16, -999
20141118, 175.57, 177.94, 175.57, 177.22, 786600, 176.47, 0, 1, 176.02, -999
20141117, 173.36, 177.2, 173.02, 175.55, 784000, 174.81, 0, 1, 174.085, -999
20141114, 174.83, 175.65, 172.16, 173.27, 936400, 172.54, 0, 1, 173.685, -999
20141113, 175.48, 177.21, 174.47, 175.21, 501700, 174.47, 0, 1, 174.975, -999
20141112, 174.22, 176.25, 173.89, 175.21, 656900, 174.47, 0, 1, 174.345, -999
20141111, 174.29, 177.18, 174.12, 175, 774100, 174.26, 0, 1, 174.275, -999
20141110, 175.81, 175.83, 173.5, 173.79, 891800, 173.05, 0, 1, 174.43, -999
20141107, 174.43, 176.62, 174.43, 175.81, 722800, 175.07, 0, 1, 174.75, -999
20141106, 172.35, 174.9, 172.19, 174.84, 552200, 174.1, 0, 1, 173.225, -999
20141105, 174.32, 174.45, 172.45, 172.85, 588800, 172.12, 0, 1, 173.22, -999
