Ticker: WLP  Created on: 12/6/2014 5:26:30 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141202, 127.76, 128.82, 126.93, 128.71, 1123600, 128.71, 0, 1, 128.235, -999
20141201, 128.25, 128.58, 127.19, 127.77, 1384700, 127.77, 0, 1, 128.01, -999
20141128, 127.21, 128.35, 127.21, 127.91, 728900, 127.91, 0, 1, 127.56, -999
20141126, 127.9, 128.36, 126.33, 126.9, 1071600, 126.9, 0, 1, 127.4, -999
20141125, 126.57, 127.86, 126.27, 127.15, 1529700, 127.15, 0, 1, 126.86, -999
20141124, 126.48, 127.41, 124.49, 126.14, 1660300, 126.14, 0, 1, 126.31, -999
20141121, 127.92, 127.92, 125.73, 125.89, 1368100, 125.89, 0, 1, 126.905, -999
20141120, 125.47, 126.58, 125.17, 126.25, 1281000, 126.25, 0, 1, 125.86, -999
20141119, 128.59, 128.69, 125.72, 125.82, 1518100, 125.82, 0, 1, 127.205, -999
20141118, 127.41, 129.96, 127.41, 129.04, 1416700, 129.04, 0, 1, 128.225, -999
20141117, 125.36, 127.69, 125.21, 127.27, 1166400, 127.27, 0, 1, 126.315, -999
20141114, 127, 127.45, 125.24, 125.36, 843300, 125.36, 0, 1, 126.18, -999
20141113, 126.57, 128.19, 125.91, 126.63, 1148600, 126.63, 0, 1, 126.6, -999
20141112, 125.83, 127.44, 125.23, 126.64, 1063800, 126.64, 0, 1, 126.235, -999
20141111, 125.99, 127.19, 125.6, 126.62, 1634900, 126.62, 0, 1, 126.305, -999
20141110, 124.16, 126.14, 124.01, 125.5, 1483300, 125.5, 0, 1, 124.83, -999
20141107, 126.79, 127.52, 123.41, 124.15, 2411600, 124.15, 0, 1, 125.47, -999
20141106, 127.42, 127.98, 126.85, 127.8, 1126100, 127.8, 0, 1, 127.61, -999
20141105, 128.16, 128.16, 126.08, 127.03, 1408100, 127.03, 0, 1, 127.595, -999
20141104, 126.31, 128.09, 126.31, 126.83, 1796900, 126.83, 0, 1, 126.57, -999
20141103, 126.61, 127.59, 125.83, 126.31, 1386600, 126.31, 0, 1, 126.46, -999
20141031, 124.53, 126.69, 124.31, 126.69, 2444800, 126.69, 0, 1, 125.61, -999
20141030, 122.2, 123.75, 121.02, 123.29, 2305000, 123.29, 0, 1, 122.745, -999
20141029, 122.91, 123.8, 121.09, 122.2, 3308100, 122.2, 0, 1, 122.555, -999
20141028, 118.85, 120.54, 117.6, 120, 3119000, 120, 0, 1, 119.425, -999
20141027, 120.13, 120.87, 119.95, 120.34, 1081600, 120.34, 0, 1, 120.235, -999
20141024, 119.93, 120.24, 119.01, 120.21, 1099400, 120.21, 0, 1, 120.07, -999
20141023, 120.32, 120.64, 119.33, 119.77, 2138400, 119.77, 0, 1, 120.045, -999
20141022, 120.48, 120.64, 118.83, 118.87, 1898200, 118.87, 0, 1, 119.675, -999
20141021, 117.48, 120.73, 117.41, 120.43, 1936000, 120.43, 0, 1, 118.955, -999
20141020, 115.31, 116.6, 115, 116.23, 1609100, 116.23, 0, 1, 115.77, -999
20141017, 113.71, 115.94, 112.75, 114.99, 2103500, 114.99, 0, 1, 114.35, -999
20141016, 111.25, 114.33, 110.54, 111.92, 3380100, 111.92, 0, 1, 111.585, -999
20141015, 111.46, 113.43, 108.92, 111.06, 3733300, 111.06, 0, 1, 111.26, -999
20141014, 114.78, 114.92, 111.13, 113.2, 2657300, 113.2, 0, 1, 113.99, -999
20141013, 116.9, 117.66, 114.28, 114.41, 1980200, 114.41, 0, 1, 115.655, -999
20141010, 119.25, 120.01, 116.95, 116.95, 1954600, 116.95, 0, 1, 118.1, -999
20141009, 120.03, 120.89, 118.54, 118.93, 1491400, 118.93, 0, 1, 119.48, -999
20141008, 117.51, 120.01, 117.17, 119.85, 1813500, 119.85, 0, 1, 118.68, -999
20141007, 118.71, 119.39, 117.49, 117.52, 1262100, 117.52, 0, 1, 118.115, -999
20141006, 122.15, 123.35, 118.98, 119.07, 1455500, 119.07, 0, 1, 120.61, -999
20141003, 119.64, 122.53, 118.83, 122.07, 1941700, 122.07, 0, 1, 120.855, -999
20141002, 118.36, 119.21, 116.87, 118.45, 1694100, 118.45, 0, 1, 118.405, -999
20141001, 119.27, 119.58, 117.24, 118.15, 2282900, 118.15, 0, 1, 118.71, -999
20140930, 121.46, 121.66, 119.34, 119.62, 1705300, 119.62, 0, 1, 120.54, -999
20140929, 120.09, 121.92, 119.78, 121.31, 1684000, 121.31, 0, 1, 120.7, -999
20140926, 121.18, 121.97, 119.75, 120.8, 1823700, 120.8, 0, 1, 120.99, -999
20140925, 123.71, 123.87, 120.5, 120.69, 1935700, 120.69, 0, 1, 122.2, -999
20140924, 119.76, 124.58, 119.4, 124.17, 2781500, 124.17, 0, 1, 121.965, -999
20140923, 121.42, 122, 119.28, 119.36, 1423700, 119.36, 0, 1, 120.39, -999
20140922, 122.53, 124.48, 121.59, 121.82, 2520900, 121.82, 0, 1, 122.175, -999
20140919, 122.84, 122.86, 121.64, 122.04, 2203200, 122.04, 0, 1, 122.44, -999
20140918, 120.48, 122.19, 120.34, 122.16, 1308500, 122.16, 0, 1, 121.32, -999
20140917, 120.25, 121.21, 119, 120.22, 1367100, 120.22, 0, 1, 120.235, -999
20140916, 118.51, 120.57, 118.11, 120.32, 1948000, 120.32, 0, 1, 119.415, -999
20140915, 118.65, 119.11, 118.01, 118.4, 1322200, 118.4, 0, 1, 118.525, -999
20140912, 120, 120.17, 118.19, 118.62, 1208700, 118.62, 0, 1, 119.31, -999
20140911, 119.21, 120.18, 118.62, 119.95, 1756400, 119.95, 0, 1, 119.58, -999
20140910, 121.06, 121.06, 119.32, 119.8, 1284200, 119.8, 0, 1, 120.43, -999
20140909, 118.26, 121.33, 118.21, 120.89, 2919500, 120.89, 0, 1, 119.575, -999
20140908, 118.15, 118.62, 117.47, 118.13, 1285700, 118.13, 0.438, 1, 118.14, -999
20140905, 117.72, 119.2, 117.38, 118.97, 1636300, 118.53, 0, 1, 118.125, -999
20140904, 117, 119.05, 116.76, 118.01, 1996300, 117.58, 0, 1, 117.29, -999
20140903, 115.46, 117.14, 115.31, 116.62, 1382100, 116.19, 0, 1, 115.825, -999
20140902, 116.46, 116.63, 114.63, 115.64, 1485300, 115.21, 0, 1, 115.835, -999
20140829, 116.47, 117.36, 116.15, 116.51, 1401300, 116.08, 0, 1, 116.275, -999
20140828, 115.31, 116.74, 115.3, 116.25, 1682400, 115.82, 0, 1, 115.565, -999
20140827, 114.82, 116.24, 114.36, 115.78, 1516900, 115.35, 0, 1, 115.085, -999
20140826, 113.55, 114.92, 113.2, 114.67, 1174000, 114.25, 0, 1, 113.9, -999
20140825, 113.36, 113.8, 112.45, 113.22, 777400, 112.8, 0, 1, 113.08, -999
20140822, 113.13, 113.62, 112.5, 112.87, 999000, 112.45, 0, 1, 112.79, -999
20140821, 113.48, 114, 112.86, 113.12, 1005700, 112.7, 0, 1, 113.09, -999
20140820, 113.5, 113.6, 112.6, 113.07, 1279600, 112.65, 0, 1, 113.075, -999
20140819, 112.56, 113.78, 111.86, 113.62, 1059000, 113.2, 0, 1, 112.88, -999
20140818, 112.49, 112.52, 111.16, 112.4, 1064000, 111.99, 0, 1, 112.24, -999
20140815, 112.56, 112.81, 110.63, 111.78, 1679200, 111.37, 0, 1, 111.965, -999
20140814, 111, 112.84, 110.65, 112.48, 1916900, 112.07, 0, 1, 111.535, -999
20140813, 109, 110.67, 109, 110.35, 1960800, 109.94, 0, 1, 109.47, -999
20140812, 107.61, 108.73, 107.19, 108.66, 1620400, 108.26, 0, 1, 107.935, -999
20140811, 108.91, 109, 107.28, 107.39, 1543400, 106.99, 0, 1, 107.95, -999
20140808, 107.59, 108.62, 106.52, 108.58, 1547800, 108.18, 0, 1, 107.885, -999
20140807, 111.67, 111.86, 107.07, 107.29, 2246200, 106.9, 0, 1, 109.285, -999
20140806, 110.48, 112.5, 110.44, 111.34, 1636500, 110.93, 0, 1, 110.705, -999
20140805, 111.17, 112, 109.96, 110.44, 1841100, 110.03, 0, 1, 110.6, -999
20140804, 110.83, 111.9, 110.23, 111.6, 1519400, 111.19, 0, 1, 111.01, -999
20140801, 109.65, 111.7, 109.49, 111, 1940300, 110.59, 0, 1, 110.12, -999
20140731, 109.56, 111.9, 106.88, 109.81, 5201100, 109.41, 0, 1, 109.485, -999
20140730, 116.15, 116.5, 108.01, 112.47, 5450200, 112.06, 0, 1, 114.105, -999
20140729, 114.71, 114.98, 112.13, 112.55, 2970600, 112.14, 0, 1, 113.425, -999
20140728, 114.31, 115.64, 113.54, 115.57, 1708100, 115.14, 0, 1, 114.725, -999
20140725, 113.52, 114.23, 111.12, 113.51, 1984000, 113.09, 0, 1, 113.305, -999
20140724, 115.72, 116.17, 114.9, 115.25, 1167500, 114.83, 0, 1, 115.275, -999
20140723, 115.52, 115.91, 115, 115.44, 864700, 115.01, 0, 1, 115.265, -999
20140722, 115, 116.26, 114.96, 115.32, 2121000, 114.9, 0, 1, 114.95, -999
20140721, 112.23, 114.77, 112.23, 114.43, 1284000, 114.01, 0, 1, 113.12, -999
20140718, 113.71, 115, 113.27, 114.93, 1754200, 114.51, 0, 1, 114.11, -999
20140717, 111.93, 115.52, 111.93, 113.44, 3750900, 113.02, 0, 1, 112.475, -999
20140716, 112.94, 113.2, 111.84, 112.18, 1199300, 111.77, 0, 1, 112.355, -999
20140715, 113.05, 114.68, 112.55, 112.77, 2019400, 112.35, 0, 1, 112.7, -999
20140714, 111.25, 113.44, 111.08, 113.15, 2722000, 112.73, 0, 1, 111.99, -999
20140711, 110.55, 111.31, 109.99, 110.9, 1445100, 110.49, 0, 1, 110.52, -999
20140710, 110.37, 111.27, 109.68, 110.76, 1501400, 110.35, 0, 1, 110.36, -999
20140709, 109.47, 111.08, 109.39, 110.87, 2080400, 110.46, 0, 1, 109.965, -999
20140708, 108.77, 109.67, 108.26, 109.46, 1425800, 109.06, 0, 1, 108.915, -999
20140707, 109.99, 110, 108.58, 109.13, 1279600, 108.73, 0, 1, 109.36, -999
20140703, 110.67, 111.01, 109.19, 110.16, 1433900, 109.75, 0, 1, 110.21, -999
20140702, 108.04, 110.34, 107.12, 110.32, 2169800, 109.91, 0, 1, 108.975, -999
20140701, 108.27, 109.15, 107.93, 108.38, 1748200, 107.98, 0, 1, 108.125, -999
20140630, 107.5, 109.5, 107.32, 107.61, 1461400, 107.21, 0, 1, 107.355, -999
20140627, 107.47, 107.87, 106.37, 107.55, 1281600, 107.15, 0, 1, 107.31, -999
20140626, 108.83, 109.36, 107.41, 108.12, 1760700, 107.72, 0, 1, 108.275, -999
20140625, 107.94, 109.09, 107.78, 108.74, 1248300, 108.34, 0, 1, 108.14, -999
20140624, 108.48, 108.95, 107.89, 107.91, 1295600, 107.51, 0, 1, 107.995, -999
20140623, 108.13, 108.7, 107.62, 108.65, 906300, 108.25, 0, 1, 108.19, -999
20140620, 108.01, 108.61, 107.3, 108.55, 1439300, 108.15, 0, 1, 108.08, -999
20140619, 106.49, 107.85, 106.33, 107.69, 1479400, 107.29, 0, 1, 106.89, -999
20140618, 105.79, 106.34, 105.43, 106.25, 1046400, 105.86, 0, 1, 105.825, -999
20140617, 105.92, 106.35, 105.02, 106.06, 1364500, 105.67, 0, 1, 105.795, -999
