Ticker: WMB  Created on: 12/6/2014 5:26:15 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 50.92, 51.26, 49.96, 50.04, 4984400, 50.04, 0, 1, 50.48, -999
20141204, 50.78, 51.65, 50.77, 51.13, 5453700, 51.13, 0, 1, 50.955, -999
20141203, 50.42, 51.47, 50.13, 51.12, 5907300, 51.12, 0, 1, 50.77, -999
20141202, 50.29, 51.65, 49.77, 50.7, 8895700, 50.7, 0, 1, 50.495, -999
20141201, 51.35, 51.72, 49.27, 50.14, 13143200, 50.14, 0, 1, 50.745, -999
20141128, 53.01, 53.17, 51.52, 51.75, 7422200, 51.75, 0, 1, 52.38, -999
20141126, 54.77, 55.23, 54.4, 54.85, 3683100, 54.85, 0, 1, 54.81, -999
20141125, 55.13, 55.63, 54.55, 54.91, 5340300, 54.91, 0, 1, 55.02, -999
20141124, 55.5, 55.8, 54.54, 54.77, 6532300, 54.77, 0, 1, 55.135, -999
20141121, 56.23, 56.5, 55.12, 55.48, 4193500, 55.48, 0, 1, 55.855, -999
20141120, 55.17, 55.8, 55.14, 55.46, 3705800, 55.46, 0, 1, 55.315, -999
20141119, 54.8, 55.63, 54.25, 55.22, 4270400, 55.22, 0, 1, 55.01, -999
20141118, 54.44, 55.08, 54.23, 54.54, 5106600, 54.54, 0, 1, 54.49, -999
20141117, 53.64, 54.77, 53.38, 54.31, 4835700, 54.31, 0, 1, 53.975, -999
20141114, 54.14, 54.35, 53.42, 54.05, 3365100, 54.05, 0, 1, 54.095, -999
20141113, 54.59, 54.6, 53.3, 53.88, 7030900, 53.88, 0, 1, 54.235, -999
20141112, 54.58, 55.21, 54.38, 54.7, 3938500, 54.7, 0, 1, 54.64, -999
20141111, 54.71, 55.44, 54.19, 55.12, 3106000, 55.12, 0, 1, 54.915, -999
20141110, 55.8, 56.1, 54.64, 54.71, 3801100, 54.71, 0, 1, 55.255, -999
20141107, 54.74, 55.5, 54.7, 55.38, 4675200, 55.38, 0, 1, 55.06, -999
20141106, 54.59, 54.86, 54.06, 54.71, 5277900, 54.71, 0, 1, 54.65, -999
20141105, 54.54, 54.7, 53.76, 54.57, 3944600, 54.57, 0, 1, 54.555, -999
