Ticker: WMT  Created on: 12/6/2014 5:26:29 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 84.81, 84.82, 83.51, 84.12, 6521200, 84.12, 0, 1, 84.465, -999
20141204, 84.13, 84.82, 83.65, 84.76, 6901400, 84.76, 0, 1, 84.445, -999
20141203, 85.95, 86, 84.68, 84.94, 6374300, 84.94, 0, 1, 85.445, -999
20141202, 86.27, 86.7, 85.93, 86.4, 6738900, 85.92, 0, 1, 86.095, -999
20141201, 86.72, 87.07, 85.75, 86.22, 9140900, 85.74, 0, 1, 86.23, -999
20141128, 86.18, 88.09, 85.9, 87.54, 7820600, 87.05, 0, 1, 86.615, -999
20141126, 84.9, 85.11, 84.48, 84.98, 3942800, 84.51, 0, 1, 84.705, -999
20141125, 85.5, 85.51, 84.39, 84.95, 6673700, 84.48, 0, 1, 84.99, -999
20141124, 84.85, 85.61, 84.77, 85.4, 7995500, 84.93, 0, 1, 84.89, -999
20141121, 85.34, 85.44, 84.58, 84.65, 6649600, 84.18, 0, 1, 84.76, -999
20141120, 84.81, 85.29, 84.04, 84.58, 7812300, 84.11, 0, 1, 84.46, -999
20141119, 83.96, 85.64, 83.92, 84.99, 12187000, 84.52, 0, 1, 84.24, -999
20141118, 83.5, 83.92, 83.34, 83.79, 6096400, 83.32, 0, 1, 83.41, -999
20141117, 82.58, 83.72, 82.53, 83.57, 7993300, 83.11, 0, 1, 82.845, -999
20141114, 82.58, 83.15, 82.1, 82.96, 10634000, 82.5, 0, 1, 82.54, -999
20141113, 80.96, 83.06, 80.86, 82.94, 22805800, 82.48, 0, 1, 81.72, -999
20141112, 78.83, 79.44, 78.65, 79.2, 6791200, 78.76, 0, 1, 78.795, -999
20141111, 79.4, 79.42, 78.85, 79.01, 5602400, 78.57, 0, 1, 78.985, -999
20141110, 78.6, 80.13, 78.42, 79.44, 12640500, 79, 0, 1, 78.8, -999
20141107, 77.84, 79.08, 77.61, 78.77, 9498800, 78.33, 0, 1, 78.085, -999
20141106, 78.15, 78.18, 77.17, 77.81, 4621900, 77.38, 0, 1, 77.765, -999
20141105, 77.87, 78.23, 77.3, 77.7, 5673800, 77.27, 0, 1, 77.57, -999
20141104, 76.49, 77.37, 76.28, 77.26, 6904900, 76.83, 0, 1, 76.66, -999
20141103, 76.35, 76.38, 75.59, 76.28, 6894400, 75.86, 0, 1, 76.105, -999
20141031, 76.89, 77.4, 76.01, 76.27, 7570700, 75.85, 0, 1, 76.37, -999
20141030, 76.17, 76.6, 75.98, 76.45, 4872400, 76.03, 0, 1, 76.1, -999
20141029, 76.55, 76.64, 75.97, 76.39, 5759700, 75.97, 0, 1, 76.26, -999
20141028, 76.63, 76.8, 76, 76.35, 4979600, 75.93, 0, 1, 76.28, -999
20141027, 76.33, 76.98, 76.31, 76.59, 4107400, 76.16, 0, 1, 76.245, -999
20141024, 76.13, 76.5, 75.5, 76.38, 4479600, 75.96, 0, 1, 76.045, -999
20141023, 76.37, 76.65, 75.78, 76.25, 6367100, 75.83, 0, 1, 76.1, -999
20141022, 76.47, 76.66, 76.01, 76.03, 5927600, 75.61, 0, 1, 76.04, -999
20141021, 75.18, 76.2, 75.01, 76.02, 8299700, 75.6, 0, 1, 75.39, -999
20141020, 74.14, 75.22, 73.92, 75.14, 7040700, 74.72, 0, 1, 74.43, -999
