Ticker: WYNN  Created on: 12/6/2014 5:26:34 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 163.15, 165.02, 162.01, 163.9, 1516300, 163.9, 0, 1, 163.525, -999
20141204, 168.85, 168.86, 161.35, 162.92, 3638400, 162.92, 0, 1, 165.885, -999
20141203, 170.57, 172.21, 168.81, 169.57, 2201300, 169.57, 0, 1, 170.07, -999
20141202, 174.32, 175.6, 173.4, 174.25, 1093900, 174.25, 0, 1, 174.285, -999
20141201, 177.03, 177.12, 174.05, 174.5, 1498700, 174.5, 0, 1, 175.765, -999
20141128, 178.06, 179.01, 175.89, 178.61, 578700, 178.61, 0, 1, 178.335, -999
20141126, 178.32, 178.62, 176.5, 177.06, 833300, 177.06, 0, 1, 177.69, -999
20141125, 181.13, 182.15, 177.11, 178.01, 1662000, 178.01, 0, 1, 179.57, -999
20141124, 180.42, 180.83, 178.22, 180.22, 1155400, 180.22, 0, 1, 180.32, -999
20141121, 182, 182.45, 179.07, 179.64, 2017200, 179.64, 0, 1, 180.82, -999
20141120, 179.71, 181.69, 174.9, 177.85, 2654300, 177.85, 0, 1, 178.78, -999
20141119, 182.07, 182.51, 179.54, 180.02, 876800, 180.02, 0, 1, 181.045, -999
20141118, 181.1, 183.12, 179.33, 182.08, 1445200, 182.08, 0, 1, 181.59, -999
20141117, 182.83, 182.99, 180.97, 182.63, 815500, 182.63, 0, 1, 182.73, -999
20141114, 182.89, 184.83, 181.88, 183.99, 1279600, 183.99, 0, 1, 183.44, -999
20141113, 181, 183.59, 180.75, 182.63, 1294400, 182.63, 0, 1, 181.815, -999
20141112, 179.47, 180.68, 179.15, 180.29, 2121700, 180.29, 0, 1, 179.88, -999
20141111, 178.67, 180.81, 177.03, 180.35, 1296400, 180.35, 0, 1, 179.51, -999
20141110, 177.69, 180.11, 176.42, 177.89, 1034000, 177.89, 0, 1, 177.79, -999
20141107, 177.59, 178.78, 176.28, 177.18, 1489600, 177.18, 0, 1, 177.385, -999
20141106, 179.98, 179.99, 176.52, 178.71, 3081700, 176.21, 0, 1, 178.095, -999
20141105, 182, 182.99, 177.1, 179.74, 2938200, 177.23, 0, 1, 179.615, -999
20141104, 186.9, 187, 182.21, 185.26, 2088000, 182.67, 0, 1, 184.785, -999
20141103, 189.96, 191.73, 188.45, 189.51, 1222900, 186.86, 0, 1, 188.41, -999
20141031, 190.98, 190.98, 188.52, 190.01, 1527800, 187.35, 0, 1, 189.165, -999
20141030, 184.17, 188.8, 184.06, 187.65, 1171400, 185.02, 0, 1, 184.595, -999
20141029, 190.95, 192.45, 184.52, 185.93, 2563700, 183.33, 0, 1, 187.14, -999
20141028, 182.93, 185.65, 181.5, 185.25, 1661400, 182.66, 0, 1, 182.795, -999
20141027, 183.68, 185.69, 182.89, 183.67, 2002400, 181.1, 0, 1, 182.39, -999
20141024, 183.88, 185.55, 182.17, 184.72, 1265400, 182.14, 0, 1, 183.01, -999
20141023, 183.98, 185.9, 183.1, 183.49, 1603900, 180.92, 0, 1, 182.45, -999
20141022, 185.09, 186, 181.7, 182.42, 1332600, 179.87, 0, 1, 182.48, -999
20141021, 182.94, 185.62, 182.07, 184.59, 1774100, 182.01, 0, 1, 182.475, -999
20141020, 182.89, 183.52, 179.6, 181.66, 1878600, 179.12, 0, 1, 181.005, -999
20141017, 185.61, 187.6, 181.05, 182.45, 2219800, 179.9, 0, 1, 182.755, -999
20141016, 173.31, 184.58, 173.03, 182.07, 3044300, 179.52, 0, 1, 176.415, -999
20141015, 171.33, 175.62, 168.8, 174.31, 2326300, 171.87, 0, 1, 171.6, -999
20141014, 171.37, 177.72, 171.12, 173.84, 1936900, 171.41, 0, 1, 171.39, -999
20141013, 176.33, 177.73, 170.05, 173.44, 3037500, 171.01, 0, 1, 173.67, -999
20141010, 177.77, 181.5, 176.55, 176.71, 1542100, 174.24, 0, 1, 176.005, -999
20141009, 183.61, 184.44, 177.77, 178.07, 1386500, 175.58, 0, 1, 179.595, -999
20141008, 180.73, 183.75, 178.5, 183.29, 1105000, 180.73, 0, 1, 180.73, -999
20141007, 179.94, 183.64, 179.19, 180.28, 1493100, 177.76, 0, 1, 178.85, -999
20141006, 187.59, 187.98, 183.59, 183.79, 1553500, 181.22, 0, 1, 184.405, -999
20141003, 182.92, 185.11, 180.56, 182.28, 1236000, 179.73, 0, 1, 181.325, -999
20141002, 183, 185.37, 178, 181.76, 1893500, 179.22, 0, 1, 181.11, -999
20141001, 185, 185.11, 180.38, 182.3, 2105500, 179.75, 0, 1, 182.375, -999
20140930, 179.31, 189.11, 175.77, 187.08, 4828200, 184.46, 0, 1, 181.885, -999
20140929, 182.48, 183.13, 178.25, 178.99, 2570000, 176.49, 0, 1, 179.485, -999
20140926, 184.19, 187.49, 184, 184.5, 1819100, 181.92, 0, 1, 183.055, -999
20140925, 184.03, 184.6, 180.52, 181.96, 1952300, 179.41, 0, 1, 181.72, -999
20140924, 182.7, 186.29, 181.87, 185.95, 1578400, 183.35, 0, 1, 183.025, -999
20140923, 180.28, 183.82, 180.01, 182.83, 2353700, 180.27, 0, 1, 180.275, -999
20140922, 181.87, 184.31, 179.07, 181.28, 2547200, 178.74, 0, 1, 180.305, -999
20140919, 189.52, 189.52, 183.73, 185.28, 1893100, 182.69, 0, 1, 186.105, -999
20140918, 184.65, 190.45, 184.56, 187.83, 3374900, 185.2, 0, 1, 184.925, -999
