Ticker: WYN  Created on: 12/6/2014 5:26:34 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 83.77, 85.1, 83.77, 85.04, 1100100, 85.04, 0, 1, 84.405, -999
20141204, 83.57, 83.88, 83.03, 83.48, 885500, 83.48, 0, 1, 83.525, -999
20141203, 82.75, 83.87, 82.71, 83.64, 1217200, 83.64, 0, 1, 83.195, -999
20141202, 82.46, 83.24, 82.25, 82.91, 1187700, 82.91, 0, 1, 82.685, -999
20141201, 83, 83.51, 82.22, 82.46, 933300, 82.46, 0, 1, 82.73, -999
20141128, 82.76, 84.06, 82.63, 83.36, 632700, 83.36, 0, 1, 83.06, -999
20141126, 81.91, 82.62, 81.58, 82.5, 1193400, 82.5, 0, 1, 82.205, -999
20141125, 81.32, 82.47, 81.27, 82.3, 1770300, 81.95, 0, 1, 81.635, -999
20141124, 80.08, 81.32, 80, 81.31, 945800, 80.96, 0, 1, 80.52, -999
20141121, 79.66, 80.08, 79.53, 79.61, 1124700, 79.27, 0, 1, 79.465, -999
20141120, 78.42, 79.23, 78.16, 78.83, 1030000, 78.49, 0, 1, 78.455, -999
20141119, 80.18, 80.27, 78.91, 79.11, 874200, 78.77, 0, 1, 79.475, -999
20141118, 79.14, 80.63, 79.14, 80.29, 658800, 79.95, 0, 1, 79.545, -999
20141117, 79.33, 79.6, 78.67, 79.27, 597200, 78.93, 0, 1, 79.13, -999
20141114, 80.18, 80.27, 79.44, 79.76, 798400, 79.42, 0, 1, 79.8, -999
20141113, 80.25, 80.57, 79.67, 80.1, 803500, 79.76, 0, 1, 80.005, -999
20141112, 79.06, 80.16, 78.83, 80.07, 1206600, 79.73, 0, 1, 79.395, -999
20141111, 77.67, 79.44, 77.66, 79.31, 1637900, 78.97, 0, 1, 78.32, -999
20141110, 77.19, 77.87, 77.12, 77.67, 623100, 77.34, 0, 1, 77.265, -999
20141107, 76.68, 77.44, 76.53, 77.32, 852500, 76.99, 0, 1, 76.835, -999
20141106, 76.78, 77.39, 76.44, 77, 684700, 76.67, 0, 1, 76.725, -999
20141105, 77.12, 77.12, 76, 76.77, 659000, 76.44, 0, 1, 76.78, -999
20141104, 77.37, 77.47, 75.96, 76.57, 1266100, 76.24, 0, 1, 76.805, -999
20141103, 77.65, 78.57, 77.27, 77.58, 1562600, 77.25, 0, 1, 77.45, -999
20141031, 78.31, 78.57, 77.13, 77.67, 1373700, 77.34, 0, 1, 77.825, -999
20141030, 76.21, 78.17, 76.02, 77.12, 1039800, 76.79, 0, 1, 76.5, -999
20141029, 77.46, 77.8, 76.05, 76.6, 1383400, 76.27, 0, 1, 76.865, -999
20141028, 76.43, 77.45, 75.97, 77.25, 1687000, 76.92, 0, 1, 76.675, -999
20141027, 76.26, 76.96, 75.94, 76.44, 1575700, 76.11, 0, 1, 76.185, -999
20141024, 75.93, 76.85, 74.63, 76.32, 2640900, 76, 0, 1, 75.965, -999
20141023, 79.34, 79.83, 78.29, 78.4, 1713000, 78.07, 0, 1, 78.705, -999
20141022, 79.26, 79.84, 78.44, 78.51, 1257100, 78.18, 0, 1, 78.72, -999
20141021, 77.66, 79.24, 77.65, 78.98, 1038200, 78.64, 0, 1, 78.15, -999
20141020, 76.36, 77.67, 76.36, 77, 1100000, 76.67, 0, 1, 76.515, -999
20141017, 75.03, 77.66, 74.87, 76.24, 1501800, 75.92, 0, 1, 75.475, -999
20141016, 70.51, 74.47, 70.06, 74, 1774500, 73.69, 0, 1, 72.1, -999
20141015, 72.76, 73.64, 69.86, 71.83, 2897500, 71.52, 0, 1, 72.14, -999
20141014, 73.09, 74.9, 72.94, 74.03, 1837200, 73.72, 0, 1, 73.405, -999
20141013, 75.15, 75.76, 72.7, 72.77, 1745500, 72.46, 0, 1, 73.805, -999
20141010, 76.5, 77.37, 75.42, 75.42, 1069500, 75.1, 0, 1, 75.8, -999
20141009, 78.42, 78.8, 76.69, 76.71, 826200, 76.38, 0, 1, 77.4, -999
20141008, 77.78, 78.8, 76.98, 78.71, 995800, 78.38, 0, 1, 78.08, -999
20141007, 78.7, 79.21, 77.74, 77.76, 974300, 77.43, 0, 1, 78.065, -999
20141006, 79.97, 80.48, 79.07, 79.18, 911300, 78.84, 0, 1, 79.405, -999
20141003, 79.08, 80.15, 78.77, 79.86, 1372700, 79.52, 0, 1, 79.3, -999
20141002, 79.01, 79.28, 77.54, 78.58, 1404700, 78.25, 0, 1, 78.63, -999
20141001, 81.23, 81.23, 78.42, 78.95, 1525600, 78.61, 0, 1, 79.92, -999
20140930, 81.51, 82, 80.85, 81.26, 863300, 80.91, 0, 1, 81.21, -999
20140929, 81.18, 81.58, 80.9, 81.36, 559700, 81.01, 0, 1, 81.095, -999
20140926, 81.02, 82.24, 81.02, 81.85, 557000, 81.5, 0, 1, 81.26, -999
20140925, 81.42, 81.78, 80.73, 80.87, 674400, 80.53, 0, 1, 80.975, -999
20140924, 80.9, 81.92, 80.59, 81.86, 600800, 81.51, 0, 1, 81.205, -999
20140923, 81.57, 81.79, 80.78, 80.9, 831000, 80.56, 0, 1, 81.065, -999
20140922, 82.1, 82.22, 81.5, 81.6, 695400, 81.25, 0, 1, 81.675, -999
20140919, 82.47, 82.94, 81.71, 82.39, 1268900, 82.04, 0, 1, 82.255, -999
20140918, 81.22, 82.1, 81.08, 81.94, 546500, 81.59, 0, 1, 81.405, -999
20140917, 81.34, 81.64, 80.4, 81.07, 694900, 80.73, 0, 1, 81.035, -999
20140916, 80.15, 81.3, 79.92, 81.26, 1014500, 80.91, 0, 1, 80.53, -999
20140915, 80.37, 80.7, 79.92, 80.54, 751300, 80.2, 0, 1, 80.285, -999
20140912, 81.64, 81.84, 80.06, 80.51, 763300, 80.17, 0, 1, 80.905, -999
20140911, 80.85, 82, 80.62, 81.64, 871700, 81.29, 0, 1, 81.07, -999
20140910, 81.57, 81.59, 80.89, 80.9, 770700, 80.56, 0, 1, 81.065, -999
20140909, 82.04, 82.09, 81.28, 81.38, 623700, 81.03, 0, 1, 81.535, -999
20140908, 81.48, 82.72, 81.46, 82.14, 1098000, 81.79, 0, 1, 81.635, -999
20140905, 81.55, 81.85, 81.06, 81.85, 534900, 81.5, 0, 1, 81.525, -999
20140904, 81.6, 82.48, 81.35, 81.58, 874000, 81.23, 0, 1, 81.415, -999
