Ticker: XEL  Created on: 12/6/2014 5:26:34 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 34.52, 34.76, 34.34, 34.53, 2330300, 34.53, 0, 1, 34.525, -999
20141204, 34.79, 34.96, 34.59, 34.81, 2614200, 34.81, 0, 1, 34.8, -999
20141203, 34.63, 34.82, 34.42, 34.78, 3324100, 34.78, 0, 1, 34.705, -999
20141202, 34.48, 34.83, 34.17, 34.66, 3751400, 34.66, 0, 1, 34.57, -999
20141201, 33.56, 34.54, 33.49, 34.27, 5956500, 34.27, 0, 1, 33.915, -999
20141128, 33.59, 34.1, 33.53, 33.94, 1210100, 33.94, 0, 1, 33.765, -999
20141126, 33.38, 33.6, 33.35, 33.5, 1256000, 33.5, 0, 1, 33.44, -999
20141125, 33.45, 33.47, 33.14, 33.33, 2332600, 33.33, 0, 1, 33.39, -999
20141124, 33.71, 33.77, 33.31, 33.38, 2225100, 33.38, 0, 1, 33.545, -999
20141121, 33.86, 33.88, 33.36, 33.68, 2650000, 33.68, 0, 1, 33.77, -999
20141120, 33.57, 33.72, 33.42, 33.56, 2133500, 33.56, 0, 1, 33.565, -999
20141119, 33.62, 33.71, 33.41, 33.57, 1972200, 33.57, 0, 1, 33.595, -999
20141118, 33.52, 33.9, 33.35, 33.72, 2847600, 33.72, 0, 1, 33.62, -999
20141117, 33.05, 33.49, 32.95, 33.43, 2533400, 33.43, 0, 1, 33.24, -999
20141114, 33.08, 33.24, 32.98, 33.04, 2793900, 33.04, 0, 1, 33.06, -999
20141113, 33.49, 33.63, 33.14, 33.22, 2690900, 33.22, 0, 1, 33.355, -999
20141112, 33.53, 33.7, 33.16, 33.41, 3203000, 33.41, 0, 1, 33.47, -999
20141111, 33.94, 34.07, 33.7, 33.88, 2469700, 33.88, 0, 1, 33.91, -999
20141110, 33.61, 34.05, 33.56, 33.99, 3284100, 33.99, 0, 1, 33.8, -999
20141107, 33.1, 33.65, 33.06, 33.6, 4070000, 33.6, 0, 1, 33.35, -999
20141106, 33.87, 33.99, 32.99, 33.05, 8182500, 33.05, 0, 1, 33.46, -999
20141105, 33.66, 34.09, 33.49, 34.09, 4556000, 34.09, 0, 1, 33.875, -999
20141104, 33.64, 33.99, 33.34, 33.47, 3709800, 33.47, 0, 1, 33.555, -999
20141103, 33.62, 33.84, 33.48, 33.75, 3243800, 33.75, 0, 1, 33.685, -999
20141031, 33.66, 33.75, 33.29, 33.47, 3632900, 33.47, 0, 1, 33.565, -999
20141030, 33.25, 33.76, 32.25, 33.52, 5013100, 33.52, 0, 1, 33.385, -999
20141029, 33.09, 33.16, 32.05, 32.85, 2950100, 32.85, 0, 1, 32.97, -999
20141028, 32.9, 33.08, 32.73, 33.08, 2931200, 33.08, 0, 1, 32.99, -999
20141027, 32.91, 33.03, 32.74, 32.83, 2921100, 32.83, 0, 1, 32.87, -999
20141024, 32.77, 33.05, 32.67, 32.9, 2862900, 32.9, 0, 1, 32.835, -999
20141023, 32.91, 32.97, 32.65, 32.7, 2508500, 32.7, 0, 1, 32.805, -999
20141022, 32.49, 32.97, 32.45, 32.7, 3590000, 32.7, 0, 1, 32.595, -999
20141021, 32.43, 32.5, 32.16, 32.45, 4560200, 32.45, 0, 1, 32.44, -999
20141020, 31.96, 32.39, 31.84, 32.28, 4269600, 32.28, 0, 1, 32.12, -999
20141017, 32.09, 32.1, 31.61, 31.89, 5540600, 31.89, 0, 1, 31.99, -999
20141016, 31.8, 32.07, 31.46, 31.89, 6766400, 31.89, 0, 1, 31.845, -999
20141015, 32.66, 32.99, 31.73, 32.22, 6606600, 32.22, 0, 1, 32.44, -999
20141014, 31.9, 32.95, 31.69, 32.7, 9447100, 32.7, 0, 1, 32.3, -999
20141013, 31.56, 32.21, 31.54, 31.76, 4460000, 31.76, 0, 1, 31.66, -999
20141010, 31.41, 31.8, 31.29, 31.58, 4346700, 31.58, 0, 1, 31.495, -999
20141009, 31.65, 31.97, 31.25, 31.27, 5174500, 31.27, 0, 1, 31.46, -999
20141008, 30.87, 31.69, 30.78, 31.64, 3210000, 31.64, 0, 1, 31.255, -999
20141007, 30.53, 31.15, 30.53, 30.83, 3357900, 30.83, 0, 1, 30.68, -999
20141006, 30.72, 30.79, 30.47, 30.61, 1140300, 30.61, 0, 1, 30.665, -999
20141003, 30.37, 30.69, 30.18, 30.61, 1918200, 30.61, 0, 1, 30.49, -999
20141002, 30.47, 30.68, 30.29, 30.38, 2570800, 30.38, 0, 1, 30.425, -999
20141001, 30.74, 30.74, 30.37, 30.47, 3063800, 30.47, 0, 1, 30.605, -999
20140930, 30.35, 30.63, 30.24, 30.4, 5631000, 30.4, 0, 1, 30.375, -999
20140929, 30.26, 30.41, 30.12, 30.3, 3893100, 30.3, 0, 1, 30.28, -999
20140926, 30.44, 30.54, 30.23, 30.39, 4479500, 30.39, 0, 1, 30.415, -999
20140925, 30.66, 30.85, 30.46, 30.46, 3040700, 30.46, 0, 1, 30.56, -999
20140924, 30.88, 30.9, 30.61, 30.76, 1564200, 30.76, 0, 1, 30.82, -999
20140923, 30.85, 31.01, 30.72, 30.84, 2589400, 30.84, 0, 1, 30.845, -999
20140922, 31.13, 31.14, 30.86, 30.9, 1409100, 30.9, 0, 1, 31.015, -999
20140919, 31.04, 31.23, 30.97, 31.19, 2604100, 31.19, 0, 1, 31.115, -999
20140918, 31.27, 31.4, 30.8, 30.96, 1674700, 30.96, 0, 1, 31.115, -999
20140917, 31.46, 31.52, 31.05, 31.25, 1822100, 31.25, 0, 1, 31.355, -999
20140916, 31.02, 31.43, 31, 31.38, 2200800, 31.38, 0.3, 1, 31.2, -999
20140915, 31.38, 31.55, 31.19, 31.33, 1787000, 31.03, 0, 1, 31.205, -999
20140912, 31.75, 31.77, 31.15, 31.27, 2039100, 30.97, 0, 1, 31.36, -999
20140911, 31.57, 31.9, 31.45, 31.89, 1576200, 31.58, 0, 1, 31.575, -999
20140910, 31.7, 31.8, 31.44, 31.57, 1493800, 31.27, 0, 1, 31.485, -999
20140909, 32.1, 32.15, 31.63, 31.72, 2200000, 31.42, 0, 1, 31.76, -999
20140908, 32.44, 32.45, 32.02, 32.18, 1377600, 31.87, 0, 1, 32.155, -999
