Ticker: XLNX  Created on: 12/6/2014 5:26:35 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 47, 47.3, 46.7, 47.16, 2144000, 47.16, 0, 1, 47.08, -999
20141204, 46.72, 47.03, 46.36, 46.91, 4042600, 46.91, 0, 1, 46.815, -999
20141203, 45.5, 46.93, 45.17, 46.85, 5606100, 46.85, 0, 1, 46.175, -999
20141202, 45.19, 45.84, 45.05, 45.81, 1773700, 45.81, 0, 1, 45.5, -999
20141201, 45.33, 45.58, 45, 45.29, 2638100, 45.29, 0, 1, 45.31, -999
20141128, 45.6, 45.67, 44.94, 45.44, 1423100, 45.44, 0, 1, 45.52, -999
20141126, 44.32, 45.55, 44.32, 45.49, 2356500, 45.49, 0, 1, 44.905, -999
20141125, 44.86, 44.87, 44.36, 44.39, 1612900, 44.39, 0, 1, 44.625, -999
20141124, 44.81, 45, 44.47, 44.67, 1699300, 44.67, 0, 1, 44.74, -999
20141121, 44.82, 44.85, 44.29, 44.78, 2699500, 44.78, 0, 1, 44.8, -999
20141120, 43.8, 44.37, 43.77, 44.25, 1736100, 44.25, 0, 1, 44.025, -999
20141119, 44.24, 44.4, 43.83, 44.24, 2435300, 44.24, 0, 1, 44.24, -999
20141118, 44.09, 44.52, 43.57, 44.32, 2697000, 44.32, 0, 1, 44.205, -999
20141117, 43.73, 43.79, 43.05, 43.41, 1612600, 43.41, 0, 1, 43.57, -999
20141114, 42.97, 43.66, 42.67, 43.61, 2895300, 43.61, 0, 1, 43.29, -999
20141113, 43.52, 43.62, 42.79, 42.83, 2894400, 42.83, 0, 1, 43.175, -999
20141112, 43.42, 43.52, 43.16, 43.36, 1703100, 43.36, 0, 1, 43.39, -999
20141111, 43.79, 43.8, 43.27, 43.4, 1418300, 43.4, 0, 1, 43.595, -999
20141110, 43.36, 43.91, 43.23, 43.67, 2234800, 43.67, 0, 1, 43.515, -999
20141107, 43.98, 43.98, 43.27, 43.61, 2839800, 43.61, 0, 1, 43.795, -999
20141106, 44.29, 44.55, 43.98, 44, 2017500, 44, 0, 1, 44.145, -999
20141105, 44, 44.28, 43.4, 44.19, 1953700, 44.19, 0, 1, 44.095, -999
20141104, 44.08, 44.21, 43.44, 43.77, 2090600, 43.77, 0, 1, 43.925, -999
20141103, 44.42, 44.63, 44.16, 44.22, 2859000, 44.22, 0, 1, 44.32, -999
20141031, 44.08, 45.34, 44, 44.48, 4521200, 44.19, 0, 1, 44.135, -999
20141030, 43.35, 43.58, 42.13, 43.22, 3825700, 42.94, 0, 1, 43.145, -999
20141029, 43.45, 43.73, 42.96, 43.6, 3743600, 43.32, 0, 1, 43.385, -999
20141028, 43.45, 43.45, 42.63, 43.29, 4334400, 43.01, 0, 1, 43.23, -999
20141027, 43.01, 43.5, 42.91, 43.12, 3872900, 42.84, 0, 1, 42.925, -999
20141024, 42.75, 43.29, 42.34, 43.2, 3802600, 42.92, 0, 1, 42.835, -999
20141023, 42.19, 42.82, 41.91, 42.54, 4267300, 42.26, 0, 1, 42.225, -999
20141022, 43.23, 43.64, 41.66, 41.72, 6007800, 41.45, 0, 1, 42.34, -999
20141021, 42.14, 43.4, 41.82, 43.21, 6442900, 42.93, 0, 1, 42.535, -999
20141020, 40.97, 41.81, 40.61, 41.66, 4991400, 41.39, 0, 1, 41.18, -999
20141017, 40.5, 42.69, 40.47, 41.05, 15812100, 40.78, 0, 1, 40.64, -999
20141016, 37.1, 38.87, 37.01, 38.49, 6429100, 38.24, 0, 1, 37.67, -999
20141015, 36.37, 37.85, 36.27, 37.58, 6296400, 37.33, 0, 1, 36.85, -999
20141014, 36.88, 37.61, 36.5, 36.9, 5514400, 36.66, 0, 1, 36.77, -999
20141013, 36.95, 37.16, 36.24, 36.27, 7502100, 36.03, 0, 1, 36.49, -999
20141010, 39.32, 39.5, 36.58, 36.83, 12130300, 36.59, 0, 1, 37.955, -999
20141009, 41.33, 41.45, 40.13, 40.19, 3377800, 39.93, 0, 1, 40.63, -999
20141008, 40.61, 41.62, 40.32, 41.49, 2682700, 41.22, 0, 1, 40.915, -999
20141007, 40.81, 41.02, 40.5, 40.56, 3401700, 40.3, 0, 1, 40.555, -999
20141006, 41.17, 41.47, 40.79, 41.17, 3028800, 40.9, 0, 1, 41.035, -999
20141003, 41.57, 41.66, 41.04, 41.13, 4751700, 40.86, 0, 1, 41.215, -999
20141002, 41.84, 41.84, 40.89, 41.42, 3906800, 41.15, 0, 1, 41.495, -999
20141001, 42.43, 42.47, 41.64, 41.81, 4498100, 41.54, 0, 1, 41.985, -999
20140930, 43.1, 43.22, 42.14, 42.35, 3204500, 42.07, 0, 1, 42.585, -999
20140929, 42.58, 43.15, 42.49, 42.99, 1922800, 42.71, 0, 1, 42.645, -999
20140926, 43.01, 43.29, 42.85, 43.17, 2114400, 42.89, 0, 1, 42.95, -999
20140925, 43.79, 43.8, 42.56, 42.78, 3809400, 42.5, 0, 1, 43.145, -999
20140924, 43.34, 43.86, 43.21, 43.82, 2436600, 43.53, 0, 1, 43.435, -999
20140923, 43.19, 43.79, 43.1, 43.23, 2707700, 42.95, 0, 1, 43.07, -999
20140922, 44.14, 44.14, 43.52, 43.59, 2492700, 43.31, 0, 1, 43.725, -999
20140919, 44.56, 44.82, 43.88, 44.09, 3791000, 43.8, 0, 1, 44.18, -999
