Ticker: XOM  Created on: 12/6/2014 5:24:31 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 93.95, 94.59, 93.35, 93.82, 11810800, 93.82, 0, 1, 93.885, -999
20141204, 94.13, 94.61, 93.07, 94.37, 12868600, 94.37, 0, 1, 94.25, -999
20141203, 94.67, 95.33, 94, 94.95, 16220400, 94.95, 0, 1, 94.81, -999
20141202, 92.32, 94.67, 92.01, 94.19, 20805000, 94.19, 0, 1, 93.255, -999
20141201, 90.36, 92.87, 90.28, 92.35, 27584200, 92.35, 0, 1, 91.355, -999
20141128, 91.5, 91.85, 90.11, 90.54, 19556700, 90.54, 0, 1, 91.02, -999
20141126, 94.64, 95.13, 94.36, 94.48, 9822100, 94.48, 0, 1, 94.56, -999
20141125, 96.01, 96.03, 94.37, 94.78, 13747400, 94.78, 0, 1, 95.395, -999
20141124, 96.34, 96.8, 95.25, 95.72, 10170600, 95.72, 0, 1, 96.03, -999
20141121, 97.2, 97.2, 96.1, 96.81, 12374200, 96.81, 0, 1, 97.005, -999
20141120, 95.37, 95.9, 95.26, 95.82, 8418600, 95.82, 0, 1, 95.595, -999
20141119, 95.08, 95.74, 94.13, 95.61, 8331600, 95.61, 0, 1, 95.345, -999
20141118, 95.08, 95.75, 94.53, 94.87, 9263200, 94.87, 0, 1, 94.975, -999
20141117, 94.85, 95.14, 94.19, 95.11, 8703900, 95.11, 0, 1, 94.98, -999
20141114, 94.87, 95.11, 94.65, 95.09, 9351100, 95.09, 0, 1, 94.98, -999
20141113, 94.96, 95.21, 93.83, 94.66, 12354900, 94.66, 0, 1, 94.81, -999
20141112, 95.9, 96.4, 95.11, 95.38, 11592800, 95.38, 0, 1, 95.64, -999
20141111, 95.78, 96.51, 95.61, 96.41, 7990000, 96.41, 0, 1, 96.095, -999
20141110, 96.87, 97.1, 96.07, 96.28, 9087600, 96.28, 0, 1, 96.575, -999
20141107, 95.8, 97.16, 95.72, 96.59, 13233500, 96.59, 0, 1, 96.195, -999
20141106, 95.18, 96.42, 94.28, 96.26, 14731400, 95.57, 0, 1, 95.375, -999
20141105, 95.36, 95.77, 94.65, 95.07, 12480000, 94.39, 0, 1, 94.875, -999
20141104, 94.5, 94.89, 93.89, 94.52, 13498500, 93.84, 0, 1, 94.17, -999
20141103, 96.56, 97.1, 94.8, 95.26, 13410000, 94.58, 0, 1, 95.57, -999
20141031, 94.99, 96.89, 94.31, 96.71, 17493700, 96.02, 0, 1, 95.505, -999
20141030, 93.87, 94.67, 93.22, 94.45, 9765400, 93.77, 0, 1, 93.82, -999
20141029, 95.42, 95.98, 93.62, 94.59, 12409100, 93.91, 0, 1, 94.665, -999
20141028, 94.44, 95.2, 93.93, 95.1, 12564100, 94.42, 0, 1, 94.43, -999
20141027, 93.85, 93.85, 92.77, 93.71, 11387700, 93.04, 0, 1, 93.445, -999
20141024, 94.19, 94.53, 93.22, 94.49, 9734100, 93.81, 0, 1, 94, -999
20141023, 94.31, 94.98, 93.87, 94.11, 11345100, 93.44, 0, 1, 93.875, -999
20141022, 93.96, 94.59, 92.98, 93.13, 12733600, 92.46, 0, 1, 93.21, -999
20141021, 92.86, 94.03, 92.36, 93.65, 15757000, 92.98, 0, 1, 92.92, -999
20141020, 90.63, 91.89, 90.63, 91.77, 10821700, 91.11, 0, 1, 90.87, -999
20141017, 91.13, 92.25, 90.5, 91.21, 18189200, 90.56, 0, 1, 90.845, -999
20141016, 88.58, 91.27, 88.18, 90.6, 25212600, 89.95, 0, 1, 89.265, -999
20141015, 89, 90.61, 86.91, 90.22, 24703500, 89.57, 0, 1, 89.285, -999
20141014, 91.49, 92.23, 90.06, 90.55, 23120500, 89.9, 0, 1, 90.695, -999
20141013, 91.32, 92.53, 90.76, 90.84, 14451100, 90.19, 0, 1, 90.755, -999
20141010, 92.44, 93.27, 90.9, 91.6, 18173100, 90.94, 0, 1, 91.69, -999
20141009, 94.05, 94.49, 91.63, 91.82, 17915600, 91.16, 0, 1, 92.605, -999
20141008, 93.42, 94.83, 92.42, 94.61, 15583700, 93.93, 0, 1, 93.675, -999
20141007, 94.27, 95.19, 93.33, 93.37, 10787900, 92.7, 0, 1, 93.485, -999
20141006, 94.01, 95.33, 93.91, 94.52, 10595400, 93.84, 0, 1, 93.925, -999
20141003, 93.6, 94.11, 92.58, 93.92, 11563000, 93.25, 0, 1, 93.425, -999
20141002, 92.39, 93.9, 92.06, 93.3, 13756500, 92.63, 0, 1, 92.51, -999
20141001, 94.11, 94.54, 92.72, 92.86, 14028600, 92.19, 0, 1, 93.15, -999
20140930, 94.11, 94.81, 93.62, 94.05, 15576500, 93.38, 0, 1, 93.745, -999
20140929, 94.71, 94.78, 93.8, 94.43, 14015000, 93.75, 0, 1, 94.23, -999
20140926, 94.33, 95.76, 93.8, 95.43, 11256800, 94.75, 0, 1, 94.54, -999
20140925, 95.66, 95.89, 94.2, 94.25, 12854200, 93.57, 0, 1, 94.615, -999
20140924, 95.87, 96.25, 94.84, 95.82, 12200000, 95.13, 0, 1, 95.5, -999
20140923, 96.28, 97.16, 96.03, 96.03, 10300700, 95.34, 0, 1, 95.81, -999
