Ticker: XRX  Created on: 12/6/2014 5:26:35 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 14.19, 14.32, 14.15, 14.32, 4423200, 14.32, 0, 1, 14.255, -999
20141204, 14.1, 14.25, 14.05, 14.2, 6908500, 14.2, 0, 1, 14.15, -999
20141203, 13.84, 14.22, 13.83, 14.21, 10673000, 14.21, 0, 1, 14.025, -999
20141202, 13.8, 13.93, 13.78, 13.84, 5048800, 13.84, 0, 1, 13.82, -999
20141201, 13.9, 13.94, 13.75, 13.83, 4297700, 13.83, 0, 1, 13.865, -999
20141128, 13.87, 14.03, 13.84, 13.96, 3094200, 13.96, 0, 1, 13.915, -999
20141126, 13.8, 13.9, 13.72, 13.89, 3804700, 13.89, 0, 1, 13.845, -999
20141125, 13.72, 13.83, 13.69, 13.76, 6371300, 13.76, 0, 1, 13.74, -999
20141124, 13.65, 13.77, 13.59, 13.68, 8568400, 13.68, 0, 1, 13.665, -999
20141121, 13.65, 13.8, 13.54, 13.58, 6361200, 13.58, 0, 1, 13.615, -999
20141120, 13.4, 13.57, 13.34, 13.54, 8755100, 13.54, 0, 1, 13.47, -999
20141119, 13.59, 13.6, 13.36, 13.43, 5084900, 13.43, 0, 1, 13.51, -999
20141118, 13.5, 13.75, 13.46, 13.63, 5510200, 13.63, 0, 1, 13.565, -999
20141117, 13.42, 13.55, 13.35, 13.49, 5336100, 13.49, 0, 1, 13.455, -999
20141114, 13.44, 13.59, 13.41, 13.43, 5614600, 13.43, 0, 1, 13.435, -999
20141113, 13.51, 13.56, 13.43, 13.45, 6409300, 13.45, 0, 1, 13.48, -999
20141112, 13.42, 13.56, 13.36, 13.53, 6882700, 13.53, 0, 1, 13.475, -999
20141111, 13.4, 13.75, 13.4, 13.52, 6958900, 13.52, 0, 1, 13.46, -999
20141110, 13.42, 13.45, 13.32, 13.37, 4973900, 13.37, 0, 1, 13.395, -999
20141107, 13.3, 13.51, 13.21, 13.45, 5537300, 13.45, 0, 1, 13.375, -999
