Ticker: XYL  Created on: 12/6/2014 5:26:36 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 38.67, 38.8, 38.46, 38.59, 392200, 38.59, 0, 1, 38.63, -999
20141204, 38.81, 38.81, 38.32, 38.57, 443000, 38.57, 0, 1, 38.69, -999
20141203, 38.01, 38.99, 38.01, 38.89, 691700, 38.89, 0, 1, 38.45, -999
20141202, 38.5, 38.76, 37.97, 38.02, 958600, 38.02, 0, 1, 38.26, -999
20141201, 38.11, 38.47, 37.84, 38.44, 848600, 38.44, 0, 1, 38.275, -999
20141128, 38.46, 38.69, 38.19, 38.34, 676400, 38.34, 0, 1, 38.4, -999
20141126, 38.36, 38.56, 38.07, 38.54, 550900, 38.54, 0, 1, 38.45, -999
20141125, 38.5, 38.59, 38.09, 38.39, 772700, 38.39, 0, 1, 38.445, -999
20141124, 38.29, 38.57, 38.24, 38.4, 643300, 38.4, 0, 1, 38.345, -999
20141121, 37.95, 38.5, 37.73, 38.25, 1030600, 38.25, 0, 1, 38.1, -999
20141120, 37.14, 37.54, 36.99, 37.46, 610700, 37.46, 0, 1, 37.3, -999
20141119, 38.02, 38.11, 37.14, 37.34, 857300, 37.34, 0, 1, 37.68, -999
20141118, 37.71, 38.49, 37.55, 38.21, 908400, 38.21, 0, 1, 37.96, -999
20141117, 37.6, 37.86, 37.46, 37.73, 700900, 37.73, 0, 1, 37.665, -999
20141114, 37.38, 37.63, 37.1, 37.62, 1101500, 37.62, 0, 1, 37.5, -999
20141113, 37.44, 37.63, 37.21, 37.45, 1109100, 37.45, 0, 1, 37.445, -999
20141112, 37.23, 37.56, 37.08, 37.55, 762500, 37.55, 0, 1, 37.39, -999
20141111, 37.24, 37.37, 37.04, 37.35, 534600, 37.35, 0, 1, 37.295, -999
20141110, 37.13, 37.36, 37, 37.28, 625800, 37.28, 0, 1, 37.205, -999
20141107, 37.1, 37.25, 36.82, 37.04, 669300, 37.04, 0, 1, 37.07, -999
