Ticker: X  Created on: 12/6/2014 5:26:22 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 32.37, 32.9, 32.03, 32.1, 5254200, 32.1, 0, 1, 32.235, -999
20141204, 32.24, 32.69, 31.78, 32.2, 5287100, 32.2, 0, 1, 32.22, -999
20141203, 31.55, 32.73, 31.35, 32.36, 6447000, 32.36, 0, 1, 31.955, -999
20141202, 31.43, 31.97, 31.09, 31.2, 7267900, 31.2, 0, 1, 31.315, -999
20141201, 32.54, 32.61, 30.91, 31.16, 14007100, 31.16, 0, 1, 31.85, -999
20141128, 34.69, 34.81, 32.76, 33.35, 6298200, 33.35, 0, 1, 34.02, -999
20141126, 36.03, 36.1, 35.15, 35.34, 3118900, 35.34, 0, 1, 35.685, -999
20141125, 35.02, 36.32, 34.94, 35.84, 5081700, 35.84, 0, 1, 35.43, -999
20141124, 34.89, 35.3, 34.73, 34.91, 5204700, 34.91, 0, 1, 34.9, -999
20141121, 35.98, 36.4, 34.68, 34.69, 9826700, 34.69, 0, 1, 35.335, -999
20141120, 34.09, 34.47, 33.84, 34.35, 7276600, 34.35, 0, 1, 34.22, -999
20141119, 35.61, 35.61, 34.27, 34.38, 7229700, 34.38, 0, 1, 34.995, -999
20141118, 35.69, 36.21, 35.5, 36, 4566200, 36, 0, 1, 35.845, -999
20141117, 36.04, 36.45, 35.44, 36.11, 4089900, 36.11, 0, 1, 36.075, -999
20141114, 34.97, 36.31, 34.64, 36.24, 6779500, 36.24, 0, 1, 35.605, -999
20141113, 35.7, 36.39, 34.97, 35.25, 6928200, 35.25, 0, 1, 35.475, -999
20141112, 34.85, 35.52, 34.58, 34.78, 7136300, 34.78, 0, 1, 34.815, -999
20141111, 36.41, 36.45, 35.02, 35.06, 7762800, 35.06, 0, 1, 35.735, -999
20141110, 37.65, 38.04, 36.61, 36.7, 4472500, 36.7, 0, 1, 37.175, -999
20141107, 36.49, 37.72, 36.35, 37.57, 6111900, 37.57, 0, 1, 37.03, -999
20141106, 36.36, 36.55, 35.11, 36.1, 9577200, 36.05, 0, 1, 36.205, -999
20141105, 36.64, 36.83, 35.5, 36.36, 8129100, 36.31, 0, 1, 36.475, -999
20141104, 39.02, 39.15, 35.82, 36.57, 12181800, 36.52, 0, 1, 37.77, -999
20141103, 39.8, 39.83, 38.9, 39.14, 6359900, 39.09, 0, 1, 39.445, -999
20141031, 39.33, 40.25, 38.5, 40.04, 13650600, 39.98, 0, 1, 39.655, -999
20141030, 39.67, 40.09, 38.67, 38.94, 8932200, 38.89, 0, 1, 39.28, -999
20141029, 42.17, 42.25, 39.55, 40.08, 17739800, 40.02, 0, 1, 41.095, -999
20141028, 36.36, 38.38, 36.36, 38.15, 8156000, 38.1, 0, 1, 37.23, -999
20141027, 36.54, 36.95, 35.51, 36.3, 6542400, 36.25, 0, 1, 36.395, -999
20141024, 36.8, 37.06, 36, 36.92, 4298500, 36.87, 0, 1, 36.835, -999
20141023, 35.79, 37.2, 35.65, 36.76, 6592100, 36.71, 0, 1, 36.25, -999
20141022, 36.33, 36.36, 35.17, 35.24, 6901200, 35.19, 0, 1, 35.76, -999
20141021, 35.51, 36.65, 35.16, 36.16, 11125500, 36.11, 0, 1, 35.81, -999
20141020, 33.73, 34, 33.01, 33.97, 5771700, 33.92, 0, 1, 33.825, -999
20141017, 33.52, 35.67, 33.5, 33.63, 11877100, 33.58, 0, 1, 33.55, -999
20141016, 31.88, 33.88, 31.72, 32.88, 10863600, 32.83, 0, 1, 32.355, -999
20141015, 32, 33.35, 30.57, 32.9, 10182300, 32.85, 0, 1, 32.425, -999
20141014, 32.42, 33.75, 31.32, 32.8, 11111100, 32.75, 0, 1, 32.585, -999
20141013, 32.87, 34, 32.12, 32.18, 9982400, 32.14, 0, 1, 32.505, -999
20141010, 33.57, 33.99, 32.21, 32.55, 11745600, 32.5, 0, 1, 33.035, -999
20141009, 36.18, 36.41, 33.77, 33.9, 13841800, 33.85, 0, 1, 35.015, -999
20141008, 35.5, 36.92, 33.97, 36.58, 11911700, 36.53, 0, 1, 36.015, -999
20141007, 35.52, 36.62, 35.21, 35.54, 7934800, 35.49, 0, 1, 35.505, -999
20141006, 36.78, 37.08, 35.32, 35.73, 8015700, 35.68, 0, 1, 36.23, -999
20141003, 37.07, 37.56, 36.07, 36.34, 7841200, 36.29, 0, 1, 36.68, -999
20141002, 36.55, 37.2, 35.19, 36.9, 11971600, 36.85, 0, 1, 36.7, -999
20141001, 38.94, 38.95, 36.65, 37.13, 12484900, 37.08, 0, 1, 38.01, -999
20140930, 40.7, 40.95, 39.15, 39.17, 12226600, 39.12, 0, 1, 39.91, -999
20140929, 40.97, 41.41, 40.5, 40.63, 6611100, 40.57, 0, 1, 40.77, -999
