Ticker: YUM  Created on: 12/6/2014 5:26:37 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 78.08, 78.52, 77.71, 78.3, 1826400, 78.3, 0, 1, 78.19, -999
20141204, 77.5, 78.22, 76.89, 77.73, 2223300, 77.73, 0, 1, 77.615, -999
20141203, 78.53, 78.57, 76.98, 77.64, 3003600, 77.64, 0, 1, 78.085, -999
20141202, 77.42, 78.39, 77.14, 78.36, 3615800, 78.36, 0, 1, 77.89, -999
20141201, 75.61, 77.78, 75.6, 77.38, 3121500, 77.38, 0, 1, 76.495, -999
20141128, 76.92, 77.57, 76.87, 77.25, 1505400, 77.25, 0, 1, 77.085, -999
20141126, 76.44, 76.83, 76.1, 76.75, 2487300, 76.75, 0, 1, 76.595, -999
20141125, 76.39, 76.73, 75.9, 76.29, 3223600, 76.29, 0, 1, 76.34, -999
20141124, 76.31, 76.66, 75.66, 76.39, 2753900, 76.39, 0, 1, 76.35, -999
20141121, 76.41, 76.92, 75.73, 75.86, 3654500, 75.86, 0, 1, 76.135, -999
20141120, 74.5, 75.76, 74.49, 75.51, 4498900, 75.51, 0, 1, 75.005, -999
20141119, 74.2, 74.29, 73.58, 73.97, 1612500, 73.97, 0, 1, 74.085, -999
20141118, 73.99, 74.58, 73.67, 74.19, 2586800, 74.19, 0, 1, 74.09, -999
20141117, 74.41, 75.07, 73.91, 73.99, 2213300, 73.99, 0, 1, 74.2, -999
20141114, 75.22, 75.3, 74.55, 74.78, 2429200, 74.78, 0, 1, 75, -999
20141113, 74.61, 75.6, 74.61, 75.39, 3895400, 75.39, 0, 1, 75, -999
20141112, 73.38, 74.62, 73.34, 74.56, 2846200, 74.56, 0, 1, 73.97, -999
20141111, 73.4, 73.78, 73.25, 73.52, 1519000, 73.52, 0, 1, 73.46, -999
20141110, 73.17, 73.74, 73.01, 73.27, 2689800, 73.27, 0, 1, 73.22, -999
20141107, 72.79, 72.91, 71.9, 72.86, 2421600, 72.86, 0, 1, 72.825, -999
20141106, 73.09, 73.35, 72.45, 73.1, 2679900, 73.1, 0, 1, 73.095, -999
20141105, 72.48, 72.59, 71.94, 72.44, 1977600, 72.44, 0, 1, 72.46, -999
20141104, 71.5, 72.16, 71.36, 72.06, 2335300, 72.06, 0, 1, 71.78, -999
20141103, 71.72, 71.84, 71.18, 71.56, 3074800, 71.56, 0, 1, 71.64, -999
20141031, 70.56, 72.15, 70.32, 71.83, 6024000, 71.83, 0, 1, 71.195, -999
20141030, 69.53, 70.2, 69.41, 69.98, 2097400, 69.98, 0, 1, 69.755, -999
20141029, 70.33, 70.37, 69.31, 69.61, 2424700, 69.61, 0, 1, 69.97, -999
20141028, 70.09, 70.31, 69.7, 70.21, 1773000, 70.21, 0, 1, 70.15, -999
20141027, 69.7, 69.75, 69.29, 69.64, 1419400, 69.64, 0, 1, 69.67, -999
20141024, 69.1, 69.91, 68.9, 69.88, 1859600, 69.88, 0, 1, 69.49, -999
20141023, 69.62, 69.66, 69.05, 69.25, 1533800, 69.25, 0, 1, 69.435, -999
20141022, 69.69, 69.99, 69, 69.13, 1979600, 69.13, 0, 1, 69.41, -999
20141021, 69.15, 70.15, 69.03, 69.8, 2302700, 69.8, 0, 1, 69.475, -999
20141020, 68.2, 69.24, 68.2, 69.13, 1577600, 69.13, 0, 1, 68.665, -999
