Ticker: ZION  Created on: 12/6/2014 5:26:38 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 28.01, 29, 27.96, 28.6, 4964100, 28.6, 0, 1, 28.305, -999
20141204, 27.53, 27.98, 27.53, 27.82, 1296700, 27.82, 0, 1, 27.675, -999
20141203, 27.46, 28.06, 27.44, 27.86, 1698600, 27.86, 0, 1, 27.66, -999
20141202, 27.31, 27.79, 27.21, 27.53, 1766100, 27.53, 0, 1, 27.42, -999
20141201, 27.91, 27.95, 26.91, 27.26, 3945000, 27.26, 0, 1, 27.585, -999
20141128, 28.97, 29, 27.96, 28.06, 1766200, 28.06, 0, 1, 28.515, -999
20141126, 28.98, 29.09, 28.8, 28.89, 887200, 28.89, 0, 1, 28.935, -999
20141125, 29.29, 29.37, 28.95, 29.02, 2446500, 29.02, 0, 1, 29.155, -999
20141124, 29.29, 29.5, 29.17, 29.33, 1319300, 29.33, 0, 1, 29.31, -999
20141121, 29.22, 29.46, 29.08, 29.18, 2998100, 29.18, 0, 1, 29.2, -999
20141120, 28.45, 29, 28.38, 28.99, 1849300, 28.99, 0, 1, 28.72, -999
20141119, 29.01, 29.06, 28.65, 28.68, 1747900, 28.68, 0, 1, 28.845, -999
20141118, 28.92, 29.14, 28.92, 29, 1069400, 29, 0, 1, 28.96, -999
20141117, 29.06, 29.11, 28.69, 28.89, 1963500, 28.85, 0, 1, 28.955, -999
20141114, 29.3, 29.46, 29, 29.14, 1608200, 29.1, 0, 1, 29.2, -999
20141113, 29.79, 29.93, 29.19, 29.28, 2139600, 29.24, 0, 1, 29.515, -999
20141112, 29.42, 29.79, 29.42, 29.76, 1450100, 29.72, 0, 1, 29.57, -999
20141111, 29.69, 29.77, 29.5, 29.59, 1090200, 29.55, 0, 1, 29.62, -999
20141110, 29.59, 29.85, 29.43, 29.67, 1568700, 29.63, 0, 1, 29.61, -999
20141107, 29.59, 29.81, 29.52, 29.67, 1490100, 29.63, 0, 1, 29.61, -999
20141106, 29.54, 29.75, 29.35, 29.69, 1400700, 29.65, 0, 1, 29.595, -999
20141105, 29.66, 29.74, 29.41, 29.5, 2001500, 29.46, 0, 1, 29.56, -999
20141104, 29.01, 29.4, 28.85, 29.38, 2434700, 29.34, 0, 1, 29.175, -999
20141103, 29, 29.27, 28.87, 29.06, 1415300, 29.02, 0, 1, 29.01, -999
20141031, 28.86, 29, 28.76, 28.97, 2265200, 28.93, 0, 1, 28.895, -999
20141030, 28.63, 28.9, 28.43, 28.68, 1497400, 28.64, 0, 1, 28.635, -999
20141029, 28.42, 28.84, 28.16, 28.78, 2093300, 28.74, 0, 1, 28.58, -999
20141028, 27.72, 28.41, 27.51, 28.41, 1823400, 28.37, 0, 1, 28.045, -999
20141027, 27.49, 27.68, 27.42, 27.65, 2051700, 27.61, 0, 1, 27.55, -999
20141024, 27.48, 27.65, 27.24, 27.53, 2226100, 27.49, 0, 1, 27.485, -999
20141023, 27.3, 27.81, 27.3, 27.44, 2959400, 27.4, 0, 1, 27.35, -999
20141022, 27.32, 27.46, 27.07, 27.08, 2417200, 27.04, 0, 1, 27.18, -999
20141021, 26.29, 27.3, 26.11, 27.21, 6145200, 27.17, 0, 1, 26.73, -999
