Ticker: ZMH  Created on: 12/6/2014 5:26:37 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 114.29, 115.88, 113.61, 114.96, 1018700, 114.96, 0, 1, 114.625, -999
20141204, 113.21, 114.56, 113.12, 113.96, 731900, 113.96, 0, 1, 113.585, -999
20141203, 114.31, 114.41, 113.26, 113.65, 975700, 113.65, 0, 1, 113.98, -999
20141202, 111.74, 114.98, 111.65, 114.43, 1504900, 114.43, 0, 1, 113.085, -999
20141201, 112.19, 112.62, 111.31, 111.47, 613000, 111.47, 0, 1, 111.83, -999
20141128, 111.63, 113, 111.63, 112.29, 426900, 112.29, 0, 1, 111.96, -999
20141126, 111.36, 111.77, 110.98, 111.63, 595000, 111.63, 0, 1, 111.495, -999
20141125, 110.5, 111.2, 110.27, 111.08, 923600, 111.08, 0, 1, 110.79, -999
20141124, 110.12, 110.44, 108.76, 110.08, 1355400, 110.08, 0, 1, 110.1, -999
20141121, 111.23, 111.63, 109.7, 110.48, 821200, 110.48, 0, 1, 110.855, -999
20141120, 109.7, 110.44, 109.01, 110.12, 984100, 110.12, 0, 1, 109.91, -999
20141119, 111.19, 111.27, 110.42, 110.55, 518700, 110.55, 0, 1, 110.87, -999
20141118, 110.25, 111.97, 110.14, 111.5, 688700, 111.5, 0, 1, 110.875, -999
20141117, 110.12, 110.9, 109.94, 110.68, 964600, 110.68, 0, 1, 110.4, -999
20141114, 110.66, 110.83, 109.75, 110.12, 702700, 110.12, 0, 1, 110.39, -999
20141113, 111.23, 111.23, 110.15, 110.61, 811800, 110.61, 0, 1, 110.92, -999
20141112, 110.78, 111.03, 110.27, 110.87, 783000, 110.87, 0, 1, 110.825, -999
20141111, 110.49, 111.51, 109.77, 111.07, 568500, 111.07, 0, 1, 110.78, -999
20141110, 108.61, 110.51, 108.2, 110.42, 802100, 110.42, 0, 1, 109.515, -999
20141107, 109.81, 110, 107.81, 108.19, 829800, 108.19, 0, 1, 109, -999
20141106, 110.96, 111.36, 110.16, 110.19, 741800, 110.19, 0, 1, 110.575, -999
20141105, 110.47, 111.1, 109.44, 110.99, 1196100, 110.99, 0, 1, 110.73, -999
20141104, 110.1, 110.63, 108.94, 109.21, 1020100, 109.21, 0, 1, 109.655, -999
20141103, 111.18, 111.5, 109.5, 110.41, 789400, 110.41, 0, 1, 110.795, -999
20141031, 110.35, 111.29, 110, 111.24, 1486200, 111.24, 0, 1, 110.795, -999
20141030, 107.97, 109.55, 107.51, 109.28, 787400, 109.28, 0, 1, 108.625, -999
20141029, 108.1, 108.95, 107.74, 108.15, 1360000, 108.15, 0, 1, 108.125, -999
20141028, 105.62, 108.37, 105.24, 108.1, 1701200, 108.1, 0, 1, 106.86, -999
20141027, 105.17, 105.9, 104.72, 104.98, 574700, 104.98, 0, 1, 105.075, -999
20141024, 104.57, 105.5, 104.55, 105.29, 573900, 105.29, 0, 1, 104.93, -999
20141023, 103.48, 106.3, 102.68, 104.57, 1697600, 104.57, 0, 1, 104.025, -999
20141022, 101.84, 101.9, 99.88, 100.2, 1335700, 100.2, 0, 1, 101.02, -999
20141021, 99.65, 101.43, 99.63, 101.32, 1027200, 101.32, 0, 1, 100.485, -999
20141020, 97.56, 99.26, 97.09, 99.19, 1101500, 99.19, 0, 1, 98.375, -999
20141017, 96.86, 97.94, 96.62, 97.52, 912800, 97.52, 0, 1, 97.19, -999
20141016, 96, 97.06, 95.75, 95.95, 1781700, 95.95, 0, 1, 95.975, -999
20141015, 95.81, 97.87, 95.33, 97.72, 2268300, 97.72, 0, 1, 96.765, -999
20141014, 99.23, 99.47, 97.18, 97.54, 1300900, 97.54, 0, 1, 98.385, -999
20141013, 100.92, 101.05, 98.63, 98.73, 1014300, 98.73, 0, 1, 99.825, -999
20141010, 102, 103.72, 101.06, 101.08, 882600, 101.08, 0, 1, 101.54, -999
20141009, 103.13, 103.42, 101.52, 101.73, 1156700, 101.73, 0, 1, 102.43, -999
20141008, 101.82, 103.71, 101.21, 103.54, 805500, 103.54, 0, 1, 102.68, -999
20141007, 102.5, 102.76, 101.35, 101.4, 684900, 101.4, 0, 1, 101.95, -999
20141006, 103.37, 104.44, 102.39, 102.99, 966900, 102.99, 0, 1, 103.18, -999
20141003, 102.45, 102.93, 102.17, 102.59, 731300, 102.59, 0, 1, 102.52, -999
20141002, 100.94, 102.59, 98.87, 102.2, 2721600, 102.2, 0, 1, 101.57, -999
20141001, 100.63, 101.17, 99.5, 100.76, 1687100, 100.76, 0, 1, 100.695, -999
20140930, 101.59, 101.83, 100.55, 100.55, 1025300, 100.55, 0, 1, 101.07, -999
20140929, 100.76, 101.7, 100.7, 101.46, 605200, 101.46, 0, 1, 101.11, -999
20140926, 101.33, 102.14, 101.16, 101.66, 965100, 101.66, 0, 1, 101.495, -999
20140925, 103.24, 103.3, 101.25, 101.25, 1915600, 101.25, 0, 1, 102.245, -999
20140924, 102.37, 103.98, 102.12, 103.63, 1268900, 103.63, 0.22, 1, 103, -999
20140923, 102.23, 103.45, 102.1, 102.42, 1388800, 102.2, 0, 1, 102.215, -999
20140922, 103.55, 103.96, 103.03, 103.7, 1015200, 103.48, 0, 1, 103.515, -999
20140919, 104.68, 104.92, 103.5, 103.99, 1243200, 103.77, 0, 1, 104.225, -999
20140918, 104.23, 104.3, 103.58, 104.25, 1450500, 104.03, 0, 1, 104.13, -999
20140917, 104.89, 105.17, 103.57, 103.97, 1239500, 103.75, 0, 1, 104.32, -999
20140916, 104.31, 105.16, 103.76, 104.94, 985800, 104.71, 0, 1, 104.51, -999
20140915, 104.93, 104.93, 104.19, 104.49, 785300, 104.27, 0, 1, 104.6, -999
20140912, 104.99, 105.68, 104.44, 104.94, 1470000, 104.71, 0, 1, 104.85, -999
20140911, 104.08, 105.38, 103.86, 105.23, 1677400, 105, 0, 1, 104.54, -999
20140910, 102.81, 104.98, 102.1, 104.75, 2027300, 104.52, 0, 1, 103.665, -999
20140909, 101.56, 103.54, 101.56, 102.44, 2060300, 102.22, 0, 1, 101.89, -999
20140908, 101, 101.33, 100.57, 100.92, 825800, 100.7, 0, 1, 100.85, -999
20140905, 100.37, 101.08, 99.92, 101.07, 562900, 100.85, 0, 1, 100.61, -999
20140904, 100.73, 102.53, 100.23, 100.65, 1193100, 100.43, 0, 1, 100.58, -999
20140903, 99.75, 100.58, 99.42, 100.32, 1054000, 100.1, 0, 1, 99.925, -999
20140902, 99.72, 99.72, 98.81, 99.29, 1037600, 99.08, 0, 1, 99.4, -999
20140829, 99.6, 99.6, 98.74, 99.31, 1015700, 99.1, 0, 1, 99.35, -999
20140828, 99.31, 99.65, 99, 99.45, 714900, 99.24, 0, 1, 99.275, -999
20140827, 100.86, 101.08, 99.72, 99.78, 853300, 99.57, 0, 1, 100.215, -999
20140826, 100.54, 101.21, 100.4, 100.76, 752200, 100.54, 0, 1, 100.54, -999
20140825, 100.24, 101.04, 99.98, 100.46, 669800, 100.24, 0, 1, 100.24, -999
20140822, 100.44, 100.79, 99.45, 99.49, 1014300, 99.28, 0, 1, 99.86, -999
20140821, 99.98, 100.68, 99.88, 100.62, 630700, 100.4, 0, 1, 100.19, -999
20140820, 99.82, 100.3, 99.35, 99.81, 1156900, 99.6, 0, 1, 99.71, -999
20140819, 99.61, 100.2, 99.41, 99.94, 944000, 99.73, 0, 1, 99.67, -999
20140818, 97.88, 99.32, 97.88, 99.31, 1591900, 99.1, 0, 1, 98.49, -999
20140815, 97.96, 98.15, 96.62, 97.48, 1171400, 97.27, 0, 1, 97.615, -999
20140814, 97.68, 98.14, 97.4, 97.83, 1428400, 97.62, 0, 1, 97.65, -999
20140813, 96.93, 97.82, 96.56, 97.68, 1034000, 97.47, 0, 1, 97.2, -999
20140812, 96.15, 97.11, 95.8, 96.71, 1556300, 96.5, 0, 1, 96.325, -999
20140811, 96.57, 96.96, 95.88, 96.32, 873900, 96.11, 0, 1, 96.34, -999
20140808, 95.67, 96.18, 94.73, 96.08, 1368900, 95.87, 0, 1, 95.77, -999
20140807, 97.02, 97.18, 95.02, 95.31, 1750700, 95.11, 0, 1, 96.065, -999
20140806, 98.1, 98.41, 95.96, 96.35, 2995200, 96.14, 0, 1, 97.12, -999
20140805, 99.68, 99.92, 98.13, 98.36, 1125700, 98.15, 0, 1, 98.915, -999
20140804, 99.61, 100.22, 98.46, 100.14, 799100, 99.92, 0, 1, 99.765, -999
20140801, 100.08, 100.35, 99.02, 99.61, 1020400, 99.4, 0, 1, 99.74, -999
20140731, 101.37, 102.37, 100, 100.07, 1809700, 99.86, 0, 1, 100.615, -999
20140730, 101.3, 102.73, 101.28, 102.22, 1821100, 102, 0, 1, 101.65, -999
20140729, 100.65, 101.31, 100.01, 100.93, 1186900, 100.71, 0, 1, 100.68, -999
20140728, 101.97, 102.03, 100.01, 100.57, 854300, 100.35, 0, 1, 101.16, -999
20140725, 99.52, 101.04, 99.29, 100.81, 1474900, 100.59, 0, 1, 100.055, -999
20140724, 99.28, 100.42, 98.4, 99.82, 2814600, 99.61, 0, 1, 99.445, -999
20140723, 102.27, 103.68, 101.91, 103.16, 1733800, 102.94, 0, 1, 102.605, -999
20140722, 103.81, 104.46, 101.34, 102.17, 947900, 101.95, 0, 1, 102.88, -999
20140721, 101.98, 102.41, 101.02, 101.42, 1008900, 101.2, 0, 1, 101.59, -999
20140718, 100.77, 102.77, 99.98, 102.44, 1131800, 102.22, 0, 1, 101.495, -999
20140717, 102.46, 102.9, 100.63, 100.71, 804900, 100.49, 0, 1, 101.475, -999
20140716, 103.2, 103.36, 102.39, 102.79, 869100, 102.57, 0, 1, 102.885, -999
20140715, 103.16, 103.62, 101.97, 102.74, 1088200, 102.52, 0, 1, 102.84, -999
20140714, 104.28, 104.93, 103.15, 103.26, 733900, 103.04, 0, 1, 103.66, -999
20140711, 103.56, 103.87, 102.95, 103.79, 694700, 103.57, 0, 1, 103.565, -999
20140710, 103.07, 103.83, 102, 103.67, 1080200, 103.45, 0, 1, 103.26, -999
20140709, 103.5, 104.22, 103.36, 103.79, 585300, 103.57, 0, 1, 103.535, -999
20140708, 104.48, 104.49, 102.88, 103.36, 826100, 103.14, 0, 1, 103.81, -999
20140707, 104.47, 104.73, 103.52, 104.48, 977700, 104.26, 0, 1, 104.365, -999
20140703, 105.05, 105.47, 104.2, 105.13, 470800, 104.9, 0, 1, 104.975, -999
20140702, 104.35, 105.15, 104.35, 104.86, 512500, 104.63, 0, 1, 104.49, -999
20140701, 103.76, 105.42, 103.76, 104.89, 905200, 104.66, 0, 1, 104.21, -999
20140630, 104.5, 104.86, 103.4, 103.86, 1076200, 103.64, 0, 1, 104.07, -999
20140627, 104.55, 105.27, 104, 104.35, 1142800, 104.13, 0, 1, 104.34, -999
20140626, 105.28, 105.53, 104.79, 105.12, 916400, 104.89, 0, 1, 105.085, -999
20140625, 104.2, 105.47, 103.9, 105.37, 1052300, 105.14, 0.22, 1, 104.67, -999
20140624, 105.05, 105.43, 104.1, 104.16, 1084400, 103.72, 0, 1, 104.385, -999
20140623, 105.74, 106.44, 104.92, 104.93, 796200, 104.48, 0, 1, 105.11, -999
20140620, 105.49, 105.87, 105.29, 105.58, 2160100, 105.13, 0, 1, 105.31, -999
20140619, 105.93, 106.38, 104.83, 105.63, 1108400, 105.18, 0, 1, 105.555, -999
20140618, 104.49, 106.09, 103.97, 106.03, 898000, 105.58, 0, 1, 105.035, -999
