YYYYMMDD,Date,Short Positions,Long Positions,Total Positions,Daily PnL,Cumulative PnL,ROR,Market Value,Net Market Value,Sharpe
20091207,12/7/2009,0,0,0,0,0,0,0,0,0
20091208,12/8/2009,0,1000,1000,0,0,0,158335,158335,0
20091209,12/9/2009,0,1000,1000,4760,4760,0.0543049,24860,24860,11.225
20091210,12/10/2009,-1000,1000,2000,0,4760,0,187895,-138025,9.16515
20091211,12/11/2009,-1000,1000,2000,70,4830,0.00471222,187050,-137955,8.78494
20091214,12/14/2009,-1000,1000,2000,0,4830,0,188500,-137955,7.82236
20091215,12/15/2009,-1000,1000,2000,85,4915,0.00569514,186240,-137870,7.91666
20091216,12/16/2009,-1000,1000,2000,1015,5930,0.0119981,186610,-136855,8.76629
20091217,12/17/2009,-1000,1000,2000,0,5930,0,183965,-136855,8.12837
20091218,12/18/2009,-1000,1000,2000,400,6330,0.00621552,186665,-136455,8.32806
20091221,12/21/2009,-1000,500,1500,290,6620,0.0206536,178700,-146210,9.65346
20091222,12/22/2009,-1500,0,1500,150,6770,0.00982962,175165,-171490,10.1193
20091223,12/23/2009,-1500,0,1500,0,6770,0,176100,-171490,9.57382
20091224,12/24/2009,-2000,0,2000,0,6770,0,195470,-186990,9.10801
20091228,12/28/2009,-2000,0,2000,0,6770,0,197695,-186990,8.70418
20091229,12/29/2009,-2000,0,2000,0,6770,0,196370,-186990,8.34971
20091230,12/30/2009,-2000,0,2000,20,6790,0.00129032,197880,-186970,8.14833
20091231,12/31/2009,-2000,0,2000,0,6790,0,196255,-186970,7.86142
20100104,1/4/2010,-2000,0,2000,0,6790,0,199145,-186970,7.60284
20100105,1/5/2010,-2000,0,2000,0,6790,0,198530,-186970,7.3682
20100106,1/6/2010,-2000,0,2000,95,6885,0.00613695,196270,-186875,7.57517
20100107,1/7/2010,-2000,0,2000,0,6885,0,195590,-186875,7.36299
20100108,1/8/2010,-1500,0,1500,8530,15415,0.0904846,91170,-89305,6.99673
20100111,1/11/2010,-1500,0,1500,195,15610,0.0127202,180270,-179030,7.25737
20100112,1/12/2010,-1000,0,1000,1300,16910,0.0203268,114165,-115075,7.71132
20100113,1/13/2010,-1000,1000,2000,0,16910,0,196095,-34785,7.52749
20100114,1/14/2010,-500,1000,1500,720,17630,0.0718563,186350,-24765,8.17337
20100115,1/15/2010,-500,1500,2000,1030,18660,0.028706,194685,-13335,8.6687
20100119,1/19/2010,-500,1500,2000,0,18660,0,200665,-13335,8.47447
20100120,1/20/2010,-500,1500,2000,140,18800,0.0134615,196825,-13195,8.65649
20100121,1/21/2010,-500,1500,2000,0,18800,0,193960,-13195,8.47518
20100122,1/22/2010,-500,1500,2000,0,18800,0,186060,-13195,8.3048
20100125,1/25/2010,-500,1500,2000,3520,22320,0.0335063,189415,-9675,8.79899
20100126,1/26/2010,-500,1500,2000,0,22320,0,190595,-9675,8.62973
20100127,1/27/2010,-500,1500,2000,0,22320,0,192060,-9675,8.46987
20100128,1/28/2010,-500,1500,2000,1890,24210,0.0186143,186060,-7785,8.73294
20100129,1/29/2010,-500,1500,2000,0,24210,0,181015,-7785,8.5791
20100201,2/1/2010,-500,1500,2000,2280,26490,0.0228812,183710,-5505,8.89881
20100202,2/2/2010,-500,1500,2000,0,26490,0,184880,-5505,8.74881
20100203,2/3/2010,-500,1500,2000,0,26490,0,186600,-5505,8.60614
20100204,2/4/2010,-500,1500,2000,0,26490,0,180955,-5505,8.47023
20100205,2/5/2010,-500,1500,2000,0,26490,0,183235,-5505,8.34057
20100208,2/8/2010,-500,500,1000,-6520,19970,-0.176875,106735,-86825,2.76537
20100209,2/9/2010,-1500,500,2000,0,19970,0,183530,-162435,2.73282
20100210,2/10/2010,-1500,0,1500,-695,19275,-0.0659393,172960,-172975,1.91439
20100211,2/11/2010,-2000,0,2000,0,19275,0,185290,-183005,1.89317
20100212,2/12/2010,-2000,0,2000,0,19275,0,186370,-183005,1.87263
20100216,2/16/2010,-2000,0,2000,0,19275,0,188850,-183005,1.85276
