MM/YYYY,Short Positions,Long Positions,Total Positions,Monthly PnL,Cumulative PnL,ROR,Market Value,Net Market Value, Sharpe 
12/2009,-2000,0,2000,6790,6790,0.114699,196255,-186970,7.86142
1/2010,-500,1500,2000,17420,24210,0.295813,181015,-7785,8.5791
2/2010,-2000,0,2000,-3770,20440,-0.207968,190490,-186640,1.82028
3/2010,-1000,1000,2000,18670,39110,0.330943,207415,48640,3.54306
4/2010,-500,1500,2000,7320,46430,0.210356,221735,-28800,4.26552
5/2010,-1000,500,1500,27375,73805,0.260239,201780,-67580,4.62026
6/2010,0,1500,1500,12420,86225,0.198107,199010,209180,4.64145
7/2010,-1500,500,2000,3140,89365,0.291448,216030,-187565,5.01634
8/2010,-1500,500,2000,11685,101050,0.0100622,203685,39050,4.54341
9/2010,-1000,500,1500,26035,127085,0.369493,88915,-63425,4.7202
10/2010,-1000,500,1500,23850,150935,0.27071,95160,47830,5.02245
11/2010,-500,1000,1500,13855,164790,0.295609,236885,98565,5.32127
12/2010,-1500,0,1500,7440,172230,0.124528,248615,-249120,5.30059
1/2011,-1000,1000,2000,9285,181515,0.129937,275255,93040,5.31406
2/2011,0,1500,1500,13770,195285,0.120549,200630,203890,5.28619
3/2011,-1000,1000,2000,6845,202130,-0.0186728,278575,234275,4.9578
4/2011,-1000,500,1500,-3880,198250,0.119876,199600,-165550,4.95787
5/2011,-500,1500,2000,10925,209175,0.196533,282140,253630,4.81997
6/2011,-500,0,500,8680,217855,0.122384,85775,-85270,4.76444
7/2011,-1000,500,1500,34495,252350,0.311221,299865,91535,4.8782
8/2011,-1000,500,1500,24315,276665,0.615255,215780,-185095,5.23804
9/2011,-1000,500,1500,26185,302850,0.388848,110550,-78275,5.42583
10/2011,-1500,500,2000,25195,328045,0.399429,320290,84575,5.53064
11/2011,-500,0,500,12585,340630,0.324579,191100,-192385,5.67279
12/2011,-500,1000,1500,29345,369975,0.283285,306565,122225,5.75084
1/2012,-1000,500,1500,35680,405655,0.422948,124275,-96875,5.98398
2/2012,-1000,1000,2000,32940,438595,0.269535,398895,-328585,6.00333
3/2012,0,1000,1000,42781.4,481376,0.309362,118385,117740,6.06734
4/2012,-1000,970,1970,-1186.67,480190,0.102391,408221,189544,6.0163
5/2012,-1000,1000,2000,4931.68,485121,0.187535,412830,-351085,6.01799
6/2012,-500,511,1011,26128.8,511250,0.205193,35044,4901.51,6.04677
7/2012,-1000,989,1989,17679.5,528930,0.385872,424237,180806,6.22357
8/2012,-500,1000,1500,48216,577146,0.268559,125250,95640,6.27994
9/2012,0,1961,1961,29913.2,607059,0.0583665,437468,453981,6.1417
10/2012,-951,1049,2000,-17410.1,589649,-0.0863535,361669,-147718,5.87355
11/2012,-1000,500,1500,18070.7,607720,0.174169,315735,-270269,5.75112
12/2012,0,1500,1500,42708.9,650428,0.369205,119440,121205,5.88266
1/2013,-1000,1000,2000,57705,708133,0.465486,353525,-129215,5.95596
2/2013,0,2000,2000,-6065,702068,-0.00965882,345455,346760,5.85862
3/2013,-500,1500,2000,14955,717023,0.179159,353205,-94220,5.89586
4/2013,-500,1500,2000,43510,760533,0.474928,351185,303240,6.01248
5/2013,-1500,500,2000,45390,805923,0.280239,358465,-145695,6.0565
6/2013,-1000,1000,2000,10620,816543,0.181684,323205,289195,6.08897
7/2013,-1000,1000,2000,9805,826348,0.200407,351375,297395,6.08224
8/2013,-500,1500,2000,16340,842688,0.153322,362435,348100,6.06024
9/2013,-1000,1000,2000,-4940,837748,0.100721,359065,-309775,6.00821
10/2013,-1000,1000,2000,28630,866378,0.270386,380895,-172900,6.06175
11/2013,0,1500,1500,7550,873928,0.185575,120825,120850,6.03583
12/2013,-1500,500,2000,5555,879483,0.123166,405980,-220085,6.03395
1/2014,-500,1500,2000,1275,880758,0.198818,369830,363610,6.04552
2/2014,-1000,1000,2000,-19895,860863,-0.180131,387240,185660,5.81322
3/2014,-1500,500,2000,11545,872408,0.148046,398015,144080,5.82338
4/2014,-1500,500,2000,55600,928008,0.388654,426825,-384185,5.87618
5/2014,-1000,500,1500,24065,952073,0.123266,422340,-235975,5.87643
6/2014,-1000,500,1500,273390,1.22546e+06,1.01075,126935,-83450,4.6721
7/2014,-1500,500,2000,13330,1.23879e+06,0.417904,182160,-85170,4.75159
8/2014,-1500,500,2000,9660,1.24845e+06,0.228096,187575,5820,4.78309
9/2014,-1500,500,2000,6285,1.25474e+06,0.14707,185880,-150960,4.7897
10/2014,0,0,0,5255,1.25999e+06,0.162345,0,0,4.78941
11/2014,0,0,0,0,1.25999e+06,0,0,0,4.74971
12/2014,0,0,0,0,1.25999e+06,0,0,0,4.73943
